Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BHR,BHS,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CZE,DEU,DJI,DNK,DOM,DZA,ECU,ERI,ESP,EST,ETH,FIN,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HND,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,MAR,MDA,MDG,MDV,MEX,MHL,MLI,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SSD,STP,SUR,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TUN,TUR,TUV,TWN,TZA,UGA,UKR,USA,UZB,VEN,VNM,WSM,YEM,ZAF,ZMB,ZWE
1992,,3608.0,,,,,3.0,,,479.0,1.0,413.0,,479.0,,,,159.0,22260.0,30317.0,,494.0,,,5.0,1.0,73.0,583.0,37.0,1268.0,1949.0,,15129.0,,,12.0,,,1.0,,,,69.0,31870.0,,,,,,,,,5.0,,228.0,,,,,,15395.0,576.0,407.0,,,25.0,6911.0,,97.0,97.0,,,,46.0,,3388.0,,1229.0,,6.0,,,,,,121.0,,,,,,8162.0,,,826.0,,30802.0,,,298.0,474.0,,,8687.0,3067.0,,,798.0,,,,492964.0,,2416.0,242237.0,345.0,,,,,,,3.0,6.0,503.0,,,,17.0,,8717.0,,,,12.0,,1.0,2281.0,,,,753.0,,,,,,,293.0,,18526.0,5072.0,,103.0,,2842.0,4260.0,,4.0,11.0,11659.0,2048.0
1993,37046.0,,,,2350.0,,5.0,1.0,,78.0,1.0,10.0,,78.0,,,,135.0,10134.0,59212.0,,,,,6.0,2.0,32.0,11673.0,724.0,648.0,986.0,,230.0,,,14.0,,,1.0,10055.0,2.0,,,6833.0,,3.0,2.0,,,5.0,,,13.0,8.0,1448.0,,,,,1.0,30604.0,66.0,4013.0,,,3564.0,12084.0,,1347.0,280.0,,,,89.0,74.0,,,2252.0,,5.0,1.0,5521.0,344.0,,,1.0,,,1.0,,,10712.0,,,1758.0,,19803.0,,,25193.0,995.0,,,4160.0,6631.0,3.0,,31.0,,,,380714.0,12092.0,42.0,72404.0,708.0,,,,,3.0,,15.0,23.0,568.0,,,,24.0,,6573.0,,,,,,,,,,,19.0,,165.0,,,,,,,792.0,,,19.0,,409.0,3361.0,,,78.0,6766.0,5385.0
1994,38735.0,3443.0,626.0,,889.0,,3.0,1.0,18.0,562.0,1.0,187.0,,562.0,,,3.0,6.0,2710.0,49455.0,,,,,2.0,,1.0,34877.0,1108.0,527.0,58057.0,,996.0,,128.0,38.0,,,5.0,1122.0,2.0,,118.0,1785.0,,1.0,,,2.0,4.0,,,18.0,,2267.0,31415.0,1.0,15296.0,,,5282.0,,5049.0,,,47.0,4973.0,,15.0,838.0,,12.0,,91.0,3.0,880.0,4.0,3085.0,,34.0,,9660.0,3.0,764.0,,,,6.0,8.0,,,4059.0,,,421.0,,692.0,,,107.0,534.0,,732.0,2859.0,7821.0,1.0,,32.0,,2.0,,385406.0,,,23887.0,3340.0,,1.0,,1.0,,,80.0,1048.0,10.0,,,,41.0,9709.0,11745.0,28334.0,,,,,1.0,,,,1094.0,47.0,3487.0,10.0,1.0,,,,,,2240.0,704.0,813.0,47.0,1.0,,5776.0,,,4.0,,
1995,19903.0,3295.0,,,188.0,,5.0,,,2297.0,,203.0,1451.0,2297.0,,,3.0,19.0,2293.0,15915.0,,25.0,,,7.0,2.0,,10337.0,4993.0,615.0,553.0,,1922.0,,12913.0,24.0,,,1.0,,3.0,,,2160.0,,6.0,,,1.0,6.0,,,10.0,,4698.0,6506.0,15.0,119.0,,,7970.0,,4717.0,,,,3315.0,,2177.0,820.0,,1.0,,321.0,16.0,1547.0,,4190.0,,74.0,,1365.0,,3420.0,22.0,,,,240.0,,,16430.0,,2191.0,1296.0,,,,,1.0,2209.0,,264.0,1059.0,8825.0,9.0,1.0,157.0,,2.0,,214802.0,,,22397.0,847.0,,,,1.0,,,118.0,9.0,3.0,,,3332.0,14.0,10285.0,2923.0,9255.0,,,,,2.0,,,,,65.0,,,,,,,,,2957.0,538.0,525.0,19.0,,,6088.0,,,,,
1996,,1306.0,,,474.0,,2.0,1.0,,418.0,,6190.0,425.0,418.0,,,,26.0,2847.0,5522.0,,,,,2.0,,1.0,316.0,1345.0,5796.0,7886.0,,4428.0,,428.0,19.0,,,,,,,,1059.0,,1.0,,,,8.0,1.0,,13.0,,1665.0,287.0,7.0,8397.0,,,1568.0,,708.0,,,66.0,4396.0,,,1.0,,,,39.0,,482.0,,740.0,,,,720.0,,8922.0,,,,,,0.0,,1088.0,,5723.0,,177.0,0.0,4534.0,,1.0,1486.0,,3957.0,12374.0,2813.0,3.0,,274.0,,,,144727.0,,,4518.0,1402.0,,,7.0,,4.0,,,4.0,106.0,,,16107.0,19.0,,182.0,10274.0,,,,,1.0,2.0,,,7830.0,146.0,,,,,,,,,1464.0,291.0,,3.0,,269.0,566.0,,,,2172.0,
1997,4170.0,,,,637.0,,2.0,,,1959.0,,796.0,,1959.0,,,,2.0,1632.0,2881.0,,,,443.0,,,4.0,1177.0,,1709.0,2421.0,275.0,1508.0,,,1.0,,,2.0,2424.0,,,,65.0,,,,,,3.0,,,6.0,,379.0,,,20555.0,,,1263.0,,100.0,,1.0,66.0,2768.0,,1106.0,,,,,89.0,4.0,17200.0,,155.0,,10.0,1.0,,,91.0,,430.0,,,,,,2356.0,,6.0,,,8739.0,462.0,,130.0,389.0,,259.0,1322.0,1283.0,2.0,,245.0,,,,149416.0,,,3483.0,605.0,,,,,,,,11.0,274.0,,,371.0,19.0,,,6814.0,,,,,,,,,8801.0,42.0,,,55.0,,,,,,40249.0,2610.0,,4.0,,2551.0,4.0,,,,36.0,
1998,10000.0,,,,12.0,25.0,5.0,1.0,,1067.0,,206.0,1036.0,1067.0,,,,28.0,466.0,2571.0,,19.0,,22.0,2.0,2.0,24.0,4642.0,,4603.0,34899.0,3222.0,442.0,7300.0,133.0,,,,5.0,164.0,,,,3724.0,,,,,1.0,2.0,,,18.0,,3426.0,881.0,,126.0,,,5970.0,,306.0,,,,7151.0,,270.0,53.0,,2.0,,60.0,,22432.0,,1197.0,,,,,,2123.0,,1536.0,,,,,,71.0,,,,,42672.0,,,1745.0,1304.0,,,3464.0,1437.0,4.0,2.0,1745.0,,1.0,,298764.0,,,41717.0,729.0,,,,,,,,10.0,3220.0,,,,31.0,2096.0,8.0,4417.0,,,,,,7.0,,,4095.0,3217.0,,,,,,,,,14488.0,49514.0,,17.0,,313.0,13.0,,,20.0,171.0,995.0
1999,24639.0,,,,,,4.0,1.0,,3440.0,,855.0,93.0,3440.0,,,,12.0,,4495.0,93.0,,,,,,,4589.0,,1584.0,12711.0,4813.0,42.0,1180.0,,,,,3.0,,,,,90.0,,,,,,,,,,,9432.0,599.0,,,,,2077.0,,56.0,,,,3839.0,,1369.0,1985.0,,,,40.0,,11039.0,,1711.0,,,,,,215.0,,108.0,,,,9973.0,,,,6.0,,,44329.0,,,26508.0,535.0,,1186.0,26358.0,552.0,2.0,,,,1.0,,263085.0,,,1546.0,330.0,,,,,,,,8.0,327.0,,0.0,,11.0,863.0,134.0,17757.0,,,,,,7.0,,,217.0,667.0,,,,,,,,,12266.0,5179.0,2.0,6.0,,376.0,169.0,,,68.0,13511.0,5637.0
2000,4330.0,,,,,,1.0,,,1021.0,,468.0,617.0,1021.0,,,,,,715.0,,,,,5.0,,,1846.0,,123.0,14995.0,9.0,,3297.0,,,,,2.0,1828.0,,,,27.0,,,,,,5.0,3452.0,,33.0,,3331.0,519.0,,,,,612.0,,8.0,,,,4053.0,,345.0,532.0,,,,34.0,,1157.0,,,,,,,,365.0,,2.0,,,,29305.0,,5.0,300.0,1885.0,,,17649.0,,,2391.0,124.0,,225.0,2799.0,12.0,1.0,,,,,,143944.0,,,934.0,275.0,,,,,,,,,1235.0,,,,10.0,,631.0,7496.0,,,,,,141.0,,,,338.0,,,,,,,,,4637.0,2807.0,,4.0,,141.0,,,,19667.0,4504.0,1675.0
2001,4499.0,,,,,,2.0,0.0,,1003.0,,3943.0,477.0,,,,,,,7.0,,,,,6.0,,,140.0,5912.0,259.0,5728.0,,,226.0,,,,,1.0,,,,,9.0,,1.0,,,,2.0,14.0,,,,5487.0,392.0,,,,,13.0,,1.0,,,561.0,4081.0,1.0,105.0,560.0,,,,11.0,1.0,1001.0,,,,138.0,,,,1062.0,,,,,,7219.0,,1.0,,67.0,,,8794.0,,,2395.0,557.0,,81.0,2312.0,,,,,,1.0,7.0,186112.0,,,494.0,174.0,,,,,,,,53.0,157.0,,,,8.0,,,2567.0,,,,,,5612.0,,,5244.0,2551.0,,,561.0,145.0,,,,,1300.0,247.0,,4.0,,,,,,106159.0,3109.0,650.0
2002,3.0,,,3.0,,,5.0,1.0,,577.0,,270.0,,,,,,,,,,,,,4.0,,,,4188.0,66.0,31658.0,,,1567.0,,,,2.0,1.0,,,,,,,1.0,,,,1.0,,6.0,,,3614.0,61.0,,842.0,,,1.0,,,,,,3455.0,,118.0,718.0,,,,27.0,,291.0,,,,,,,,1115.0,,9.0,,,,27.0,,,,18.0,,,24375.0,80.0,,32618.0,,,236.0,5429.0,,1.0,,,,,1.0,142306.0,,,16.0,,,,,,,1.0,,,,38.0,,,2.0,,,2775.0,,,,,,134.0,,,,257.0,,,30.0,,,,,,11920.0,2274.0,,2.0,,,,,,10004.0,339.0,3125.0
2003,41.0,,,,,,,,,432.0,,434.0,1.0,,,,,,,,,,,,5.0,,,223.0,1034.0,207.0,27272.0,,,56.0,,,,,1.0,,,,,25.0,,,,,,,,629.0,9.0,,204.0,6.0,,290.0,,,1.0,,,,,,2893.0,,96.0,187.0,,,,16.0,,,,,,,,,,34740.0,,,,,,5.0,,,,1455.0,,,13758.0,34.0,,2736.0,,,292.0,1933.0,,1.0,,,,,,111569.0,,,,,,,,,,,,,12.0,,,,1.0,,,11020.0,,,,,1.0,32.0,,,55.0,384.0,,,,,,,,,710.0,4377.0,,2.0,,,,,,3901.0,1049.0,1009.0
2004,,,,,,,2.0,,,819.0,1.0,642.0,,,,,,,,21.0,,,,320.0,3.0,,,244.0,105.0,8005.0,7665.0,,2.0,1.0,,,,,3.0,,1.0,,,5.0,,,,16.0,,,,,13.0,,407.0,1516.0,,155.0,59.0,,,,,,,,4695.0,,94.0,35.0,,,,66.0,,870.0,,57.0,,10.0,,,,2786.0,,,,,,,,,,2839.0,,,20080.0,,,675.0,16.0,,2178.0,3186.0,,1.0,,,,,,101381.0,,,,533.0,,,,,,1.0,,1.0,586.0,,,1227.0,11.0,513.0,,4490.0,,,,,1.0,1075.0,,,5531.0,1080.0,,,,,,,,,10319.0,3380.0,,5.0,,,,,,2767.0,12149.0,119.0
2005,33.0,0.0,,,,,2.0,1.0,,1309.0,2.0,749.0,1050.0,,,,,,,5.0,,,0.0,0.0,7.0,,,980.0,39.0,2847.0,13430.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,,,0.0,1.0,,0.0,0.0,,,3166.0,3821.0,214.0,25111.0,6391.0,,,,,,,1338.0,3155.0,,1133.0,,,,,43.0,,816.0,,,,,,,1.0,3823.0,,,0.0,,,0.0,,,,1178.0,,0.0,2226.0,4132.0,0.0,1105.0,,0.0,553.0,4477.0,,4.0,1.0,,,1.0,,131879.0,,,,139.0,0.0,1.0,,,,2.0,,,89.0,,,31719.0,,6.0,,,,1966.0,,,,0.0,0.0,,90.0,1320.0,,,,,,,,,2945.0,4924.0,,12.0,,,0.0,,,3503.0,1503.0,516.0
2006,,67257.0,,,,,3.0,,,886.0,,91.0,0.0,,,,,,,,,,0.0,0.0,2.0,1.0,,161.0,414.0,922.0,20642.0,175.0,,0.0,0.0,,,,1.0,,,,0.0,,0.0,2.0,,54070.0,,2.0,,0.0,49.0,,3357.0,3242.0,0.0,37.0,0.0,,,,,,,,1939.0,,,,,1.0,,34.0,,870.0,,,,,,,,4929.0,,,0.0,,,0.0,,,,7.0,,,6306.0,25.0,0.0,4148.0,237.0,185.0,1232.0,2028.0,,3.0,1.0,,,,,236773.0,,,,66.0,,,,,,,,1.0,405.0,,30662.0,365.0,,2560.0,,,,926.0,,,1.0,18.0,0.0,,1668.0,1159.0,35.0,,,,,,,,14297.0,5194.0,,8.0,,,,,,0.0,5360.0,789.0
2007,,18422.0,,,,,3.0,,,365.0,,,,,,,,,,,,,,,1.0,,,168.0,8.0,10.0,28269.0,7785.0,,1555.0,,,,,2.0,1087.0,,,,,119.0,2.0,,24121.0,,4.0,,,32.0,,179.0,8546.0,12.0,153.0,,,,,,,,,2635.0,,19.0,4697.0,,1.0,,0.0,,1206.0,,,,,,169.0,,3063.0,,,,,,,,,,,,,2622.0,3.0,,475.0,0.0,14.0,24.0,1661.0,,,1.0,264.0,,,,178678.0,,,,0.0,,,,,,,,1.0,1453.0,,13731.0,3984.0,,2219.0,,41643.0,,90.0,,0.0,,0.0,178.0,,0.0,65.0,1428.0,,,,,,,,1609.0,276.0,0.0,7.0,,,1946.0,,,,2286.0,65.0
2008,4384.0,10511.0,,,,,,,,234.0,,985.0,0.0,,,,,,,,,,8.0,,1.0,,,174.0,7.0,0.0,30150.0,156.0,,4.0,,,,,,,1.0,,,,1.0,5.0,,3862.0,1.0,2.0,,2.0,8.0,,1223.0,513.0,1.0,14323.0,,,,,,,,1007.0,2680.0,,72.0,925.0,,,,,1.0,3091.0,,,,,,201.0,,1236.0,,,,,,,,1.0,,153.0,45.0,,9087.0,,,831.0,,3496.0,972.0,5410.0,,5.0,,,,,,190130.0,,,,,,,,,,,,,23.0,,17241.0,1283.0,,62.0,,1281.0,,119.0,,,,1.0,0.0,,,397.0,436.0,,,,,,,,2911.0,3726.0,,5.0,,,853.0,,,3907.0,2061.0,60055.0
2009,662.0,2019.0,,,,,,,,355.0,,74.0,,,,,,,,,,,15.0,,2.0,,,85.0,5.0,804.0,22899.0,93.0,,,,,,,,,,,,,,,,31509.0,,1.0,,,16.0,,1294.0,42.0,,5.0,,,,,,,,,,,,6.0,,,,,,11425.0,,39.0,,,,,,1070.0,,,,,,,,,,,,,19679.0,,,5751.0,187.0,159.0,,13691.0,,,,82.0,,,,221226.0,,,,,1957.0,,,,5.0,,,,67.0,,13681.0,4.0,,,,208.0,,,,,,19.0,,,67.0,218.0,315.0,,,,,,,,7700.0,1095.0,,10.0,,,471.0,,55.0,10520.0,4712.0,68153.0
2010,2369.0,1484.0,,,,,3.0,,,333.0,,983.0,,,,,,,,,,,,,2.0,,,157.0,32.0,10759.0,13884.0,,,,,,,,4.0,2047.0,,191.0,,,,,,1682.0,,,,,8.0,,438.0,,,,,,,,,179379.0,,,5155.0,,,2.0,,,,,,3188.0,,588.0,,1.0,,237.0,,1546.0,,,,,,,,1.0,,,,,7430.0,,,1155.0,443.0,,1154.0,44456.0,,,,1790.0,,,,317528.0,164.0,,,33.0,8997.0,,,,,,,3.0,,,,3.0,,,,3510.0,,,,,,,,,6395.0,72.0,1974.0,,,,,,,,4469.0,2341.0,,15.0,,,606.0,,300.0,,6794.0,951.0
2011,3733.0,1810.0,,,,,6.0,,,1072.0,,755.0,20.0,,,1.0,,,,1.0,3.0,,,117.0,9.0,,1.0,26.0,1261.0,22433.0,21700.0,762.0,,,,,,,4.0,127.0,,20851.0,,,,,,,,1.0,,,32.0,,10628.0,3.0,,,,,,,,340311.0,,,,,1187.0,,,,,12.0,,74.0,,,,3.0,,,,1146.0,,,,,,,,1.0,,2220.0,16.0,,1279.0,46.0,,120.0,586.0,,2324.0,23377.0,,,,12.0,,,,589854.0,527.0,,,120.0,1535.0,,,,,,,,,,,5.0,2.0,,,77636.0,,,,,1.0,,,,17267.0,4.0,279.0,,,,,,,,942.0,,33.0,42.0,,49.0,3.0,,31789.0,,330.0,1220.0
2012,12.0,1215.0,,,,,5.0,,,214.0,,625.0,143.0,,,1.0,,,,,,,,21.0,,,,77.0,424.0,363.0,33661.0,1181.0,,,,,417.0,,,,,7919.0,,,,,,,,,,,17.0,,9548.0,7350.0,,3068.0,,,,,,112076.0,,,,,53.0,4693.0,,,,3.0,,,,,,,,,,219.0,,,,,,,,2.0,,219.0,174.0,,647.0,,,187.0,282.0,,5284.0,597.0,,,,34.0,,,,245393.0,144.0,,,1864.0,,,,,,,,1.0,9.0,,,1.0,2.0,23124.0,,22576.0,,,,,,,,,,61.0,29.0,,,,,,,,286.0,6326.0,,18.0,,,,,,,198.0,23.0
2013,3957.0,6655.0,,,,,3.0,,,1557.0,,528.0,,,,,,,,,,,,,1.0,,2.0,53.0,56.0,29.0,26944.0,1624.0,,,,,181.0,,,,,1954.0,,,,,,,,,,,6.0,,50.0,319.0,,969.0,,,,,,58809.0,,,6008.0,,256.0,1.0,1.0,1.0,,8.0,,,,,,3.0,,,,92.0,,,,,,,,187.0,,23.0,33.0,,1869.0,,,,171.0,3.0,585.0,6600.0,,,,,,,,129067.0,1069.0,,,6.0,,,,,,,,,,,,,2.0,377.0,,6864.0,,,,,,,,,,166.0,8.0,,,,,,,,270.0,748.0,,14.0,,4.0,,,,1.0,,
2014,45481.0,213.0,,,,,2.0,,,582.0,,832.0,,,,,,,,,,,,,2.0,,1.0,24.0,235.0,3355.0,22203.0,,,,,,76.0,,1.0,,,603.0,,,,,,,,1.0,,,14.0,,28944.0,1.0,,11.0,,,,,,27753.0,,,4031.0,,,,,,,5.0,,35.0,,,,,,,,44.0,,,,,,,,14.0,,,400.0,,480.0,,,,134.0,485.0,2059.0,35996.0,,,,933.0,,,,190549.0,1218.0,,,4547.0,,,,,,,,1.0,,,,,2.0,,,2820.0,6421.0,,,,,,,,,262.0,12.0,,,,,,,,,309.0,,7.0,,,,,,,,
2015,58064.0,,,,,,2.0,,,442.0,,,,,8.0,,,,,,,,,,3.0,2.0,,13.0,199.0,124.0,19182.0,,,,,,65.0,,,,,546.0,,,,2.0,,,,1.0,,,15.0,,692.0,,,,,,,,,36045.0,,,889.0,,86.0,4965.0,,,,7.0,,13291.0,,,,,5.0,,,,,,,,,,,1.0,,,103.0,,8739.0,,,693.0,244.0,,51.0,5290.0,,,1.0,80.0,,,1.0,172454.0,,,,,,,,,,,,,,,,,,,,7536.0,1818.0,,,,1.0,,,,,35.0,125.0,,,,,,,,11563.0,1461.0,,4.0,,,,,,,,60.0
2016,677.0,78.0,,,,,1.0,,,434.0,,761.0,,,,,,,,,,,,,1.0,,,27.0,,,28093.0,15.0,,,,,,,1.0,,1.0,1159.0,,,,,,,,,,,19.0,,175.0,,,,,,,,,41421.0,,,841.0,,,,,,,10.0,,5866.0,,,,4.0,,,,,,,,,,,,,,,782.0,,883.0,,,1792.0,,,38.0,768.0,,1.0,,169.0,,,,132113.0,,,,124.0,,,,,,,,,355.0,,,,,,,15619.0,4295.0,,,,,,,,,,52.0,,,,,,,,11360.0,516.0,,14.0,,,,,15751.0,,,10.0
2017,33.0,828.0,,12.0,,,3.0,,,399.0,,11.0,,,,,,,,,,,,,4.0,,,14.0,,,56190.0,,,,,,,,,,,122.0,,,,,,,,,,,,,,,,,,,,,,13681.0,,,385.0,,,,,,,7.0,,4288.0,,,,5.0,,,,,,,,,,,,,,,,,5892.0,,,344.0,2.0,,,12174.0,,,,7.0,,,,1227391.0,,,,134.0,,,,,,5.0,,,,5.0,,,3.0,,,75414.0,16088.0,,,,,,,,1266.0,,8.0,,,,,,,,4895.0,252.0,,11.0,,,,,1032481.0,,1794.0,
2018,,1546.0,,,,,,,,92.0,,,,566.0,,,,,,,,,,,,,,,,1052.0,30768.0,60.0,,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,3777.0,,,697.0,,7.0,3.0,,,,4.0,,5719.0,,,,2.0,,,,2.0,,,,,,,,1.0,,,,,910.0,,,812.0,165.0,,3900.0,45037.0,,,,7.0,,1.0,1.0,499447.0,,,,2102.0,,,,,,,,,,,,,2.0,,,6761.0,,,,,,,,,,,6.0,,,,,,,,4777.0,4440.0,,10.0,,,,,371326.0,,4082.0,10692.0
2019,2.0,,,,,,2.0,,,1145.0,,50.0,,503.0,,,,,,,,,,,,,,16.0,,1840.0,30304.0,,,,,,,,,,,13.0,,,,,,2615.0,,,,,,,1.0,,,,,,,,,720.0,,,,,2.0,,,,,5.0,,5208.0,,,,1.0,,,,,,,,,,,,,,,,,7010.0,,,23.0,81.0,,,2486.0,,,,,,,4.0,923037.0,,,,5491.0,,,,,,,,,,,346.0,,2.0,,,3100.0,,,,,,,,,93.0,,12.0,,,,,,,,,358.0,,,,,,,861096.0,,447.0,61.0
2020,,,,13.0,,,,,,277.0,,232.0,,212.0,,,,,,,,,,,2.0,,,11.0,,1890.0,19789.0,,,,,,,,,,,,,,,,,12226.0,,,,,,,,,,,,,,,,,,,70.0,,1.0,9.0,,,,1.0,,447.0,,48.0,,,,,,,,,,,,,,,,,,,3787.0,,,3.0,,,,596.0,,2.0,,,,,,323369.0,21.0,,,3.0,,,,,,,,,,,7.0,,,,,6414.0,,,,,,,,,,67.0,7.0,,,,,,,1.0,,1521.0,,,,,,,275712.0,,,
2021,4755.0,,,153.0,,,,,,11.0,,1298.0,3.0,477.0,2.0,,,,,,,,,,,,,5.0,12.0,728.0,12103.0,,,,,,,,,,,,,,,,,674.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,38.0,,26.0,,,,,,167.0,,,,,,,,,,12.0,,,5072.0,,,2.0,64.0,,5591.0,111062.0,,,,1609.0,,,5.0,223370.0,21.0,,,2019.0,,,,,,,,,74.0,,9.0,,,,,4342.0,,,,,,,,,,40.0,1.0,,,,,,,,54.0,173.0,,,,,,,72765.0,,,
