Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BHR,BHS,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CZE,DEU,DJI,DNK,DOM,DZA,ECU,ERI,ESP,EST,ETH,FIN,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HND,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,MAR,MDA,MDG,MDV,MEX,MHL,MLI,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SSD,STP,SUR,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TUN,TUR,TUV,TWN,TZA,UGA,UKR,USA,UZB,VEN,VNM,WSM,YEM,ZAF,ZMB,ZWE
1962,,,,,,,,,,,,,,2524.0,,,,,,,,,,,,,,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.0,51082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,68727.0,,,,13015.0,1293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,3975.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.0,44839.0,,,,,,,16.0,,,,52.0,,415.0,,,,,,,,,,,,,,,3019.0,,,,,,349.0,,,,,,,,,,,59437.0,,,,3979.0,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,2230.0,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,3333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.0,53011.0,,,,,,,2.0,,,,187.0,,11.0,,,,,,,,,,,,,,,922.0,,,,,,512.0,,,,,,,,,,,95938.0,,,,16464.0,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,960.0,,,,,,,,,,,,,,20186.0,,,,,
1965,218.0,,,,,,,,,,,,,1123.0,1.0,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42677.0,,5037.0,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,,,,,,16.0,,,,,,,727.0,,,,56609.0,21.0,,,4581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,1738.0,,,,,
1966,,,,,,,,,,,,,,3154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,13052.0,,162.0,227.0,,,,,,,,62.0,,,,,,,,,,,,,,,,,263.0,,,,,,5.0,,,,,,,2.0,,,,31146.0,,,,5261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,401.0,,,,,,,,,,,,,,8353.0,,,,,
1967,,,,,,,,,,,,,,664.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,13708.0,,221.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,24748.0,,,,1629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,,,,,,,,,,,,,7664.0,,,,,
1968,,,,,,,,,,,,,,3156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,22587.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,3.0,,,,,,15.0,,,,,,,34.0,,,,34164.0,3932.0,,,2787.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,404.0,,,,,,,,,,,,,,1097.0,,,,,
1969,,,,,,,,,,,,,,7411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.0,19280.0,,557.0,,,,,8.0,,,,,,1538.0,,448.0,,,,,,,,,,,,,205.0,,,,,,70.0,,,,,,,226.0,,,,36173.0,717.0,,,1541.0,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,961.0,,,,,,,,,,,,,,2573.0,,,,,
1970,,,,,,,,,,,,175.0,1.0,7419.0,,,,,,,24.0,,,,,,,,868.0,,,,,,,,,4.0,,6.0,,,,,,,,850.0,,1.0,,,1.0,,2733.0,2000.0,,,,,,,,,,5997.0,15067.0,,19663.0,,185.0,,3.0,5.0,,,,,,475.0,4.0,,54.0,168.0,1151.0,,,,,,,,,2665.0,911.0,,,,,,106.0,,16.0,15.0,,,,391.0,,,,63994.0,2.0,,,1095.0,,,,,,,,720.0,,266.0,,,,293.0,,43.0,,,,,,,,49.0,,75.0,,,,,27.0,384.0,,,,,,,,,82.0,,,,,
1971,,1.0,,,,,,,,,,2133.0,1761.0,2342.0,,,,,,,,,,,,,,,668.0,2167.0,,,,,,,,,1.0,440.0,,,1332.0,,,22.0,,2187.0,,3.0,,,3.0,,13048.0,,,,,,,,,,,23555.0,71386.0,,344.0,,1.0,,,,,239.0,,,,,,,,606.0,,,,56.0,,2.0,,,,4792.0,378.0,,,1139.0,,,53.0,,9265.0,22931.0,,,,4.0,,,9.0,176058.0,1185.0,,,3585.0,,,,64.0,,,,,,,,265.0,,211.0,,89.0,,,,,4.0,,,5.0,8230.0,335.0,,,,,,,,,,757.0,,,,,270.0,,190.0,,,
