Date,AGO,ARG,ATG,BDI,BEN,BFA,BHS,BLZ,BOL,BRA,BRB,BRN,BTN,CAF,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,DMA,DOM,ECU,FJI,FSM,GAB,GHA,GIN,GLP,GMB,GNB,GNQ,GRD,GTM,GUF,GUY,HND,HTI,IDN,IND,JAM,KEN,KHM,LAO,LBR,LCA,LKA,MDG,MDV,MEX,MLI,MMR,MOZ,MTQ,MUS,MWI,MYS,NCL,NER,NGA,NIC,NIU,OWID_MNS,OWID_PYA,OWID_WRL,PAN,PER,PHL,PNG,PRI,PRY,PYF,REU,RWA,SEN,SGP,SLB,SLE,SLV,SOM,SSD,STP,SUR,SYC,TCD,TGO,THA,TLS,TON,TTO,TWN,TZA,UGA,VCT,VEN,VNM,VUT,WSM,ZMB,ZWE
1971,3.5556002,11.523401,3.2432,9.0106,5.5755005,6.0000005,11.309501,,13.000001,14.594501,26.562502,7.9594,,3.0586002,12.000001,3.3353002,5.6013002,6.7638,4.75,26.863,8.0,5.0,10.67,4.281,4.1176004,10.0,5.1111,10.339201,17.1429,,5.0,7.3810005,6.9718003,10.0,3.7143002,,2.6667001,8.400001,3.0000002,6.6667004,,7.2222004,4.0385003,7.6024003,14.8598,8.4488,8.0,10.6429,14.166701,5.9333,4.0244,5.5035005,6.1970005,4.0,20.0,7.5676003,9.816901,3.8750002,13.200001,15.750001,5.8700004,8.75,8.444401,6.8218,10.1911,4.0,5.4,12.3166,11.305401,8.3634,7.9475,13.366401,5.1913,10.274,3.3895001,12.654,17.5,10.0,12.000001,4.4214,9.7727,8.593801,4.9518,12.000001,10.833301,,10.4167,6.6449003,6.0241003,3.2,15.151501,14.1443,2.8842,9.0426,8.9686,14.7209015,4.7644,4.7579,12.500001,8.0366,7.1324,,18.75,6.1905003,3.0323002
1972,3.5556002,10.0578,3.7250001,8.963201,6.1194,6.0000005,11.764701,,13.307701,14.5318,26.562502,7.8947005,,3.1772,11.875001,3.3429,5.5997005,6.7368,4.9898,36.314804,8.0,5.0633,4.7000003,4.418,4.2308,10.0,5.0,9.267,18.0,,5.0,7.5000005,7.0139003,10.285701,3.3333,,2.6000001,8.620701,2.913,6.6667004,,6.9908,4.4231005,7.0722003,17.036802,8.868901,8.0303,11.0526,15.384601,5.9333,4.0476003,5.3466005,6.2139,3.0000002,20.0,7.5758,9.863501,3.8750002,20.0,15.500001,6.0347004,10.785701,8.444401,5.1137004,9.968801,4.0426,5.4,11.717901,10.537401,8.421801,8.8423,12.400001,5.4472003,10.266701,3.4694002,12.9496,17.2727,9.7561,12.000001,3.6701002,7.8202004,8.538501,4.9,12.0748005,10.833301,,10.625001,6.8966002,6.0241003,3.2222002,18.4762,12.127701,1.3468001,7.8947005,9.9800005,15.617801,4.8264003,7.0677004,12.500001,7.8350005,7.2294,,18.75,6.1905003,3.0625002
1973,3.6744,8.7798,3.8333,8.9947,6.1911006,4.0,12.2093,,13.034901,12.609401,26.363602,8.0,,3.3382,11.764701,3.3602002,5.6012006,6.8560004,4.9,26.027401,8.0,5.0,10.52,4.7949,4.1818,10.0,4.4745,9.913401,18.743101,,5.0,7.1429005,7.0000005,10.0,3.4,,2.6429,8.675,2.8750002,6.6667004,,3.9770002,4.2308,7.8286004,17.5424,8.0397005,8.059701,9.160001,15.333301,5.5556,4.0698004,5.3411,6.2074003,3.5000002,20.0,7.5862007,10.2572,4.0,20.0,18.0417,6.175,11.275901,8.444401,6.558,9.896901,3.9216003,5.5000005,11.2335005,10.149301,8.1703005,8.6916,12.4088,5.3455005,10.5263,3.4652002,13.918301,17.575802,9.7561,12.220701,4.5957003,8.0,8.4848,4.9588,12.1667,10.833301,,10.4348,6.7173,6.0241003,3.0222,20.35,13.120401,2.8097,7.6923003,12.337001,15.882901,4.8339,4.4139,12.500001,8.036,7.3333,,18.75,6.1905003,2.8125002
1974,3.6250002,12.7692,2.25,9.056201,5.9845004,5.0,12.500001,,12.9145,12.360401,26.4706,8.0,,2.9725,11.764701,3.3767002,5.7000003,6.9474,4.9179,28.000002,8.5002,4.7059,9.0,4.4128,4.3273,10.0,3.0182002,8.6716,9.960901,,5.0,7.1111007,7.0000005,10.0,3.3333,,2.6154,8.85,2.8400002,6.6667004,,3.4219,4.2308,8.6328,17.4386,8.2678,8.088201,9.0,15.000001,5.6667004,4.0909,3.8748002,6.609,4.5,20.0,7.5000005,11.0028,4.0,20.0,15.941201,6.3500004,11.500001,8.333301,6.4213,9.5,4.0385003,2.9565,10.3556,9.9027,8.167601,8.778901,12.464601,6.3167005,10.5128,3.4615002,15.484301,17.878801,9.7561,12.5228,3.5945,11.1111,8.9552,4.9273,12.4248,10.8,,10.4167,6.5354004,6.1224003,3.1111002,19.6319,13.1846,2.8205001,7.5000005,12.3316,15.958401,4.8038,4.8452005,12.000001,7.4054003,7.3333,,18.75,6.1905003,3.0303001
1975,3.5526004,15.017501,2.5333002,9.084701,7.3151007,5.2000003,12.777801,,13.1015005,12.793901,25.714302,8.0,,2.9719,11.6667,5.5206003,5.6984,7.0158,5.5000005,24.1935,7.8734,5.0,8.333301,5.7135005,4.1000004,10.037001,3.9992,10.2276,10.008201,,5.0,6.6667004,7.0000005,10.0,3.3333,,2.5385,8.285701,2.8077002,9.0909,,3.1986003,4.2727003,8.897401,16.320702,8.547901,8.0,8.75,15.384601,5.6000004,3.6933002,4.7365003,6.4356003,4.0,19.1643,7.5000005,8.9553,4.0625,20.0,17.583302,6.1905003,10.1818,6.15,5.0312004,10.0,4.0548,3.0909,10.339401,9.538401,8.5981,8.866401,11.2591,8.255401,10.500001,7.8,14.794201,17.9104,9.7561,12.313801,2.9434001,11.192301,9.701501,4.9273,9.473701,10.7586,,10.0,5.4146004,6.2500005,3.4043002,19.130001,14.933001,3.0769,7.3171005,12.3421,15.036,7.8286004,4.84,12.400001,8.4826,7.4207006,,18.75,6.2319,3.0000002
1976,3.6111002,10.213301,2.5882,9.1977005,7.8539004,5.3,13.043501,,13.85,12.1526,25.277802,8.0,,2.9310002,12.2222,5.3659,5.7005005,6.9070005,6.7956004,25.000002,7.9113,6.2857003,8.75,6.6168003,4.2333,10.125001,3.6440003,10.5001,12.000001,,5.0,7.2760005,7.0000005,10.0,3.1667001,,2.4615002,8.5556,2.7778,10.0,,2.9897,4.2857003,9.008,16.9344,9.1273,8.1757,6.6667004,15.454501,6.1111,3.6870003,4.945,6.4367003,4.0,16.9536,7.5000005,8.735401,4.125,7.3333,17.333302,6.3571005,10.0,7.5000005,8.972701,10.185201,4.0550003,3.1818001,10.5176,9.4818,8.8444,8.956,11.226001,10.4412,10.487801,7.438,14.773001,17.9412,9.7561,11.977701,2.6798003,11.1429,10.2941,5.1176004,9.470301,11.066701,,10.4167,6.1995,5.7143,3.4681003,19.0296,15.065401,3.3333,7.2115,12.500001,16.291601,8.596401,5.5404,12.200001,7.8786006,7.8597007,,12.500001,6.2338,3.0303001
1977,3.6111002,8.551401,2.2,9.0909,7.3564005,5.4,13.157901,,12.7952,11.918701,25.277802,8.333301,,2.9508002,12.1053,5.0622005,5.8001003,6.9005003,5.5000005,23.3871,9.036201,4.9333,11.250001,5.0368,4.3667,10.0,6.2436004,7.2058,14.000001,,5.0233,7.806,6.9966006,8.0,3.3333,,2.3846002,9.0,2.7500002,10.0,,2.7942002,4.386,9.1582,16.524101,9.2243,7.7215004,7.5000005,15.7143,6.3333,3.5417001,5.8129,6.6205,3.0000002,16.403902,7.5000005,9.3393,4.1875,3.4667,17.3846,6.2045,10.277801,8.0,8.686001,10.0,4.0552,3.1818001,10.7606,9.249801,8.935401,8.8662,11.333,9.7971,10.588201,7.3420005,14.8028,17.714302,10.0,11.982301,3.9714,11.000001,10.8696,4.9444003,10.119,11.400001,,10.400001,5.6404,5.3333,3.5417001,15.1933,14.2551,3.2468002,7.0048003,12.500001,15.580401,11.982201,5.5403,11.8,6.7446003,7.6723003,,12.500001,6.1905003,3.0303001
1978,3.6111002,8.4651,4.1667004,9.183701,6.5149,6.1111,13.247401,,14.3406,11.848701,23.000002,8.333301,,2.9841003,12.500001,5.1799,5.8016005,6.6241,5.9184003,23.3871,9.4285,5.0,12.000001,4.2393,4.0,10.125001,4.0104003,7.0530005,16.0,,4.9783,8.0638,7.0045004,8.0,3.0000002,,2.3846002,8.6842,2.7241,10.0,,2.6131003,4.5,9.3297,15.8758,9.1049,7.7500005,6.2500005,15.277801,6.5556006,3.5200002,7.8815002,5.8336005,2.5,15.5718,7.5000005,9.352301,4.25,5.2000003,17.571402,6.3636003,10.303,8.571401,7.8527007,10.909101,6.0000005,4.0,10.5256,8.93,9.044201,8.4043,11.402401,11.7261,10.2151,8.2326,15.274701,17.7465,10.0,9.3556,4.7053,11.000001,11.4286,4.4500003,10.200001,11.1,,11.1111,7.6415005,5.0667005,3.5714002,17.7397,15.5115,3.4722002,6.5534,12.500001,15.007601,11.128901,3.8373003,12.200001,7.3354,7.6031003,,10.6667,6.2222004,3.0058002
1979,3.3824,8.551401,4.3,9.171401,6.4892006,7.0000005,12.1053,,12.7366,11.824501,24.864902,8.1818,,3.0323002,14.000001,5.2543,5.7998,7.0000005,6.3158,23.3871,8.6101,4.8571005,12.000001,3.4720001,4.0,10.7867,5.0758,9.115001,18.0,,4.9792004,8.032001,6.9982004,8.0,3.0000002,,2.3846002,8.473701,3.3690002,10.0,,2.8715003,4.0382004,9.5537,16.736101,11.369801,7.8750005,6.0000005,15.000001,6.6667004,3.4615002,9.973901,5.8852005,3.0000002,13.3901005,7.5000005,9.2931,4.0230002,2.7,20.2222,6.1277003,10.2941,8.6667,8.0049,10.4348,8.0,3.8462002,10.6078005,8.8199005,9.0067005,8.4726,11.487401,10.6007,10.315801,8.2279005,14.936501,17.777802,10.0,16.400002,3.1656003,11.000001,11.971801,4.5,11.8286,11.064501,,11.1111,6.9949,5.0,3.6000001,9.5063,13.968401,3.3846002,6.4286003,12.500001,15.305201,12.542201,4.2706003,12.000001,7.3653,7.4166,,10.6667,6.2105002,3.0000002
1980,3.3824,9.6391,3.9167001,9.0909,6.5857005,8.1429,11.500001,,12.150001,11.640501,24.4737,8.292701,,3.0667,14.601801,5.2332006,5.9001,7.0000005,6.8750005,23.333302,10.353401,4.8529,7.5000005,3.3938003,2.7,11.213301,4.9842005,9.1091,19.0,,5.0,8.0765,7.0022006,9.0,3.0000002,,2.4615002,8.529401,3.3333,10.625001,,5.5587006,3.9683003,9.717901,16.6107,11.667001,7.8882008,8.0,15.1111,6.6667004,3.4615002,9.7883005,6.0756006,1.0,9.474901,7.392,16.1422,4.1379,2.7,17.2,5.84,10.312501,8.4375,7.7143,9.583301,11.184701,3.8462002,10.7143,8.8028,9.1267,7.0719004,11.346901,9.3051,10.312501,8.251901,14.966801,17.8082,10.0,11.9143,3.4018002,11.000001,12.500001,3.8000002,11.842701,11.062501,,11.250001,7.2808003,5.0,3.8182,10.3255005,14.748901,3.4921002,6.2642007,12.285701,14.9381,10.728901,6.8609004,12.000001,8.5708,7.5028,,10.6667,6.1765003,3.2432
