Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,12.184003,12.451597,,,,11.501,,,,,,,,,,,,,,,,0.0,,,,,,6.808,,,0.972,,,,,,,,,,,,,,27.985,,,,,,,9.2365,,,2.514,,,,,,3.153,,,2.896,,,,,,,,,,,,,,,,,,,1.8146852,2.158,,13.736637,,,,24.712,,,128.04317,8.685689,,,,,,0.057794,,,,,,,,,,,,,,,,,7.2125926,,,,,,,,,,,,2.194,,,,,,,38.213,,,,,,,1426.3318,,,,,,0.081,,,,,,,,,451.26718,,29.752546,,,,,,,,,,,,,,,,,,,,,,,10.666,,,,,,,0.0582,0.0,,,48.9586,,313.92038,,,,,,0.072,,,,0.0,,
1986,,,,,12.813931,13.249956,,,,13.784,,,,,,,,,,,,,,,,0.0,,,,,,6.886,,,1.693,,,,,,,,,,,,,,29.811,,,,,,,10.289,,,2.118,,,,,,2.85,,,1.743,,,,,,,,,,,,,,,,,,,1.8624173,3.682,,15.771317,,,,26.871,,,130.83553,9.172172,,,,,,0.05282,,,,,,,,,,,,,,,,,7.6519613,,,,,,,,,,,,2.862,,,,,,,41.502,,,,,,,1432.6915,,,,,,0.063,,,,,,,,,469.81372,,30.840101,,,,,,,,,,,,,,,,,,,,,,,10.25171,,,,,,,1.3407,0.0,,,51.631607,,267.21338,,,,,,0.066,,,,0.0,,
1987,,,,,13.656864,12.537775,,,,13.989,,,,,,,,,,,,,,,,0.0,,,,,,6.159,,,2.737,,,,,,,,,,,,,,32.956,,,,,,,11.716,,,1.496,,,,,,2.436,,,4.532,,,,,,,,,,,,,,,,,,,2.1528263,4.235,,13.528336,,,,31.732,,,135.03831,9.451501,,,,,,9.536521,,,,,,,,,,,,,,,,,8.959106,,,,,,,,,,,,3.33,,,,,,,41.292,,,,,,,1516.5096,,,,,,0.165,,,,,,,,,487.93124,,33.070404,,,,,,,,,,,,,,,,,,,,,,,15.62366,,,,,,,2.5281,0.0,,,52.136395,,293.14066,,,,,,0.066,,,,0.0,,
1988,,,,,14.838763,21.067415,,,,14.718,,,,,,,,,,,,,,,,0.005,,,,,,9.432,,,2.053,,,,,,,,,,,,,,33.141,,,,,,,13.1555,,,1.365,,,,,,2.414,,,4.778,,,,,,,,,,,,,,,,,,,2.6379297,3.604,,20.016024,,,,32.42,,,141.93289,9.299317,,,,,,11.06444,,,,,,,,,,,,,,,,,8.30325,,,,,,,,,,,,4.03,,,,,,,36.428,,,,,,,1540.98,,,,,,0.097,,,,,,,,,494.1535,,34.576622,,,,,,,,,,,,,,,,,,,,,,,18.71988,,,,,,,3.2395,0.0,,,50.202965,,271.8287,,,,,,0.064,,,,0.0,,
1989,,,,,15.610705,24.335419,,,,15.128,,,,,,,,,,,,,,,,0.215,,,,,,14.835,,,3.709,,,,,,,,,,,,,,38.575,,,,,,,13.715,,,1.398,,,,,,2.974,,,4.949,,,,,,,,,,,,,,,,,,,2.9626102,7.275,,26.360573,,,,34.407,,,149.58807,9.395003,,,,,,9.909751,,,,,,,,,,,,,,,,,9.759288,,,,,,,,,,,,4.087,,,,,,,39.93,,,,,,,1728.5537,,,,,,0.115,,,,,,,,,501.00507,,38.833996,,,,,,,,,,,,,,,,,,,,,,,19.19475,,,,,,,9.524,0.13025177,,,51.471203,,379.17084,,,,,,0.038,,,,0.0,,
1990,,,,,17.079582,19.849697,,,,12.5655,7.72,,,5.41,,,,3.19,,,,,,,,0.325612,,,,,,9.654,,,2.771,,,,,,,,,,,,0.0,0.38,35.9,,,0.69,,,,16.446,,,1.51,0.96,,4.66,,,3.03,,,5.0,,,,,,,,0.09,,,,,,,,1.36,,4.47,3.40076,9.958,3.94,30.322031,,,,39.71,,,172.93031,9.138,,,,,,12.39257,,,,,,,,,6.77,0.03,1.73,,,,,,13.208471,0.0,,0.0,,,,,,,,,5.54,,,,,,,36.53,0.0,,,,,,1788.726,,,,,,0.13,,,0.0,,,,,22.57,511.61584,,40.728554,,,,,,,,,,1.32,,,,1.82,0.0,0.42,,,,,,,17.76506,,,,,,,10.19,1.2033231,,,49.89,,400.82275,,,,,,0.006,,,,0.0,,
1991,,,,,17.22056,20.967009,,,,11.2025,7.47,,,6.22,,,,2.88,,,,,,,,0.373,,,,,,8.622,,,2.429,,,,,,,,,,,,0.0,0.38,36.3,,,0.83,,,,20.4065,,,1.36,0.97,,4.95,,,3.05,,,5.82,,,,,,,,0.09,,,,,,,,0.74,,5.03,4.34982,13.355,3.75,35.001957,,,,36.34,,,184.34412,8.6412115,,,,,,13.210645,,,,,,,,,6.29,0.03,1.81,,,,,,18.932142,0.0,,0.0,,,,,,,,,7.726,,,,,,,41.01,0.0,,,,,,1814.145,,,,,,0.11,,,0.0,,,,,20.47,501.31113,,42.755676,,,,,,,,,,1.32,,,,2.12,0.0,0.58,,,,,,,19.051186,,,,,,,12.59,2.8704002,,,46.43,,410.27206,,,,,,0.035,,,,0.0,,
1992,,,,,18.68745,20.795021,,,,11.964,6.64,,,6.67,,,,2.77,,,,,,,,0.39,,,,,,13.122,,,2.467,,,,,,,,,,,,0.0,0.38,33.0,,,1.08,,,,22.9445,,,1.71,0.29,,5.18,,,3.18,,,12.58,,,,,,,,0.08,,,,,,,,1.37,,4.2,3.24939,16.258,3.65,37.1593,,,,35.48,,,184.15916,8.735418,,,,,,19.538755,,,,,,,,,1.26,0.03,1.15,,,,,,18.775942,0.0,,0.0,,,,,,,,,12.672108,,,,,,,43.46,0.0,,,,,,1828.4281,,,,,,0.1,,,0.0,,,,,19.47,460.18744,,43.896797,,,,,,,,,,0.59,,,,0.87,0.0,0.79,,,,,,,22.94304,,,,,,,10.81,3.0210757,,,42.24,,434.4886,,,,,,0.006,,,,0.0,,
1993,,,,,21.728193,21.994476,,,,12.247,6.79,,,6.81,,,,3.04,,,,,,,,0.388,,,,,,15.299,,,3.124,,,,,,,,,,,,0.0,0.4,32.8,,,1.59,,,,26.1725,,,1.2,0.13,,5.55,,,3.5,,,34.04,,,,,,,,0.08,,,,,,,,1.82,,4.08,4.31729,17.878,4.53,40.283653,,,,39.96,,,182.32396,7.759973,,,,,,18.922913,,,,,,,,,0.26,0.02,0.56,,,,,,19.067333,0.0,,0.0,,,,,,,,,15.45935,,,,,,,44.12,0.01,,,,,,1862.4302,,,,,,0.1,,,0.0,,,,,18.0,429.16818,,47.87552,,,,,,,,,,0.37,,,,1.18,0.0,0.91,,,,,,,27.95316,,,,,,,10.79,2.6078918,,,38.89,,446.15784,,,,,,0.014,,,,0.0,,
1994,,,,,23.734028,22.719355,,,,13.556,8.64,,,8.27,,,,2.56,,,,,,,,0.47916743,,,,,,15.437,,,3.154,,,,,,,,,,,,0.0,0.39,36.1,,,2.28,,,,29.2915,,,3.24,0.22,,6.43,,,3.63,,,53.26,,,,,,,,0.08,,,,,,,,1.84,,4.83,12.3335,21.882,4.46,47.248394,,,,40.8,,,199.1195,5.350398,,,,,,17.912264,,,,,,,,,0.33,0.05,0.31,,,,,,21.380184,0.0,,0.0,,,,,,,,,19.446205,,,,,,,43.54,0.15,,,,,,1923.7316,,,,,,0.15,,,0.0,,,,,16.57,363.7423,,50.47802,,,,,,,,,,0.31,,,,2.19,0.0,0.86,,,,,,,31.484798,,,,,,,13.82,5.382906,,,34.26,,494.8588,,,,,,0.004,,,,0.0,,
