Date,ABW,AFG,AGO,ALB,ANT,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_USS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1975,,,0.0,,0.0,0.0,2.517,,,,0.0,0.0,,,6.784,,,0.0,2.554,0.0,,,,,,0.0,0.0,,0.0,,,,12.57,7.761,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,24.138,,,0.0,,0.0,0.0,0.0,,,7.544,,,0.0,,,18.248,,0.0,30.338,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,2.143409,0.0,0.0,0.0,0.0,0.0,3.8,,,25.125,,,,,,,0.0,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,3.335,0.0,,,0.0,0.0,,28.615616,369.8482,0.6098772,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,0.187,,11.969,,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,181.58429,,,0.0,,,0.0,,,,0.0,,
1976,,,0.0,,0.0,0.0,2.572,,,,0.0,0.0,,,10.036,,,0.0,4.989,0.0,,,,,,0.0,0.0,,0.0,,,,17.416,7.939,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,29.533,,,0.0,,0.0,0.0,0.0,,,7.555,,,0.0,,,15.778,,0.0,36.155,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,2.6560595,0.0,0.0,0.0,0.0,0.0,3.807,,,34.079,,,,,,,0.0,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,3.872,0.0,,,0.0,0.0,,38.15268,432.67142,0.5170698,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,0.442,,15.993,,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,201.1616,,,0.0,,,0.0,,,,0.0,,
1977,,,0.0,,0.0,0.0,1.637,,,,0.0,0.0,,,11.939,,,0.0,5.884,0.0,,,,,,0.0,0.0,,0.0,,,,26.342,8.114,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,41.255,,,0.0,,0.0,0.0,0.0,,,6.524,,,2.6421053,,,17.941,,0.0,40.021,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,1.8517286,0.0,0.0,0.0,0.0,0.0,3.385,,,31.659,,,,,,,0.071466,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,3.71,0.0,,,0.0,0.0,,51.03081,538.5478,0.3270356,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,0.114,,19.913,,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.099,,,,,264.08768,,,0.0,,,0.0,,,,0.0,,
1978,,,0.0,,0.0,0.0,2.896,,,,0.0,0.0,,,12.513,,,0.0,5.91,0.0,,,,,,0.0,0.0,,0.0,,,,31.202,8.395,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,43.873,,,0.0,,0.0,0.0,0.0,,,7.649,,,3.2410526,,,30.452,,0.0,37.224,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,2.2627327,0.0,0.0,0.0,0.0,0.0,4.428,,,59.313,,,,,,,2.324376,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,4.06,0.0,,,0.0,0.0,,52.462696,625.7944,0.1679372,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,0.019,,23.781,,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,2.67,,,,,290.9506,,,0.0,,,0.0,,,,0.0,,
1979,,,0.0,,0.0,0.0,2.692,,,,0.0,0.0,,,11.407,,,0.0,6.18,0.0,,,,,,0.0,0.0,,0.0,,,,35.271,11.805,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,52.064,,,0.0,,0.0,0.0,0.0,,,6.7,,,6.694737,,,39.96,,0.0,38.308,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,2.3467014,0.0,0.0,0.0,0.0,0.0,2.628,,,70.393,,,,,,,3.151904,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,3.489,0.0,,,0.0,0.0,,59.617706,650.8599,0.0530328,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,2.147,,21.039,,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,6.329,,,,,268.5838,,,0.0,,,0.0,,,,0.0,,
1980,,,0.0,,0.0,0.0,2.34,,,,0.0,0.0,,,12.549,,,0.0,6.165,0.0,,,,,,0.0,0.0,,0.0,,,,38.032,14.346,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,55.589,,,0.0,,0.0,0.0,0.0,,,5.186,,,6.9736843,,,61.251,,0.0,37.023,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,2.4483476,0.0,0.0,0.0,0.0,0.0,2.208,,,82.591,,,,,,,3.477154,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,4.2,0.0,,,0.0,0.0,,73.9233,711.9242,0.0795492,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,4.523,,26.488,,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,8.199,,,,,264.33218,,,0.0,,,0.0,,,,0.0,,
1981,,,0.0,,0.0,0.0,2.816,,,,0.0,0.0,,,12.859,,,0.0,9.119,0.0,,,,,,0.0,0.0,,0.0,,,,40.067,15.33,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,65.533,,,0.0,,0.0,0.0,0.0,,,9.568,,,14.563158,,,105.326,,0.0,37.969,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,2.466025,0.0,0.0,0.0,0.0,0.0,2.707,,,87.82,,,,,,,2.897205,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,3.658,0.0,,,0.0,0.0,,87.0887,840.75073,0.1679372,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,5.133,,37.679,,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,10.668,,,,,287.02475,,,0.0,,,0.0,,,,0.0,,0.0
1982,,,0.0,,0.0,0.0,1.87,,,,0.0,0.0,,,15.664,,,0.0,10.746,0.0,,,,,,0.0,0.0,,0.0,,,,38.337,15.133,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,74.426,,,0.0,,0.0,0.0,0.0,,,8.771,,,16.658947,,,108.919,,0.0,43.972,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,2.1566672,0.0,0.0,0.0,0.0,0.0,6.804,,,102.43,,,,,,,3.777289,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,3.897,0.0,,,0.0,0.0,,100.25409,912.17755,0.2032924,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,5.84,,39.045,,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,13.084207,,,,,297.65604,,,0.0,,,0.0,,,,0.0,,0.0
1983,,,0.0,,0.0,0.0,3.405,,,,0.0,0.0,,,24.106,,,0.0,12.318,0.0,,,,,,0.0,0.0,,0.0,,,,48.61,15.71,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,0.0,0.2,78.063,,,0.0,,0.0,0.0,0.0,,,10.661,,,17.596842,,,144.261,,0.0,49.928,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,2.473,0.0,3.0759025,0.0,0.0,0.0,0.0,0.0,5.783,,,114.291,,,,,,,8.965058,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,3.589,0.0,,,0.0,0.0,,111.39539,1033.8127,0.2740028,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,6.15,,41.004,,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,18.9037,,,,,309.13382,,,0.0,,,0.0,,,,0.0,,0.0
1984,,,0.0,,0.0,0.0,4.641,,,,0.0,0.0,,,27.743,,,0.0,12.735,0.0,,,,,,0.0,1.643,,0.0,,,,52.21,18.44,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,0.0,1.239,104.317,,,0.0,,0.0,0.0,0.0,,,23.086,,,18.73579,,,191.234,,0.0,53.979,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,3.766,0.0,4.0393314,0.0,0.0,0.0,0.0,0.0,6.887,,,134.264,,,,,,,11.792059,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,3.711,0.0,,,0.0,0.0,,143.79843,1254.5685,0.331455,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,7.239,,50.926,,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,24.588945,,,,,344.8774,,,0.0,,,0.0,,,,3.925,,0.0
