Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1995,,,,,24.982,67.16925,,,,175.2245,55.05,17.044,,73.52,,,10.806,41.65,,,,24.918,,,,275.60144,,,,,,557.8687,62.86267,28.027,1007.03,,,,,,47.48347,,,,,,2.5,60.58,530.72,,,36.58,,19.715,8.4285965,50.652,,,165.07,8.69,,64.0,,,489.41,,,337.42,,,,,,,,,40.94,,,,,,,27.915556,,9.24,,34.02,54.12053,427.14877,17.57,84.353,26.497929,4.975857,30.437,237.37,,,1010.88,66.739,,,,,,203.54646,23.724,,,,,,4.80042,,13.52,0.49,3.99,,12.092,,,,150.3563,6.13,,1.63,,,,,,,,,,46.5745,,,,,,,79.78,122.25,,,36.40975,6.5,,13381.867,63.75,,16.8801,33.554,,137.05,,,32.91,,,,6.013,,59.05,860.027,,109.928024,,,22.0574,,,,,,,32.18,,,,26.43,12.9,148.28,,,,,,,79.73721,,9.905,,,4.307,,86.24,133.1167,,,195.46,,3567.3313,47.453,,73.446,,,14.648,,,,186.655,,
1996,,,,,26.572,69.75982,,,,180.127,53.45,17.085,,75.14,,,11.474,42.68,,,,23.728,,,,291.24554,,,,,,571.6216,57.32835,30.791,1081.31,,,,,,48.37112,,,,,,2.61,63.83,548.23,,,53.38,,20.654,9.6792,53.57,,,173.21,9.09,,69.31,,,507.79,,,350.87,,,,,,,,,42.17,,,,,,,28.44,,11.14,,35.09,58.86776,443.2054,18.87,89.74,25.981339,5.111637,32.5694,239.39,,,1029.857,58.747,,,,,,225.84572,25.475,,,,,,4.52796,,16.24,0.45,3.12,,12.538,,,,156.59093,6.64,,1.66,,,,,,,,,,53.409374,,,,,,,84.07,104.69,,,36.80441,6.802,,13797.155,67.565,,17.2798,36.707,,141.19,,,34.2,,,,6.615,,61.03,847.183,,112.16712,,,23.9094,,,,,,,32.31,,,,25.46,13.05,140.61,,,,,,,86.99163,,10.13,,,4.541,,94.85,141.96246,,,184.22,,3663.3862,45.419,,75.588,,,16.944,,,,200.092,,
1997,,,,,28.464,72.46247,,,,188.9795,55.59,16.836,,77.88,,,11.858,42.58,,,,26.057,,,,307.98077,,,,,,572.34143,62.902084,33.292,1135.55,,,,,,49.90634,,,,,,2.73,64.21,546.37,,,44.14,,21.497,10.36175,56.784,,,189.13,9.22,,69.11,,,499.31,,,350.67,,,,,,,,,42.81,,,,,,,28.943056,,10.21,,35.4,70.69102,469.15353,19.65,96.983,26.692944,5.579526,35.111,246.5,,,1054.864,52.0,,,,,,246.58746,26.724,,,,,,5.14394,,14.39,0.41,4.51,,13.593,,,,166.74844,6.73,,1.69,,,,,,,,,,59.935253,,,,,,,85.1,110.5,,,37.443447,7.318,,14128.604,62.481,,17.9534,39.797,,140.94,,,33.89,,,,6.91,,56.72,834.131,,119.10447,,,26.7094,,,,,,,35.19,,,,25.04,13.18,149.21,,,,,,,92.66128,,9.498,,,4.988,,103.3,150.4864,,,179.14,,3716.3774,46.054,,78.066,,,19.132,,,,210.362,,
1998,,,,,33.392,74.169556,,,,199.471,55.82,17.995,,82.09,,,12.882,41.42,,,,23.492,,,,321.74863,,,,,,561.99133,63.28794,35.495,1167.0,,,,,,50.283142,,,,,,2.99,64.62,549.26,,,40.92,,23.262,10.890352,60.697,,,193.39,8.55,,70.11,,,505.93,,,362.71,,,,,,,,,45.7,,,,,,,31.414444,,11.44,,37.2,76.69271,505.07843,20.85,102.385,26.74356,6.274405,37.9764,253.66,,,1059.663,49.8,,,,,,237.1974,29.984,,,,,,5.67539,,17.15,0.37,5.8,,12.968,,,,181.05911,7.05,,1.72,,,,,,,,,,64.141266,,,,,,,89.39,116.42,,,37.775845,8.2,,14511.013,66.396,,18.5825,41.578,,140.77,,,38.75,,,,8.166,,52.99,827.158,,126.16768,,,28.3748,,,,,,,35.23,,,,25.73,13.72,158.79,,,,,,,89.53301,,9.416,,,5.169,,111.02,163.22789,,,173.33,,3855.8083,45.9,,80.904,,,21.688,,,,205.374,,
1999,,,,,37.126,80.744736,,,,206.8995,59.72,18.176,,83.37,,,14.45,37.93,,,,26.516,,,,334.72623,,,,,,577.7736,68.61732,38.384,1239.3,,,,,,47.77472,,,,,,3.14,64.17,549.27,,,38.72,,24.757,10.308119,65.7305,,,205.63,8.27,,69.42,,,519.54,,,368.15,,,,,,,,,48.89,,,,,,,29.495832,,12.96,,37.83,83.97097,547.3625,21.72,110.088,24.720879,7.183988,39.2275,259.25,,,1079.142,47.3,,,,,,262.15216,31.576,,,,,,6.28075,,13.08,0.36,4.11,,12.895,,,,189.97858,6.86,,1.85,,,,,,,,,,68.1697,,,,,,,85.16,122.29,,,37.959885,8.413,,14926.271,65.302,,19.0496,41.432,,139.99,,,42.74,,,,8.939,,50.47,846.225,,130.99937,,,29.52,,,,,,,30.83,,,,28.11,13.26,154.84,,,,,,,90.21529,,8.86,,,5.247,,116.44,169.06453,,,172.58,,3936.0977,45.372,,80.585,,,23.559,,,,203.012,,
2000,0.78,0.48,1.44,4.73,39.94,88.98,5.78,0.17,0.15,216.83,59.64,18.68,0.1,82.79,0.08,0.39,15.94,40.59,13.86,1.7,10.43,26.1,0.13,0.6,3.88,348.93,0.79,2.54,1.79,1.14,0.1,603.82,66.12,41.12,1355.6,4.8,3.45,5.94,0.29,0.03,42.81,0.03,0.15,6.86,15.03,0.44,3.37,72.9,568.95,0.18,0.08,35.85,13.01,25.4,10.53,73.32,0.21,0.08,220.92,8.51,1.69,69.97,0.75,0.01,532.56,0.22,1.31,377.06,7.36,7.17,0.13,0.81,1.22,0.13,0.03,0.05,52.94,0.13,0.29,6.46,0.46,1.94,0.9,31.26,3.64,11.21,0.54,35.19,98.04,571.39,23.62,119.35,31.9,7.61,42.66,269.94,6.77,7.37,1099.67,51.64,4.31,15.85,0.33,0.01,0.15,290.45,32.33,3.65,9.95,0.2,15.5,0.28,6.78,0.29,11.13,0.4,4.14,1.57,13.7,5.45,0.86,0.15,203.62,6.81,1.06,1.92,5.1,,2.9,9.57,0.42,0.01,1.14,1.77,1.21,69.9,1.44,1.64,0.21,14.74,2.28,0.0,88.06,142.52,1.65,0.03,38.91,9.11,2.96,15278.69,66.49,4.89,19.92,45.3,2.17,143.18,21.85,19.3,43.21,53.49,0.03,0.41,9.13,1.76,51.56,877.76,0.16,138.69,2.54,1.49,31.67,0.01,0.06,0.09,3.71,0.25,0.04,31.95,,0.03,0.96,30.78,13.61,145.23,0.66,0.2,25.25,0.08,0.09,0.18,95.52,14.24,9.85,,0.04,5.46,10.59,124.38,184.84,2.5,1.59,171.84,7.59,3802.1,46.86,0.1,85.27,0.11,1.03,26.56,0.05,0.08,3.41,210.67,7.71,6.99
2001,0.81,0.69,1.64,3.69,43.17,90.14,5.74,0.17,0.17,224.26,60.98,18.96,0.11,78.63,0.06,0.36,17.38,43.44,14.62,1.77,10.63,25.07,0.13,0.61,3.96,328.55,0.83,2.58,1.92,1.13,0.11,587.76,71.05,42.32,1480.79,4.88,3.51,5.92,0.33,0.03,43.14,0.03,0.17,6.9,15.3,0.47,3.55,74.22,578.94,0.19,0.08,37.54,12.84,26.62,10.98,80.71,0.23,0.08,233.07,8.49,2.04,74.45,0.79,0.01,542.6,0.24,1.4,384.77,6.88,7.81,0.13,0.96,1.29,0.15,0.02,0.06,52.54,0.14,0.28,6.73,0.6,1.95,0.92,32.36,3.91,12.75,0.59,36.42,106.16,586.09,24.58,127.59,32.25,7.96,43.95,271.9,6.79,7.54,1083.14,55.38,4.81,14.81,0.28,0.02,0.16,309.88,34.3,3.67,9.95,0.2,16.11,0.29,6.67,0.28,14.36,0.87,4.27,1.57,15.6,5.85,0.88,0.16,210.22,6.37,1.07,1.94,4.67,,2.97,11.76,0.47,0.01,1.31,1.92,1.22,75.78,1.21,1.72,0.18,15.47,2.47,0.0,92.14,121.32,1.85,0.03,39.28,9.74,3.73,15500.42,72.11,5.12,20.77,47.05,2.68,143.72,22.31,20.09,46.06,45.32,0.04,0.42,9.95,1.85,53.55,891.27,0.15,146.09,2.68,1.79,33.06,0.01,0.06,0.13,3.93,0.26,0.04,32.57,,0.02,1.04,31.82,14.48,161.6,0.7,0.2,26.74,0.08,0.1,0.13,100.99,14.39,10.61,,0.04,5.64,11.38,122.24,188.53,2.83,1.59,173.3,9.25,3727.57,47.96,0.1,90.11,0.12,1.03,30.61,0.05,0.1,3.64,210.1,7.94,7.9
2002,0.82,0.71,1.76,3.71,46.85,84.59,5.31,0.18,0.19,223.49,60.63,18.68,0.13,80.94,0.06,0.36,18.95,42.08,15.26,1.89,10.79,26.46,0.14,0.64,4.16,345.72,0.86,2.71,2.18,1.15,0.11,599.79,65.41,43.44,1654.01,5.29,3.27,6.06,0.39,0.03,44.71,0.03,0.19,7.42,15.69,0.48,3.79,76.0,583.76,0.2,0.07,39.1,13.9,27.65,11.81,86.23,0.26,0.09,239.91,8.53,2.06,74.92,0.83,0.01,551.24,0.24,1.47,387.24,7.19,7.27,0.13,1.01,1.33,0.15,0.02,0.07,53.36,0.15,0.31,6.66,0.63,1.72,0.92,34.23,4.15,12.69,0.55,36.15,113.04,609.64,24.8,138.23,33.86,8.35,45.5,277.53,6.96,8.12,1103.07,58.33,5.15,12.98,0.57,0.02,0.18,332.01,36.37,3.57,11.55,0.2,17.53,0.29,6.94,0.31,17.29,2.8,3.97,1.7,15.1,5.64,0.86,0.19,215.73,6.09,1.11,2.05,5.07,,3.09,12.58,0.53,0.01,1.35,1.96,1.28,80.87,1.43,1.75,0.19,21.55,2.55,0.0,94.64,130.24,2.1,0.03,40.21,10.33,3.71,16049.61,75.77,5.29,21.99,48.46,2.87,142.49,23.16,19.66,45.55,48.21,0.15,0.46,10.94,1.93,54.42,891.28,0.17,154.91,3.0,2.08,34.66,0.01,0.06,0.16,4.13,0.27,0.04,33.24,,0.04,1.23,32.18,14.6,146.7,0.72,0.23,28.07,0.1,0.1,0.16,108.44,15.3,10.7,,0.04,5.64,11.84,128.46,198.84,2.89,1.72,174.03,9.6,3844.23,49.4,0.1,91.85,0.14,1.04,35.8,0.05,0.11,3.77,220.57,8.16,8.58
2003,0.84,0.91,1.99,5.23,49.45,92.07,5.3,0.19,0.21,225.95,57.97,21.26,0.1,83.57,0.08,0.45,20.07,42.28,15.7,2.0,11.27,26.63,0.16,0.66,4.33,364.39,0.87,3.2,2.5,1.04,0.11,588.27,65.34,46.63,1910.58,5.08,3.65,6.11,0.4,0.03,46.2,0.04,0.19,7.3,15.81,0.51,4.05,82.79,602.03,0.2,0.08,45.97,14.18,29.57,11.48,92.19,0.28,0.09,257.3,10.16,2.33,84.28,0.87,0.01,559.13,0.24,1.53,398.21,7.1,5.88,0.13,0.86,1.38,0.17,0.02,0.07,57.28,0.16,0.31,6.91,0.67,1.78,0.82,35.43,4.68,13.16,0.53,34.13,117.39,638.13,24.82,151.65,28.33,8.44,47.04,286.27,7.18,8.03,1092.59,63.86,5.48,15.44,0.64,0.02,0.18,347.77,39.8,3.15,12.93,0.2,18.95,0.3,7.63,0.32,18.82,2.79,3.97,1.8,16.34,5.77,0.96,0.22,224.9,6.73,1.11,2.24,5.42,,3.11,10.79,0.5,0.01,1.4,2.09,1.31,83.31,1.43,1.75,0.2,20.2,2.7,0.0,95.47,106.67,2.26,0.03,40.37,10.71,3.63,16627.73,82.08,5.57,22.93,52.94,3.22,150.01,23.92,20.88,46.39,51.77,0.34,0.47,12.01,2.08,54.84,916.29,0.18,166.58,3.47,2.33,35.32,0.01,0.06,0.15,4.41,0.28,0.04,34.26,,0.04,1.3,30.98,13.83,135.39,0.64,0.23,30.4,0.11,0.11,0.18,115.94,16.51,10.8,0.06,0.04,6.44,11.28,139.54,209.06,2.71,1.8,180.58,8.58,3868.94,48.74,0.11,91.95,0.14,1.04,40.93,0.05,0.1,4.1,234.23,8.32,8.79
2004,0.87,0.79,2.24,5.55,52.41,100.26,5.79,0.19,0.22,229.23,61.85,21.72,0.09,82.91,0.08,0.47,25.13,41.36,16.15,1.98,12.73,31.2,0.14,0.66,4.53,387.49,0.89,3.26,2.33,0.97,0.15,598.5,63.87,51.0,2203.31,5.5,4.07,7.02,0.4,0.03,49.33,0.04,0.22,7.98,15.64,0.45,4.2,83.79,609.6,0.22,0.11,40.24,12.02,31.25,12.8,98.25,0.28,0.09,276.61,10.31,2.57,85.84,0.88,0.01,566.3,0.25,1.53,393.92,6.86,6.0,0.14,0.9,1.43,0.19,0.03,0.09,58.22,0.14,0.33,6.42,0.69,1.88,0.86,37.05,5.16,13.87,0.55,33.71,124.78,698.32,25.18,162.76,32.29,8.54,47.28,293.71,7.25,8.96,1121.19,66.95,6.16,16.16,0.76,0.02,0.18,368.02,41.26,3.0,11.44,0.2,20.2,0.31,8.09,0.3,18.75,3.37,4.69,1.97,17.47,5.8,1.05,0.24,235.39,6.66,1.26,2.22,5.61,,3.28,11.6,0.54,0.01,1.44,2.16,1.47,96.06,1.38,1.67,0.2,24.29,2.81,0.0,99.82,110.1,2.39,0.03,42.27,11.5,4.08,17414.66,85.96,5.76,24.25,55.94,3.51,152.54,24.15,21.86,44.68,51.93,0.4,0.54,13.23,2.19,56.47,931.91,0.14,173.41,3.6,2.39,36.82,0.01,0.06,0.12,4.48,0.28,0.04,37.19,,0.04,1.43,30.46,15.27,151.56,0.58,0.23,32.17,0.12,0.12,0.19,124.13,16.49,11.92,0.07,0.05,6.43,11.93,149.75,218.41,2.61,1.94,182.44,5.9,3951.95,49.7,0.12,98.55,0.15,1.05,46.2,0.05,0.11,4.36,244.61,8.51,9.72
