Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1995,,,,,0.001738732,4.585,,,,2.7715,2.91,,,4.79,,,,1.68,,,,,,,,7.5814815,,,,,,6.303441,,,55.094,,,,,,,,,,,,2.5,1.12,21.47,,,3.73,,,,9.01,,,15.57,8.42,,7.53,,,10.5,,,22.83,,,,,,,,,8.6,,,,,,,,,2.43,,5.48,8.57921,16.826,4.66,29.339361,,,,124.79,,,248.6747,4.8602753,,,,,,29.563984,,,,,,,,,1.1,0.23,0.52,,,,,,70.00651,0.04,,1.54,,,,,,,,,,10.936,,,,,,,4.94,0.17,,,,,,1261.7968,,,,,,3.06,,,10.12,,,,,,5.8,67.79186,,60.119663,,,,,,,,,,0.25,,,,1.28,0.26,4.68,,,,,,,23.97307,,,,,,,5.77,32.240944,,,10.59,,80.165665,,,,,,1.295,,,,0.0,,
1996,,,,,0.0020053675,4.624,,,,2.49,2.98,,,4.68,,,,1.57,,,,,,,,9.328145,,,,,,7.4223657,,,50.351,,,,,,,,,,,,2.61,2.25,20.11,,,5.95,,,,10.5725,,,14.9,8.8,,8.44,,,11.19,,,19.15,,,,,,,,,8.4,,,,,,,,,1.84,,4.67,9.17187,19.848,4.83,31.73965,,,,120.9,,,237.25818,4.245919,,,,,,29.838997,,,,,,,,,1.32,0.18,0.74,,,,,,71.47585,0.07,,1.66,,,,,,,,,,11.094,,,,,,,5.19,0.19,,,,,,1247.4473,,,,,,3.33,,,5.87,,,,,,6.7,56.507877,,62.64848,,,,,,,,,,0.42,,,,1.75,0.26,7.97,,,,,,,25.556093,,,,,,,6.54,28.309069,,,5.15,,87.53895,,,,,,1.463,,,,0.0,,
1997,,,,,0.0026305043,2.042,,,,1.998,3.47,,,4.58,,,,1.34,,,,,,,,9.969053,,,,,,12.024732,,,47.115,,,,,,,,,,,,2.73,2.65,20.55,,,5.67,,,,12.3335,,,16.02,8.95,,8.35,,,11.96,,,12.41,,,,,,,,,7.93,,,,,,,,,2.68,,6.03,12.00631,20.889,5.48,32.053635,,,,118.51,,,208.94281,3.7667937,,,,,,28.126123,,,,,,,,,1.58,0.13,0.31,,,,,,82.51143,0.07,,1.69,,,,,,,,,,11.726,,,,,,,5.58,0.19,,,,,,1245.286,,,,,,3.85,,,6.61,,,,,,6.86,51.79229,,66.19376,,,,,,,,,,0.57,,,,1.29,0.35,4.58,,,,,,,21.706793,,,,,,,7.16,29.257505,,,2.5,,99.52137,,,,,,2.177,,,,0.0,,
1998,,,,,0.0027313328,3.81,,,,1.775,3.79,,,5.93,,,,1.14,,,,,,,,11.209596,,,,,,16.858065,,,53.392,,,,,,,,,,,,2.99,2.85,19.74,,,5.21,,,,16.063,,,19.72,8.27,,7.1,,,16.0,,,13.8,,,,,,,,,7.75,,,,,,,,,3.53,,6.15,9.53041,21.038,6.5,23.029913,,,,112.99,,,192.40436,3.6344662,,,,,,10.517918,,,,,,,,,2.9,0.03,0.4,,,,,,92.33252,0.06,,1.72,,,,,,,,,,11.31,,,,,,,5.77,0.18,,,,,,1295.5375,,,,,,3.7,,,10.6,,,,,,4.14,52.94331,,72.56708,,,,,,,,,,0.31,,,,1.86,0.14,4.54,,,,,,,18.523073,,,,,,,7.92,30.147787,,,2.42,,138.49481,,,,,,3.676,,,,0.0,,
1999,,,,,0.0028187176,3.831,,,,1.7565,3.66,,,4.33,,,,1.11,,,,,,,,16.636875,,,,,,14.81957,,,50.261,,,,,,,,,,,,3.14,2.57,17.49,,,5.2,,,,15.0515,,,26.9,8.03,,6.77,,,14.61,,,14.32,,,,,,,,,7.85,,,,,,,,,3.87,,5.49,9.81549,24.802,7.8,27.34244,,,,97.14,,,193.23811,3.0123556,,,,,,11.905647,,,,,,,,,1.81,0.03,0.4,,,,,,89.66314,0.03,,1.85,,,,,,,,,,4.967,,,,,,,5.75,0.22,,,,,,1267.9274,,,,,,3.7,,,11.0,,,,,,3.86,40.902073,,76.09774,,,,,,,,,,0.37,,,,1.09,0.14,4.21,,,,,,,15.886583,,,,,,,8.08,31.771656,,,1.6,,126.947136,,,,,,3.274,,,,0.0,,
2000,0.78,0.17,0.53,0.18,0.0,3.14,0.0,0.17,0.15,2.27,2.63,13.45,0.0,4.68,0.08,0.29,1.02,0.93,0.0,1.7,0.05,1.71,0.04,0.59,0.03,15.62,0.76,0.02,0.0,0.03,0.02,13.51,1.13,1.71,47.27,0.01,0.04,0.0,0.0,0.03,0.22,0.03,0.14,0.06,12.69,0.44,3.37,2.59,18.05,0.18,0.05,4.84,12.1,0.77,3.0,16.87,0.21,0.08,24.95,7.9,0.02,5.49,0.21,0.01,11.06,0.14,0.27,14.06,0.21,0.62,0.13,0.4,0.76,0.13,0.03,0.01,8.57,0.13,0.12,2.68,0.05,1.94,0.89,0.15,1.39,1.64,0.26,4.58,12.51,29.16,6.36,33.49,25.3,0.0,13.4,91.43,6.46,6.59,182.78,2.69,2.57,0.0,0.28,0.01,0.15,32.83,21.68,0.37,9.51,0.2,12.1,0.28,3.57,0.0,0.75,0.03,0.19,1.57,3.53,0.03,0.31,0.15,96.58,0.43,0.78,1.92,0.69,,0.05,0.01,0.39,0.01,1.14,0.89,0.12,2.36,0.03,1.02,0.07,0.0,1.79,0.0,5.36,0.16,0.03,0.03,0.54,1.56,0.02,1323.96,26.9,1.45,2.45,9.19,0.75,4.03,19.56,0.8,8.6,0.0,0.03,0.29,0.0,0.33,3.4,36.9,0.06,74.85,1.27,1.44,25.32,0.01,0.06,0.08,1.42,0.25,0.04,0.31,,0.02,0.25,0.76,0.05,2.65,0.0,0.2,12.63,0.08,0.09,0.08,9.81,0.0,0.0,,0.04,0.0,1.23,8.49,32.2,0.27,0.01,1.36,0.5,116.02,4.71,0.07,7.9,0.11,1.03,4.52,0.05,0.04,3.41,0.0,0.03,0.07
2001,0.81,0.15,0.62,0.17,0.0,1.47,0.0,0.17,0.17,2.62,3.1,6.4,0.0,5.48,0.06,0.31,1.17,0.83,0.0,1.77,0.09,1.46,0.04,0.6,0.05,16.34,0.81,0.02,0.0,0.02,0.03,16.08,1.19,1.27,48.52,0.01,0.07,0.01,0.0,0.03,0.23,0.03,0.16,0.1,13.04,0.47,3.55,2.73,20.52,0.19,0.05,4.6,11.84,0.77,3.98,17.65,0.23,0.08,26.43,7.87,0.02,7.84,0.2,0.01,9.8,0.16,0.21,11.77,0.07,1.26,0.13,0.41,0.84,0.15,0.02,0.01,8.04,0.14,0.12,2.87,0.18,1.95,0.91,0.16,1.97,2.1,0.31,4.33,13.17,26.79,7.34,33.47,26.39,0.0,10.99,81.63,6.56,6.73,153.85,2.33,1.95,0.0,0.25,0.02,0.16,34.28,23.77,0.37,9.62,0.2,12.56,0.29,3.55,0.0,0.79,0.03,0.14,1.51,2.42,0.03,0.34,0.16,92.74,0.17,0.79,1.94,0.53,,0.06,0.04,0.44,0.01,1.31,0.9,0.11,2.79,0.0,1.13,0.05,0.0,1.98,0.0,5.6,0.3,0.02,0.03,0.59,1.72,0.02,1284.72,26.06,2.6,1.82,9.87,1.18,4.61,17.98,1.01,9.5,0.0,0.04,0.32,0.0,0.45,5.41,34.82,0.06,69.44,1.32,1.73,16.56,0.01,0.06,0.12,1.61,0.26,0.04,0.32,,0.02,0.3,1.12,0.13,3.89,0.0,0.2,12.25,0.08,0.1,0.08,2.67,0.0,0.0,,0.04,0.0,1.12,9.77,26.9,0.06,0.01,1.23,0.02,135.59,4.75,0.08,9.99,0.12,1.03,4.76,0.05,0.05,3.64,0.0,0.04,0.03
2002,0.82,0.11,0.62,0.23,0.0,0.87,0.0,0.18,0.19,3.13,2.81,5.79,0.0,4.54,0.06,0.3,1.26,1.02,0.0,1.89,0.14,1.36,0.05,0.63,0.05,13.93,0.85,0.03,0.0,0.03,0.03,15.51,1.19,1.48,50.71,0.01,0.12,0.01,0.0,0.03,0.23,0.03,0.18,0.12,13.43,0.48,3.79,2.75,18.53,0.2,0.04,4.46,12.27,0.6,3.88,14.58,0.26,0.09,30.15,7.97,0.02,8.45,0.25,0.01,9.76,0.14,0.22,11.71,0.08,2.27,0.13,0.42,0.89,0.15,0.02,0.01,8.15,0.15,0.13,3.0,0.21,1.72,0.91,0.17,2.46,2.2,0.29,2.25,19.85,27.93,5.77,31.63,28.86,0.01,10.34,94.36,6.81,7.39,172.99,3.07,1.2,0.0,0.54,0.02,0.18,29.06,28.37,0.36,10.88,0.2,13.83,0.29,4.24,0.0,0.69,0.03,0.18,1.63,2.65,0.02,0.31,0.19,79.32,0.21,0.82,2.05,0.03,,0.07,0.03,0.5,0.01,1.34,0.91,0.12,5.49,0.0,1.14,0.05,0.0,1.91,0.0,5.48,0.3,0.0,0.03,0.56,1.86,0.02,1271.49,24.38,1.87,1.88,6.29,1.37,4.58,19.04,1.01,11.57,0.0,0.15,0.33,0.0,0.47,3.58,32.17,0.07,68.4,1.61,1.81,15.22,0.01,0.06,0.14,1.81,0.27,0.04,0.25,,0.03,0.48,1.15,0.07,4.51,0.01,0.23,12.82,0.1,0.1,0.07,2.12,0.0,0.0,,0.04,0.0,1.2,9.82,21.74,0.03,0.01,0.97,0.03,103.69,4.65,0.08,13.35,0.14,1.04,4.39,0.05,0.05,3.77,0.0,0.04,0.01
2003,0.84,0.19,0.75,0.11,0.0,1.05,0.0,0.19,0.21,3.53,3.13,7.6,0.0,3.74,0.08,0.35,1.33,1.01,0.0,2.0,0.14,1.09,0.1,0.65,0.06,11.29,0.86,0.03,0.0,0.03,0.03,19.34,1.2,1.89,54.83,0.01,0.16,0.01,0.0,0.03,0.24,0.04,0.19,0.16,13.35,0.51,4.05,2.7,23.08,0.2,0.05,2.83,10.56,0.69,3.43,14.94,0.28,0.09,25.57,9.61,0.02,9.39,0.4,0.01,10.96,0.16,0.28,11.49,0.08,2.02,0.13,0.46,0.92,0.17,0.02,0.01,8.2,0.16,0.13,2.57,0.33,1.78,0.81,0.2,2.76,3.24,0.28,1.74,23.16,31.09,4.44,31.71,24.94,0.01,10.88,83.3,7.0,7.23,185.22,2.59,0.99,0.0,0.59,0.02,0.18,28.35,30.0,0.32,11.58,0.2,15.09,0.3,4.31,0.0,0.49,0.03,0.1,1.65,3.12,0.02,0.35,0.22,76.09,0.02,0.83,2.24,0.03,,0.07,0.03,0.46,0.01,1.39,1.02,0.1,3.97,0.0,1.26,0.05,0.0,1.96,0.0,5.9,0.3,0.0,0.03,0.69,1.93,0.03,1295.92,12.72,2.73,2.11,7.17,1.71,4.68,17.75,0.99,6.42,0.0,0.34,0.32,0.0,0.57,3.63,30.84,0.06,75.22,2.19,1.9,12.88,0.01,0.06,0.13,1.72,0.28,0.04,0.27,,0.03,0.54,1.18,0.06,5.66,0.01,0.23,12.34,0.11,0.11,0.06,2.51,0.0,0.0,0.06,0.04,0.01,0.1,8.19,20.05,0.04,0.01,0.8,0.01,132.38,4.18,0.09,15.25,0.14,1.04,2.66,0.05,0.05,4.1,0.0,0.04,0.01
2004,0.87,0.17,0.49,0.14,0.0,4.1,0.0,0.19,0.22,3.53,3.37,6.15,0.0,4.91,0.08,0.37,1.45,1.01,0.0,1.98,0.13,1.51,0.08,0.65,0.06,12.87,0.88,0.03,0.0,0.05,0.03,19.25,1.21,2.84,65.53,0.01,0.19,0.01,0.0,0.03,0.25,0.04,0.21,0.07,12.89,0.45,4.2,2.87,23.12,0.22,0.08,2.1,8.22,0.69,4.22,10.47,0.28,0.09,28.31,9.76,0.02,8.24,0.38,0.01,10.22,0.15,0.32,10.93,0.1,0.76,0.14,0.35,0.96,0.19,0.03,0.01,7.94,0.14,0.14,2.03,0.27,1.88,0.85,0.24,3.4,1.64,0.29,0.96,28.84,28.27,4.66,35.69,29.9,0.0,6.41,64.48,7.02,4.41,169.64,1.18,1.82,0.0,0.72,0.02,0.18,26.06,29.83,0.0,10.33,0.2,16.37,0.31,5.12,0.0,0.53,0.03,0.06,1.82,3.21,0.01,0.41,0.24,77.56,0.02,0.96,2.22,0.03,,0.09,0.04,0.5,0.01,1.43,1.1,0.14,3.4,0.0,1.16,0.05,0.0,2.02,0.0,5.76,0.3,0.01,0.03,0.68,2.07,0.03,1263.28,13.52,1.96,3.33,8.5,1.98,5.0,17.95,1.0,5.82,0.0,0.4,0.36,0.0,0.76,2.47,27.65,0.06,74.67,2.36,2.0,10.53,0.01,0.06,0.1,1.88,0.28,0.04,0.15,,0.03,0.66,1.2,0.05,4.1,0.01,0.23,14.75,0.12,0.12,0.11,5.7,0.0,0.0,0.07,0.05,0.01,0.15,6.72,17.99,0.05,0.0,0.7,1.08,129.88,3.9,0.09,12.36,0.15,1.05,1.68,0.05,0.06,4.36,0.0,0.04,0.02
