Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1995,,,,,0.0,0.0,,,,0.003994875,0.0,0.0,,0.013601742,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.010575965,0.0,0.0,0.061186023,,,,,,0.0,,,,,,0.0,0.0,0.32220381,,,3.2258062,,0.0,0.0,0.0,,,0.16356698,0.0,,0.015625,,,0.0,,,0.11558294,,,,,,,,,0.073277965,,,,,,0.0,,0.0,,0.0,0.0,0.11622883,0.113830395,0.0,0.0,0.0,0.0,0.004212832,,,9.492679e-05,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0046556084,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.40110302,0.008179959,,,0.0027742595,0.0,,0.061815914,0.0,,0.0,0.0,,0.0,,,0.0607718,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.06743998,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.089596815,0.0,,0.0,,,0.0,,,,0.0,,
1996,,,,,0.0,0.013787307,,,,0.0038861472,0.0,0.0,,0.013308491,,,0.0,0.0,,,,0.0,,,,0.0006867058,,,,,,0.010846336,0.0017443377,0.0,0.008687554,,,,,,0.0,,,,,,0.0,0.0,0.37940282,,,2.3042338,,0.0,0.0,0.0,,,0.20784019,0.0,,0.014427933,,,0.001969318,,,0.13965286,,,,,,,,,0.09485416,,,,,,0.0,,0.0,,0.0,0.0,0.198188,0.052994166,0.0,0.0,0.0,0.0,0.012531851,,,0.00018635517,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0038316397,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.52337337,0.00955201,,,0.022623003,0.0,,0.06679349,0.0,,0.0023148416,0.0,,0.0,,,0.05847953,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.09956618,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.08917259,0.0,,0.0,,,0.0,,,,0.0,,
1997,,,,,0.0,0.020137321,,,,0.003968684,0.03597769,0.0,,0.012840267,,,0.0,0.0,,,,0.0,,,,0.0012987824,,,,,,0.010832694,0.003179545,0.0,0.017434705,,,,,,0.0,,,,,,0.0,0.0,0.55456924,,,4.3724513,,0.0,0.0,0.0,,,0.39126527,0.0,,0.028939372,,,0.0020027638,,,0.19106282,,,,,,,,,0.09343611,,,,,,0.0,,0.0,,0.0,0.0,0.21059203,0.25445294,0.0,0.0,0.0,0.0,0.048681542,,,9.0968686e-05,0.0,,,,,,0.00040553563,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.007196469,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.55229145,0.009049773,,,0.03630423,0.0,,0.0851338,0.0,,0.0033419856,0.0,,0.0,,,0.11802892,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.13403927,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.089367874,0.0,,0.0,,,0.0,,,,0.0,,
1998,,,,,0.0,0.043873794,,,,0.0090238685,0.08957363,0.0,,0.012181752,,,0.0,0.0,,,,0.0,,,,0.0015540081,,,,,,0.011032199,0.0047402396,0.0,0.030467486,,,,,,0.0,,,,,,0.0,0.0,0.8356698,,,6.8914957,,0.0,0.0,0.0,,,0.69807124,0.0,,0.0285266,,,0.003953116,,,0.24261807,,,,,,,,,0.15317287,,,,,,0.0,,0.0,,0.0,0.0,0.21363018,0.81534773,0.0,0.0,0.0,0.0,0.09067255,,,0.00066726,0.0,,,,,,0.0008431796,0.0,,,,,,0.0,,0.0,2.7027025,0.0,,0.0,,,,0.008284587,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.7159637,0.008589589,,,0.058422774,0.0,,0.10977359,0.0,,0.0026907036,0.0,,0.0,,,0.23225807,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.20152403,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.07926376,0.0,,0.0,,,0.0,,,,0.0,,
1999,,,,,0.0,0.043075256,,,,0.020783037,0.083724044,0.0,,0.011994721,,,0.0,0.0,,,,0.0,,,,0.00059750327,,,,,,0.028038664,0.0043720743,0.0,0.038226202,,,,,,0.0,,,,,,0.0,0.0,1.0067909,,,7.8254128,,0.0,0.0,0.018256366,,,1.3324903,0.0,,0.07202536,,,0.0076991185,,,0.23088416,,,,,,,,,0.3272653,,,,,,0.0,,0.0,,0.0,0.0,0.26417595,0.8747698,0.03179275,0.0,0.0,0.0,0.15429123,,,0.0033696804,0.0,,,,,,0.0022273324,0.0,,,,,,0.05572583,,0.0,5.5555553,0.0,,0.0,,,,0.008948378,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.7515265,0.02453185,,,0.102721415,0.0,,0.14221166,0.0,,0.0031496724,0.0,,0.0,,,0.2807674,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.23249808,,,,,,,0.0,,0.0,,,0.0,,0.017176228,0.0,,,0.0,,0.11517324,0.0,,0.0,,,0.0,,,,0.0,,
2000,0.0,0.0,0.0,0.0,0.0,0.033715438,0.0,0.0,0.0,0.0599548,0.117370896,0.0,0.0,0.024157505,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04305919,0.0,0.0,0.043523163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666,2.6239069,0.0,0.0,0.0,0.0,1.6433781,0.0,0.0,11.827057,0.0,0.0,0.0,0.10911074,0.0,0.0,2.1410465,0.0,0.0,0.11433471,0.0,0.0,0.0093886135,0.0,0.0,0.2492972,0.0,0.0,0.0,0.0,0.8196721,0.0,0.0,0.0,0.8500189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27651867,1.016088,0.033514872,0.0,0.0,0.0,0.2074535,0.0,0.0,0.0100030005,0.0,0.0,0.0,0.0,0.0,0.0,0.006885866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.4379562,0.0,0.0,0.0,0.009822218,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.6097561,0.0,0.0,0.0,0.94253916,0.021049676,0.0,0.0,0.308404,0.0,,0.20381327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39342746,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.316739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1888574,0.024119634,0.0,0.0,0.0,0.005819367,0.0,0.14702402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.05546927,0.0,0.0,0.0,0.12931418,0.1639882,0.0,0.0,0.05087117,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.00913103,0.0,0.0,0.0,0.0,0.0,0.056145366,0.0,0.023629488,0.048622694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.882353,2.753623,0.0,0.0,0.0,0.00026946914,1.8067503,0.0,0.0,11.481087,0.0,0.0,0.0,0.2230207,0.0,0.0,2.9004161,0.0,0.0,0.09402284,0.0,0.0,0.023958718,0.0,0.0,0.24949971,0.0,0.0,0.0,0.0,1.5503876,0.0,0.0,0.0,1.4465169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3566005,1.3425549,0.023512814,0.0,0.0,0.022753127,0.43398306,0.0,0.0,0.023081042,0.0,0.0,0.0,0.0,0.0,0.0,0.0032270555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2988505,0.0,0.0,1.3461537,0.0,0.0,0.0,0.009513842,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5813953,0.0,0.0,0.0,0.9008031,0.02472799,0.0,0.0,0.35641548,0.0,,0.24631591,0.0,0.0,0.0,0.0,0.0,0.006957974,0.0,0.0,0.5644811,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.29702967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.17574692,0.04908377,0.0053041955,0.0,0.0,0.01154068,0.0,0.18081483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0827521,0.0,0.0,0.0,0.23714706,0.23090878,0.0,0.0,0.07412898,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.017355084,0.0,0.0,0.0,0.0,0.0,0.06835726,0.0,0.023020258,0.050785664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263158,3.5040429,0.0,0.0,0.0,0.0,2.7168698,0.0,0.0,12.480819,0.0,0.0,0.0,0.24353471,0.0,0.0,3.8931265,0.0,0.0,0.08008543,0.0,0.0,0.048980482,0.0,0.0,0.32279724,0.0,0.0,0.0,0.0,2.255639,0.0,0.0,0.0,1.2181408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34282526,1.5725807,0.021702958,0.0,0.0,0.02197802,0.50444996,0.0,0.0,0.037168995,0.0,0.0,0.0,0.0,0.0,0.0,0.0030119573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71428573,0.25188917,0.0,1.2582781,0.0,0.0,0.0,0.009270848,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.57142854,0.0,0.0,0.0,1.0038038,0.061425056,0.0,0.0,0.37304154,0.0,,0.32536617,0.0,0.0,0.0,0.0,0.0,0.042108215,0.0,0.0,0.7903403,0.0,0.0,0.0,0.0,,0.0,0.0011219818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.4158146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.25337836,0.03892262,0.010058339,0.0,0.0,0.011492271,0.0,0.2692347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.08689041,0.0,0.0,0.0,0.30980304,0.63826114,0.0,0.0,0.10769416,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.016465873,0.0,0.0,0.0,0.0,0.0,0.117293075,0.0,0.02144542,0.052340128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2465754,0.0,0.0,0.0,0.0,3.1709383,0.0,0.0,12.094844,0.0,0.0,0.0,0.31456771,0.0,0.0,4.6910224,0.098425195,0.0,0.10678691,0.0,0.0,0.06975122,0.0,0.0,0.32394966,0.0,0.0,0.0,0.0,2.173913,0.0,0.0,0.0,1.7807263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40744048,1.813054,0.019782394,0.0,0.0,0.021258503,0.5100081,0.0,0.0,0.07596628,0.0,0.0,0.0,0.0,0.0,0.0,0.0057509276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0752689,1.2594459,0.0,1.2239902,0.0,0.0,0.0,0.008892842,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3826333,0.20624356,0.0,0.0,0.37156308,0.0,,0.3800278,0.0,0.0,0.0,0.0,0.0,0.07999467,0.0,0.0,1.0778185,0.0,0.0,0.0,0.0,,0.0,0.0010913576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.50225276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26595744,0.042998426,0.009566631,0.0,0.0,0.016613135,0.0,0.2892265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004269308,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.069818474,0.0,0.0,0.0,0.34899446,1.5036379,0.0,0.0,0.1688578,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.015484271,0.0,0.0,0.0,0.0,0.0,0.15705931,0.015656803,0.019607842,0.05809441,0.0,0.0,0.0,0.0,0.0,0.1013582,0.0,4.5454545,3.2581453,0.0,0.0,0.0,0.011934598,4.268373,0.0,0.0,16.37674,0.0,0.0,0.0,0.5089058,0.0,0.0,5.6758614,0.09699321,0.0,0.13979498,0.0,0.0,0.10418506,4.0,0.0,0.4924858,0.0,0.0,0.0,0.0,2.097902,0.0,0.0,0.0,1.9237375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029664788,0.0,0.7489403,2.5814137,0.03072008,0.0,0.0,0.021150593,0.6264683,0.4137931,0.0,0.12843497,0.0,0.0,0.0,0.0,0.0,0.0,0.0135862185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1869437,1.0660981,0.0,1.1448197,0.0,0.0,0.0,0.008496538,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5988024,0.0,0.0,0.0,1.8733721,0.22706631,0.0,0.0,0.8516679,0.0,,0.49073595,0.0,0.0,0.0,0.0,0.0,0.09177921,0.0,0.0,1.835273,0.0,0.0,0.0,0.0,0.0,0.0,0.001073065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.03282994,0.0,0.56743205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33528918,0.04006678,0.013735634,0.0,0.0,0.016443761,0.0,0.35779807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00408814,0.0,0.0
