Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2009,0.0,0.06,0.0,0.0,0.0,1.75,0.0,0.0,0.0,182.02,3.76,0.0,0.0,5.18,0.0,0.0,1.09,21.1,0.0,0.0,9.15,0.01,0.0,0.0,0.0,9.97,0.0,0.0,0.0,0.62,0.0,84.72,0.0,14.9,2911.52,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,45.94,253.45,0.0,0.0,17.69,1.93,0.0,0.0,0.0,0.0,0.0,35.91,0.0,0.0,11.13,0.0,0.0,21.67,0.0,0.0,103.04,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,34.19,0.0,0.0,0.73,0.0,0.0,27.4,0.0,1.65,0.0,6.34,65.91,611.11,4.0,0.38,0.0,0.0,34.35,39.74,0.0,0.0,312.08,58.11,0.0,0.39,0.03,0.0,0.0,210.42,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.51,0.0,0.0,0.0,29.44,5.3,0.0,0.0,0.47,0.69,3.86,0.0,0.0,0.0,1.01,0.0,37.64,0.08,0.21,0.19,0.0,0.0,0.0,24.28,0.04,0.0,0.0,2.73,0.0,4.84,7951.84,0.12,0.0,0.78,16.48,0.0,133.38,3.39,10.4,12.9,0.0,0.0,0.0,0.0,1.25,21.74,164.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.85,,0.0,0.0,3.86,5.13,0.51,0.01,0.0,0.0,0.0,0.0,0.0,29.81,0.0,0.0,0.0,0.0,0.0,0.0,55.69,123.95,0.0,0.0,65.19,0.0,1755.9,2.05,0.0,0.0,0.0,0.0,12.45,0.0,0.0,0.0,234.74,0.0,1.75
2010,0.0,0.06,0.0,0.0,0.0,3.01,0.0,0.0,0.0,176.02,4.92,0.0,0.0,4.2,0.0,0.0,0.77,22.61,0.0,0.0,8.8,0.03,0.0,0.0,0.0,11.29,0.0,0.0,0.0,0.53,0.0,86.45,0.0,16.87,3233.6,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,46.9,262.89,0.0,0.0,17.01,1.85,0.0,0.0,0.0,0.0,,25.33,0.0,0.0,14.54,0.0,0.0,23.36,0.0,0.0,107.59,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,30.8,0.0,0.0,1.17,0.0,0.0,23.79,0.0,2.38,0.0,6.23,68.48,642.97,3.55,0.35,0.0,0.0,34.24,39.73,0.0,0.0,316.85,66.66,0.0,0.6,0.03,0.0,0.0,219.55,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.32,0.0,0.0,0.0,32.39,4.74,0.0,0.0,0.64,1.27,4.09,0.0,0.0,0.0,1.04,0.0,49.4,0.05,0.54,0.2,0.0,0.0,0.0,22.59,0.04,0.0,0.0,1.42,0.0,4.99,8459.14,0.09,0.0,0.85,23.3,0.0,136.51,3.19,9.73,7.1,0.0,0.0,0.0,0.0,1.31,20.68,166.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.02,,0.0,0.0,3.56,5.29,1.02,0.01,0.0,0.0,0.0,0.0,0.0,29.76,0.0,0.0,0.0,0.0,0.0,0.0,55.05,125.27,0.0,0.0,69.76,0.0,1847.29,2.12,0.0,0.0,0.0,0.0,15.88,0.0,0.0,0.0,243.45,0.0,2.75
2011,0.0,0.1,0.0,0.0,0.0,2.91,0.0,0.0,0.0,171.98,5.43,0.0,0.0,3.48,0.0,0.0,0.83,27.53,0.0,0.0,10.59,0.02,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.44,0.0,79.9,0.0,19.62,3690.87,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,46.68,262.46,0.0,0.0,13.98,2.0,0.0,0.0,0.0,0.0,,43.98,0.0,0.0,9.78,0.0,0.0,17.39,0.0,0.0,108.44,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,31.07,0.0,0.0,1.19,0.0,0.0,27.78,0.1,2.58,0.0,6.48,81.09,701.25,3.94,0.43,0.0,0.0,35.15,44.73,0.0,0.0,285.07,70.22,0.0,0.63,0.05,0.0,0.0,225.14,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,11.27,0.0,0.07,0.0,33.78,5.17,0.0,0.0,0.75,1.45,4.24,0.0,0.0,0.0,1.11,0.0,52.3,0.03,0.58,0.25,0.0,0.0,0.0,21.39,0.04,0.0,0.0,1.61,0.0,5.68,8911.1,0.1,0.45,0.62,25.34,0.0,139.76,3.51,7.18,9.85,0.0,0.0,0.0,0.0,1.31,24.78,165.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,,0.0,0.0,3.55,5.31,0.66,0.01,0.0,0.0,0.0,0.0,0.0,31.71,0.0,0.0,0.0,0.0,0.0,0.0,66.22,127.29,0.0,0.0,74.5,0.0,1733.43,2.15,0.0,0.0,0.0,0.0,19.94,0.0,0.0,0.0,244.44,0.0,3.84
2012,0.0,0.07,0.0,0.0,0.0,2.64,0.0,0.0,0.0,165.38,4.39,0.0,0.0,3.39,0.0,0.0,0.94,22.87,0.0,0.0,9.58,0.02,0.0,0.0,0.0,14.47,0.0,0.0,0.0,0.25,0.0,69.35,0.0,25.34,3748.19,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,43.98,276.23,0.0,0.0,10.54,2.12,0.0,0.0,0.0,0.0,,55.07,0.0,0.0,7.1,0.0,0.0,21.46,0.0,0.0,142.79,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,31.11,0.0,0.0,1.24,0.0,0.0,24.88,0.1,2.24,0.0,6.34,102.17,787.13,5.02,0.4,0.0,0.0,38.72,49.14,0.0,0.0,334.3,67.63,0.0,0.73,0.04,0.0,0.0,224.16,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,11.37,0.0,0.08,0.0,34.23,4.83,0.0,0.0,0.77,1.37,4.5,0.0,0.0,0.0,1.15,0.0,55.62,0.03,0.55,0.25,0.0,0.0,0.0,24.21,0.04,0.0,0.0,2.94,0.0,5.83,8961.01,0.06,0.67,1.29,28.26,0.0,134.57,3.25,7.45,13.09,0.0,0.0,0.0,0.0,1.35,22.9,169.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.32,0.0,0.0,0.0,3.41,5.14,0.48,0.02,0.0,0.0,0.0,0.0,0.0,34.58,0.0,0.0,0.0,0.0,0.0,0.0,68.01,125.26,0.0,0.0,80.42,0.0,1514.04,2.16,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,239.68,0.0,3.59
2013,0.0,0.12,0.0,0.0,0.0,2.38,0.0,0.0,0.0,155.45,4.21,0.0,0.0,3.01,0.0,0.0,1.23,19.39,0.0,0.0,9.93,0.02,0.0,0.0,0.0,21.97,0.0,0.0,0.0,0.76,0.0,70.54,0.0,30.24,4077.37,0.0,0.0,0.0,0.0,0.0,6.04,0.0,0.0,0.0,0.0,0.0,0.0,41.12,288.2,0.0,0.0,14.29,2.21,0.0,0.0,0.0,0.0,,39.94,0.01,0.0,10.69,0.0,0.0,23.84,0.0,0.0,130.26,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,26.4,0.0,0.0,1.59,0.0,0.0,29.3,0.1,2.42,0.0,6.3,111.25,847.97,4.28,0.46,0.0,0.0,32.08,45.1,0.0,0.0,362.55,69.0,0.0,0.79,0.18,0.0,0.0,224.88,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,12.14,0.0,0.08,0.0,31.74,4.03,0.0,0.0,0.57,1.44,4.63,0.0,0.0,0.0,1.21,0.0,53.66,0.04,0.64,0.24,0.0,0.0,0.0,24.61,0.04,0.0,0.0,1.75,0.0,6.37,9424.99,0.16,0.68,1.22,32.08,0.0,137.72,3.43,7.63,11.84,0.0,0.0,0.0,0.0,1.27,16.94,161.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.67,0.0,0.0,0.0,3.07,4.87,0.65,0.02,0.0,0.0,0.0,0.0,0.0,35.35,0.04,0.0,0.0,0.0,0.0,0.0,63.78,124.42,0.0,0.0,81.01,0.0,1581.11,2.23,0.0,0.0,0.0,0.0,24.02,0.0,0.0,0.0,233.49,0.0,4.35
2014,0.0,0.11,0.0,0.0,0.0,2.54,0.0,0.0,0.0,155.23,2.94,0.0,0.0,2.09,0.0,0.0,1.1,21.31,0.0,0.0,11.01,0.03,0.0,0.0,0.0,26.9,0.0,0.0,0.0,2.21,0.0,69.38,0.0,26.01,4203.06,0.0,0.0,0.0,0.0,0.0,5.46,0.0,0.0,0.0,0.0,0.0,0.0,40.73,274.41,0.0,0.0,11.06,2.42,0.0,0.0,0.0,0.0,,43.81,0.01,0.0,7.92,0.0,0.0,11.26,0.0,0.0,100.24,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,25.75,0.0,0.0,1.88,0.0,0.0,30.4,0.13,2.37,0.0,5.99,119.53,949.93,3.96,0.53,0.0,0.0,30.1,43.45,0.0,0.0,355.6,64.7,0.0,1.07,0.91,0.0,0.0,226.76,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,15.95,0.0,0.09,0.0,33.78,3.74,0.0,0.0,0.29,1.42,4.93,0.0,0.0,0.0,1.26,0.0,55.83,0.0,0.77,0.25,0.0,0.0,0.0,29.49,0.04,0.0,0.0,1.34,0.0,5.27,9601.04,0.14,0.69,0.33,33.05,0.0,129.52,3.67,8.01,11.95,0.0,0.0,0.0,0.0,1.21,17.76,158.7,0.0,0.0,0.0,0.02,0.54,0.0,0.0,0.0,0.0,0.0,0.0,22.13,0.0,0.0,0.0,2.87,3.76,0.37,0.02,0.0,0.0,0.0,0.0,0.0,37.57,0.16,0.0,0.0,0.0,0.0,0.0,76.26,126.33,0.0,0.0,70.49,0.0,1581.71,2.3,0.0,0.0,0.0,0.0,34.87,0.0,0.0,0.0,229.77,0.0,4.4
2015,0.0,0.1,0.0,0.0,0.0,2.39,0.0,0.0,0.0,162.2,2.95,0.0,0.0,2.07,0.0,0.0,1.0,22.53,0.0,0.0,10.8,0.04,0.0,0.0,0.0,26.98,0.0,0.0,0.0,2.86,0.0,64.96,0.0,28.03,4046.17,0.0,0.0,0.0,0.0,0.0,7.06,0.0,0.0,0.0,0.0,0.0,0.0,41.14,272.2,0.0,0.0,7.11,2.31,0.0,0.0,0.0,0.0,,51.37,0.0,0.0,5.12,0.0,0.0,11.89,0.0,0.0,75.88,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,22.11,0.0,0.0,2.92,0.0,0.0,24.89,0.09,2.31,0.0,5.79,124.66,1006.55,4.87,0.46,0.0,0.0,29.16,43.2,0.0,0.0,349.64,61.24,0.0,1.72,2.32,0.0,0.0,233.65,0.0,2.26,0.0,0.0,0.0,0.0,4.46,0.0,0.0,0.0,0.0,0.0,17.11,0.0,0.08,0.0,33.76,3.3,0.0,0.0,0.28,1.51,5.06,0.0,0.0,0.0,1.18,0.0,63.47,0.01,0.82,0.22,0.0,0.0,0.0,39.39,0.04,0.0,0.0,1.23,0.0,5.96,9281.28,0.15,0.71,0.41,36.69,0.0,130.52,3.26,8.19,14.73,0.0,0.0,0.0,0.0,1.17,18.13,158.55,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,27.16,0.0,0.0,0.0,2.83,4.38,0.39,0.02,0.0,0.0,0.0,0.0,0.0,34.58,0.16,0.0,0.0,0.0,0.0,0.0,76.16,119.82,0.0,0.0,56.53,0.0,1352.4,1.94,0.0,0.0,0.0,0.0,56.47,0.0,0.0,0.0,227.3,0.0,4.54
2016,0.0,0.09,0.0,0.0,0.0,1.93,0.0,0.0,0.0,162.36,2.04,0.0,0.0,0.39,0.0,0.0,1.03,19.37,0.0,0.0,12.02,0.03,0.0,0.0,0.0,25.67,0.0,0.0,0.0,2.68,0.0,65.02,0.0,30.26,4156.35,0.0,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,41.97,261.75,0.0,0.0,8.87,2.36,0.0,0.0,0.0,0.0,,36.43,0.0,0.0,6.97,0.0,0.0,10.23,0.0,0.0,30.67,0.02,0.0,0.0,0.0,0.51,0.0,0.0,0.0,18.88,0.0,0.0,3.53,0.0,0.0,25.12,0.04,2.6,0.0,5.63,135.38,1073.6,4.7,0.49,0.0,0.0,24.16,35.61,0.0,0.0,338.59,59.16,0.0,1.56,2.68,0.0,0.0,233.95,0.0,7.96,0.0,0.0,0.0,0.0,5.07,0.0,0.0,0.0,0.0,0.0,16.99,0.0,0.08,0.0,34.45,2.89,0.0,0.0,0.01,1.3,5.23,0.0,0.0,0.0,1.27,0.0,69.15,0.05,1.13,0.22,0.0,0.0,0.0,36.82,0.04,0.0,0.0,0.44,0.0,5.72,9325.3,0.62,0.66,0.99,43.3,0.0,130.32,3.48,10.16,12.63,0.0,0.0,0.0,0.0,1.14,15.88,171.45,0.01,0.0,0.0,0.39,0.62,0.0,0.0,0.0,0.0,0.0,0.0,27.24,0.0,0.0,0.0,2.8,5.01,0.26,0.03,0.0,0.0,0.0,0.0,0.0,37.11,0.61,0.0,0.0,0.0,0.0,0.0,92.27,124.02,0.0,0.0,61.29,0.0,1239.15,1.99,0.0,0.0,0.0,0.0,68.35,0.0,0.0,0.0,229.58,0.33,3.91
2017,0.0,0.11,0.0,0.0,0.0,2.01,0.0,0.0,0.0,159.17,1.76,0.0,0.0,0.0,0.0,0.0,1.03,20.92,0.0,0.0,12.34,0.03,0.0,0.0,0.0,22.85,0.0,0.0,0.0,3.01,0.0,62.81,0.0,29.3,4430.03,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,0.0,41.44,241.26,0.0,0.0,6.21,2.41,0.0,0.0,0.0,0.0,,45.13,0.02,0.0,5.86,0.0,0.0,12.81,0.0,0.0,22.53,0.02,0.0,0.0,0.0,0.49,0.0,0.0,0.0,18.76,0.0,0.0,3.43,0.0,0.0,23.94,0.0,1.37,0.0,4.93,147.96,1115.24,3.64,0.69,0.0,0.0,22.03,32.63,0.0,0.0,363.47,66.54,0.0,1.16,3.75,0.0,0.0,259.49,0.0,10.93,0.0,0.0,0.0,0.0,5.12,0.0,0.0,0.0,0.0,0.0,17.55,0.0,0.12,0.0,30.86,3.39,0.0,0.0,1.41,1.36,5.5,0.0,0.0,0.0,1.31,0.0,68.87,0.07,1.34,0.21,0.0,0.0,0.0,31.38,0.04,0.0,0.0,0.58,0.0,5.73,9649.94,10.91,0.17,0.76,46.85,0.0,131.16,2.32,10.82,14.67,0.0,0.0,0.0,0.0,1.14,16.78,174.01,0.02,0.0,0.0,0.31,0.68,0.0,0.0,0.0,0.0,0.0,0.0,26.46,0.0,0.0,0.0,2.99,4.82,0.32,0.02,0.0,0.0,0.0,0.0,0.0,35.73,0.98,0.0,0.0,0.0,0.0,0.0,97.48,130.71,0.0,0.0,49.33,0.0,1205.84,2.09,0.0,0.0,0.0,0.0,67.71,0.0,0.0,0.0,228.7,1.28,3.38
2018,0.0,0.12,0.0,0.0,0.0,2.03,0.0,0.0,0.0,156.56,1.81,0.0,0.0,0.0,0.0,0.0,1.79,18.66,0.0,0.0,12.44,0.03,0.0,0.0,0.0,20.8,0.0,0.0,0.0,3.09,0.0,53.02,0.0,29.89,4763.92,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,0.0,0.0,0.0,41.2,228.16,0.0,0.0,6.57,2.28,0.0,0.0,0.0,0.0,,37.34,0.0,0.0,5.79,0.0,0.0,8.31,0.0,0.0,16.83,0.01,0.0,0.0,0.0,0.45,0.0,0.0,0.0,17.19,0.0,0.0,3.9,0.0,0.0,21.99,0.0,1.45,0.0,4.67,160.01,1198.86,2.15,0.64,0.0,0.0,20.6,28.47,0.0,0.0,360.66,71.79,0.0,1.09,3.21,0.0,0.0,256.54,0.0,12.02,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,21.26,0.0,0.46,0.0,29.03,2.85,0.0,0.0,1.54,1.55,5.83,0.0,0.0,0.0,1.26,0.0,77.29,0.02,1.43,0.19,0.0,0.0,0.0,27.58,0.04,0.0,0.0,0.98,0.0,5.6,10028.19,15.77,0.48,0.13,51.93,0.0,130.56,2.51,11.33,12.01,0.0,0.0,0.0,0.0,1.06,15.65,176.61,0.03,0.0,0.0,0.49,0.69,0.0,0.0,0.0,0.0,0.0,0.0,25.02,0.0,0.0,0.0,3.01,4.62,0.34,0.02,0.0,0.0,0.0,0.0,0.0,35.8,1.35,0.0,0.0,0.0,0.0,0.0,111.8,134.18,0.0,0.0,49.06,0.0,1149.49,2.35,0.0,0.0,0.0,0.0,91.65,0.0,0.0,0.0,231.01,2.04,4.13
2019,0.0,0.08,0.0,0.0,0.0,1.17,0.0,0.0,0.0,149.84,1.5,0.0,0.0,0.0,0.0,0.0,1.3,17.2,0.0,0.0,10.96,0.03,0.0,0.0,0.0,21.68,0.0,0.48,0.0,2.5,0.0,50.14,0.0,28.13,4855.19,0.0,0.0,0.0,0.0,0.0,8.13,0.0,0.0,0.0,0.0,0.0,0.0,37.33,171.45,0.0,0.0,3.31,3.56,0.0,0.0,0.0,0.0,,12.86,0.0,0.0,4.36,0.0,0.0,3.64,0.0,0.0,6.92,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,12.12,0.0,0.0,4.06,0.0,0.0,21.06,0.05,1.64,0.0,4.03,174.49,1198.76,0.51,0.81,0.0,0.0,21.89,18.84,0.0,0.0,350.77,71.05,0.0,1.13,3.93,0.0,0.0,243.67,0.0,11.41,0.0,0.0,0.0,0.0,5.92,0.0,0.0,0.0,0.0,0.0,26.9,0.0,0.48,0.0,32.68,3.51,0.0,0.0,2.26,1.5,5.88,0.0,0.0,0.0,1.17,0.0,76.41,0.04,1.51,0.2,0.0,0.0,0.0,17.69,0.04,0.0,0.0,1.59,0.0,6.02,9821.41,25.86,1.07,0.16,57.89,0.0,118.14,3.52,11.87,5.53,0.0,0.0,0.0,0.0,1.09,13.61,187.55,0.02,0.0,0.0,0.76,0.65,0.0,0.0,0.0,0.0,0.0,0.0,25.58,0.0,0.0,0.0,2.34,4.48,0.21,0.04,0.0,0.0,0.0,0.0,0.0,35.83,1.48,0.0,0.0,0.0,0.0,0.0,112.86,129.25,0.0,0.0,45.53,0.0,964.96,3.82,0.0,0.0,0.0,0.0,120.16,0.0,0.0,0.0,225.26,1.67,4.05
2020,0.0,0.02,0.0,0.0,0.73,1.64,0.0,0.0,0.0,142.93,0.56,0.0,0.0,0.0,0.0,0.0,3.15,13.51,0.0,0.0,11.85,0.03,0.0,0.0,0.0,17.75,0.0,1.23,0.0,2.12,0.0,39.83,0.0,26.07,4921.96,0.0,0.0,0.0,0.0,0.0,9.12,0.0,0.0,0.0,0.0,0.0,0.0,31.0,134.6,0.0,0.0,3.06,5.97,0.0,0.0,0.0,0.0,,5.52,0.0,0.0,2.44,0.0,0.0,3.09,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,6.61,0.0,0.0,2.62,0.0,0.0,12.13,0.05,1.22,0.0,3.71,180.87,1143.78,0.67,0.8,0.0,0.0,18.96,13.38,0.0,0.0,340.25,69.18,0.0,1.29,4.13,0.0,0.0,206.92,0.0,11.35,0.0,0.0,0.0,0.0,6.36,0.0,0.0,0.0,0.0,0.0,27.21,0.0,0.21,0.0,18.95,2.63,0.0,0.0,2.46,1.62,5.61,0.0,0.0,0.0,1.14,0.0,88.88,0.06,1.53,0.21,0.0,0.0,0.0,7.62,0.04,0.0,0.0,1.7,0.0,6.33,9437.11,27.55,0.61,0.14,58.18,0.0,107.4,3.06,10.35,2.36,0.0,0.0,0.0,0.0,1.91,9.36,174.96,0.03,0.0,0.0,0.15,0.53,0.0,0.0,0.0,0.0,0.0,0.0,26.46,0.0,0.0,0.0,1.86,4.36,0.0,0.02,0.0,0.0,0.0,0.0,0.0,36.82,1.66,0.0,0.0,0.0,0.0,0.0,106.26,128.62,0.0,0.0,40.2,0.0,773.39,5.2,0.0,0.0,0.0,0.0,122.53,0.0,0.0,0.0,214.08,1.89,2.74
2021,0.0,0.03,0.0,0.0,3.01,2.38,0.0,0.0,0.0,137.4,0.0,0.0,0.0,0.0,0.0,0.0,5.3,17.09,0.0,0.0,11.2,0.03,0.0,0.0,0.0,24.24,0.0,1.24,0.0,2.39,0.0,35.5,0.0,25.1,5333.87,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,34.18,164.65,0.0,0.0,4.37,5.76,0.0,0.0,0.0,0.0,,4.86,0.0,0.0,2.67,0.0,0.0,5.44,0.0,0.0,6.51,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,5.32,0.0,0.0,3.34,0.0,0.0,13.5,0.06,1.46,0.0,3.01,189.96,1255.56,2.72,0.84,0.0,0.0,16.95,14.02,0.0,0.0,348.26,67.98,0.0,1.97,3.65,0.0,0.0,212.09,0.0,11.88,0.0,0.0,0.0,0.0,6.11,0.0,0.0,0.0,0.0,0.0,28.28,0.0,0.47,0.0,13.23,2.19,0.0,0.0,2.12,1.44,6.27,0.0,0.0,0.0,1.25,0.0,79.38,0.04,1.14,0.19,0.0,0.0,0.0,14.6,0.04,0.0,0.0,2.6,0.0,6.44,10154.13,25.91,0.5,0.14,62.05,0.0,127.57,3.18,8.89,0.8,0.0,0.0,0.0,0.0,0.93,10.69,187.14,0.04,0.0,0.0,0.4,0.67,0.0,0.0,0.0,0.0,0.0,0.0,23.77,0.0,0.0,0.0,1.7,3.85,0.0,0.02,0.0,0.0,0.0,0.0,0.0,36.06,1.75,0.0,0.0,0.0,0.0,0.0,104.12,131.49,0.0,0.0,36.58,0.0,898.0,4.96,0.0,0.0,0.0,0.0,118.03,0.0,0.0,0.0,210.83,1.3,2.51
2022,0.0,0.03,0.0,0.0,0.0,2.35,0.0,0.0,0.0,129.21,0.0,0.0,0.0,0.0,0.0,0.0,5.66,21.79,0.0,0.0,11.05,0.03,0.0,0.0,0.0,14.2,0.0,1.21,0.0,2.45,0.0,27.11,0.0,21.52,5412.68,0.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,0.0,0.0,36.88,179.93,0.0,0.0,4.43,7.16,0.0,0.0,0.0,0.0,,7.86,0.0,0.0,3.44,0.0,0.0,4.16,0.0,0.0,5.58,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,5.76,0.0,0.0,1.27,0.0,0.0,12.73,0.07,1.56,0.0,2.99,205.31,1354.23,2.37,0.91,0.0,0.0,16.74,22.61,0.0,0.0,350.99,65.01,0.0,1.76,3.44,0.0,0.0,208.41,0.0,12.18,0.0,0.0,0.0,0.0,7.06,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.51,0.0,21.36,2.77,0.0,0.0,2.17,1.55,6.65,0.0,0.0,0.0,0.98,0.0,77.78,0.02,1.14,0.18,0.0,0.0,0.0,14.8,0.04,0.0,0.0,1.25,0.0,6.44,10263.17,27.49,0.5,0.17,66.43,0.0,124.73,3.24,9.23,0.0,0.0,0.0,0.0,0.0,0.93,10.37,198.61,0.05,0.0,0.0,0.47,0.57,0.0,0.0,0.0,0.0,0.0,0.0,23.49,0.0,0.0,0.0,1.62,3.13,0.0,0.02,0.0,0.0,0.0,0.0,0.0,35.52,1.28,0.0,0.0,0.0,0.0,0.0,113.62,123.52,0.0,0.0,24.31,0.0,831.51,5.64,0.0,0.0,0.0,0.0,104.04,0.0,0.0,0.0,201.6,2.16,2.92
2023,,0.03,0.0,0.0,0.0,1.83,0.0,0.0,0.0,125.61,0.0,0.0,0.0,0.0,0.0,0.0,10.69,11.73,0.0,,10.06,0.03,0.0,0.0,0.0,14.17,0.0,1.21,0.0,2.48,,24.52,0.0,15.16,5753.88,0.0,0.0,0.0,0.0,,11.33,0.0,,0.0,0.0,0.0,0.0,29.94,124.97,0.0,0.0,2.53,7.72,0.0,0.0,0.0,0.0,,3.62,0.0,0.0,1.56,0.0,,1.98,,0.0,3.49,0.0,0.0,0.0,0.0,,0.0,,0.0,4.59,,,2.37,,0.0,13.27,0.0,1.33,,2.49,216.78,1471.28,1.21,0.92,0.0,0.0,13.13,13.22,,,329.1,63.9,0.0,1.8,7.59,,,205.08,0.0,12.18,0.0,0.0,0.0,,5.21,,0.0,0.0,0.0,,27.15,0.0,,0.0,27.85,2.77,0.0,0.0,2.17,1.64,6.8,0.0,,,1.1,,81.4,0.03,,0.18,0.0,0.0,,8.71,0.03,,0.0,1.38,0.0,5.53,10452.92,27.49,0.46,0.08,72.91,0.0,98.85,3.24,,0.0,0.0,,,0.0,,8.06,211.14,0.05,0.0,0.0,0.47,0.57,,0.0,0.0,0.0,0.0,,23.54,0.0,,0.0,1.22,3.14,0.0,0.02,0.0,,0.0,,0.0,30.43,1.3,0.0,0.0,0.0,0.0,0.0,118.03,121.58,0.0,,21.64,0.0,675.11,5.7,0.0,0.0,0.0,0.0,129.58,0.0,0.0,0.0,190.54,2.13,2.7
