Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.89,1.53,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,0.05,7.86,0.0,0.0,0.0,0.0,0.0,8.92,0.21,0.94,2.54,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.02,0.94,0.0,0.0,0.52,4.33,0.0,0.0,1.3,0.16,0.0,0.0,0.0,0.0,0.0,1.49,0.01,0.04,8.64,0.13,0.0,2.48,0.0,0.01,3.88,0.0,0.01,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.54,,0.0,0.01,0.0,0.01,0.0,0.0,0.06,4.28,1.69,0.09,0.0,0.0,0.0,0.0,1.39,0.2,0.0,16.11,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,6.36,0.0,0.05,0.0,0.0,,0.0,0.0,0.0,0.0,,0.43,0.07,0.57,0.0,0.0,0.0,0.01,0.15,0.0,1.99,0.26,0.0,0.0,0.85,0.0,0.0,154.44,0.0,0.02,0.16,0.0,0.0,0.22,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.26,0.0,0.08,0.0,0.0,0.1,0.05,0.49,0.0,0.0,0.0,0.34,0.0,0.0,0.0,,0.0,0.0,0.0,0.07,4.1,0.46,0.0,0.03,0.0,0.0,0.0,0.53,0.0,0.0,,0.0,0.02,0.0,0.17,1.05,0.03,0.03,0.0,0.04,60.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.8,1.67,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,0.05,9.02,0.0,0.0,0.0,0.0,0.0,9.67,0.2,2.07,2.55,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.02,0.93,0.0,0.0,0.52,4.59,0.0,0.0,1.51,0.16,0.0,0.0,0.0,0.0,0.0,1.63,0.01,0.05,8.27,0.13,0.0,2.85,0.0,0.01,4.53,0.0,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.08,0.0,0.0,0.56,,0.0,0.01,0.0,0.06,0.0,0.0,0.07,4.58,2.07,0.1,0.0,0.0,0.0,0.0,1.83,0.17,0.0,16.03,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.0,0.0,0.01,0.0,6.25,0.0,0.05,0.0,0.0,,0.0,0.0,0.0,0.0,,0.48,0.07,0.57,0.0,0.0,0.0,0.01,0.09,0.0,2.35,0.25,0.0,0.0,0.72,0.0,0.0,149.72,0.0,0.02,0.16,0.0,0.0,0.44,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.25,0.0,0.11,0.0,0.0,0.11,0.06,0.69,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.15,0.07,3.78,0.5,0.0,0.03,0.0,0.0,0.0,0.62,0.0,0.0,,0.0,0.03,0.0,0.18,1.32,0.04,0.03,0.0,0.04,49.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,1.27,1.52,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,0.05,10.27,0.0,0.0,0.0,0.0,0.0,10.05,0.21,1.94,2.55,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.05,0.94,0.0,0.0,0.5,5.31,0.0,0.0,1.88,0.17,0.0,0.0,0.0,0.0,0.0,2.59,0.02,0.04,8.99,0.13,0.0,3.04,0.0,0.01,5.08,0.0,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.13,0.0,0.0,0.51,,0.0,0.01,0.0,0.09,0.0,0.0,0.04,4.7,2.14,0.08,0.0,0.0,0.0,0.0,2.71,0.06,0.0,16.94,0.0,0.47,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.03,0.01,0.07,0.0,0.0,0.01,0.0,6.07,0.0,0.05,0.0,0.0,,0.0,0.0,0.0,0.0,,0.45,0.07,0.4,0.0,0.0,0.0,0.01,0.13,0.0,2.9,0.25,0.0,0.0,0.58,0.0,0.0,162.96,0.0,0.02,0.19,0.0,0.0,0.43,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.24,0.0,0.17,0.0,0.0,0.12,0.07,0.77,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.15,0.1,4.18,0.49,0.0,0.03,0.0,0.0,0.0,0.75,0.0,0.0,,0.0,0.03,0.0,0.13,1.6,0.04,0.04,0.0,0.04,53.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,1.69,1.65,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,0.05,11.94,0.0,0.0,0.0,0.0,0.0,9.42,0.22,1.81,2.54,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.05,0.72,0.0,0.0,0.49,8.95,0.0,0.0,2.49,0.17,0.0,0.0,0.0,0.0,0.0,3.18,0.03,0.05,9.38,0.13,0.0,3.23,0.0,0.01,6.17,0.0,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.0,0.0,0.52,,0.0,0.01,0.0,0.2,0.0,0.0,0.16,4.8,2.71,0.09,0.0,0.0,0.0,0.0,3.37,0.06,0.01,17.88,0.0,0.47,0.0,0.01,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,0.03,0.02,0.15,0.0,0.0,0.01,0.0,6.95,0.0,0.05,0.0,0.0,,0.0,0.0,0.0,0.0,,0.45,0.07,0.42,0.0,0.0,0.0,0.01,0.18,0.0,2.54,0.33,0.0,0.0,0.55,0.0,0.0,176.51,1.2,0.02,0.2,0.0,0.0,0.46,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.23,0.0,0.37,0.0,0.0,0.13,0.05,0.99,0.0,0.0,0.0,0.21,0.0,0.0,0.0,,0.0,0.0,0.1,0.12,4.51,0.49,0.0,0.03,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.01,0.0,0.08,1.77,0.05,0.04,0.0,0.04,53.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,2.82,1.91,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,0.06,12.52,0.0,0.0,0.0,0.0,0.0,9.8,0.22,2.03,2.53,0.11,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.02,0.79,0.0,0.0,0.71,10.64,0.0,0.0,2.91,0.14,0.0,0.0,0.0,0.0,0.0,3.33,0.03,0.05,10.44,0.13,0.0,3.31,0.0,0.01,7.36,0.0,0.01,0.0,0.0,0.08,0.0,0.0,0.0,0.12,0.0,0.0,0.53,,0.0,0.01,0.0,0.37,0.0,0.0,0.73,5.01,3.31,0.11,0.0,0.0,0.0,0.0,4.22,0.07,0.01,18.05,0.0,0.47,0.0,0.01,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.04,0.15,0.0,0.0,0.01,0.0,7.26,0.0,0.05,0.0,0.0,,0.0,0.0,0.0,0.0,,0.47,0.07,0.58,0.0,0.0,0.0,0.01,0.22,0.0,3.31,0.36,0.0,0.0,0.64,0.0,0.0,192.54,1.2,0.02,0.15,0.0,0.0,0.98,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.29,0.0,0.45,0.0,0.0,0.14,0.04,0.96,0.0,0.0,0.0,0.22,0.0,0.0,0.0,,0.0,0.0,0.02,0.12,7.2,0.45,0.0,0.03,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.02,0.0,0.08,1.85,0.05,0.05,0.0,0.04,53.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,3.87,2.43,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,0.06,13.64,0.0,0.0,0.0,0.0,0.0,9.16,0.22,1.79,5.32,0.11,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.07,0.42,0.0,0.0,0.73,14.71,0.0,0.0,3.17,0.15,0.0,0.02,0.0,0.0,0.0,2.65,0.04,0.06,9.51,0.13,0.0,3.39,0.0,0.01,9.1,0.0,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.12,0.0,0.0,0.83,,0.0,0.01,0.0,0.13,0.01,0.0,1.66,5.33,4.04,0.13,0.0,0.0,0.0,0.0,4.67,0.07,0.0,21.69,0.0,0.47,0.0,0.01,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.04,0.16,0.0,0.0,0.01,0.0,8.14,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.45,0.06,0.59,0.0,0.0,0.0,0.01,0.32,0.0,5.26,0.33,0.0,0.0,0.68,0.0,0.0,212.86,1.0,0.02,0.35,0.0,0.0,1.51,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.26,0.01,0.45,0.0,0.0,0.14,0.05,0.96,0.0,0.0,0.0,0.22,0.0,0.0,0.0,,0.0,0.0,0.03,0.11,7.49,0.44,0.0,0.03,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.02,0.0,0.03,1.85,0.05,0.05,0.0,0.04,54.28,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.43,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,3.93,3.23,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,0.04,14.85,0.0,0.0,0.0,0.0,0.0,8.94,0.23,1.43,7.13,0.1,0.64,0.0,0.0,0.0,0.53,0.0,0.0,0.07,0.41,0.0,0.0,0.92,18.94,0.0,0.0,3.07,0.16,0.0,0.02,0.0,0.0,0.0,2.77,0.04,0.06,10.81,0.13,0.0,3.38,0.0,0.01,9.28,0.0,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.11,0.0,0.0,0.78,,0.0,0.01,0.0,0.14,0.01,0.0,1.26,4.9,5.59,0.13,0.0,0.0,0.0,0.0,5.11,0.07,0.01,21.53,0.0,0.47,0.0,0.01,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.04,0.17,0.0,0.0,0.01,0.0,7.49,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.45,0.06,0.62,0.0,0.0,0.0,0.01,0.32,0.0,5.17,0.39,0.0,0.0,0.74,0.0,0.0,226.7,1.06,0.02,0.35,0.0,0.0,1.99,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.27,0.0,0.51,0.0,0.0,0.14,0.05,0.95,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,0.0,0.0,0.4,0.11,8.36,0.52,0.0,0.03,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.0,0.03,0.0,0.06,1.85,0.06,0.05,0.0,0.05,54.86,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.41,0.0,0.1
2007,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,4.28,4.06,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,,0.01,0.0,0.01,0.05,18.06,0.0,0.0,0.0,0.0,0.0,8.99,0.29,2.7,9.86,0.12,0.08,0.0,0.0,0.0,0.53,0.0,0.0,0.08,0.41,0.0,0.0,1.2,24.62,0.0,0.0,3.1,0.16,0.0,0.02,0.0,0.0,0.0,2.9,0.03,0.04,9.95,0.09,0.0,3.75,0.0,0.01,9.32,0.0,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.18,0.0,0.0,1.18,,0.0,0.01,0.0,0.17,0.01,0.0,1.56,5.98,7.4,0.18,0.0,0.0,0.0,0.0,5.26,0.09,0.01,22.2,0.0,0.47,0.0,0.02,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.04,0.17,0.0,0.0,0.01,0.0,8.25,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.47,0.06,0.76,0.0,0.0,0.0,0.01,0.38,0.0,4.0,0.39,0.0,0.0,0.74,0.0,0.0,249.26,1.25,0.02,0.42,0.0,0.0,2.56,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.24,0.04,0.48,0.0,0.0,0.15,0.04,0.99,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,0.0,0.0,0.47,0.11,9.84,0.52,0.0,0.03,0.0,0.0,0.01,2.42,0.0,0.0,0.0,0.0,0.02,0.0,0.09,1.88,0.06,0.05,0.28,0.14,55.54,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.43,0.0,0.06
2008,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,3.7,4.16,0.0,0.0,3.33,0.0,0.0,0.0,0.02,0.0,0.0,,0.03,0.0,0.01,0.06,19.79,0.0,0.0,0.0,0.0,0.0,7.98,0.32,3.08,14.87,0.12,0.08,0.0,0.0,0.0,0.54,0.0,0.0,0.08,0.55,0.0,0.01,1.45,28.02,0.0,0.0,3.14,0.16,0.0,0.02,0.0,0.0,0.0,3.26,0.04,0.05,10.4,0.05,0.0,3.97,0.0,0.01,9.65,0.0,0.02,0.0,0.0,0.06,0.0,0.0,0.0,0.19,0.0,0.0,0.84,,0.0,0.01,0.0,0.2,0.02,0.0,1.94,6.5,9.3,0.22,0.0,0.0,0.0,0.01,5.97,0.05,0.01,21.29,0.0,0.47,0.0,0.02,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.07,0.04,0.18,0.0,0.0,0.01,0.0,7.9,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.49,0.06,0.8,0.0,0.0,0.0,0.01,0.34,0.0,5.13,0.4,0.0,0.0,0.73,0.0,0.0,266.33,1.28,0.02,0.46,0.0,0.0,3.62,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.27,0.02,0.49,0.0,0.0,0.15,0.04,1.04,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,0.0,0.0,0.52,0.29,10.34,0.51,0.0,0.03,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.02,0.0,0.14,1.82,0.06,0.08,0.26,0.87,55.03,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.46,0.0,0.08
2009,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,2.79,4.28,0.0,0.0,3.95,0.0,0.0,0.0,0.01,0.0,0.0,,0.07,0.0,0.01,0.08,22.88,0.0,0.0,0.0,0.0,0.0,8.94,0.36,4.27,20.86,0.07,0.07,0.0,0.0,0.0,0.54,0.0,0.0,0.12,0.54,0.0,0.03,1.85,30.89,0.0,0.0,3.32,0.16,0.0,0.02,0.0,0.0,0.0,3.49,0.31,0.05,8.73,0.04,0.0,4.13,0.0,0.01,10.71,0.0,0.02,0.0,0.0,0.06,0.0,0.0,0.0,0.22,0.0,0.0,0.89,,0.0,0.01,0.0,0.48,0.02,0.0,2.33,6.11,11.64,0.26,0.0,0.0,0.0,0.04,7.56,0.13,0.01,20.33,0.0,0.47,0.0,0.02,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.1,0.08,0.05,0.18,0.0,0.0,0.01,0.0,7.55,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.49,0.06,1.39,0.0,0.0,0.0,0.01,0.36,0.0,6.11,0.23,0.0,0.0,0.76,0.0,0.0,287.55,1.0,0.02,0.46,0.0,0.0,5.23,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.28,0.01,0.5,0.0,0.0,0.15,0.05,1.05,0.0,0.0,0.0,0.23,0.0,0.0,0.0,,0.0,0.0,0.54,0.19,11.46,0.44,0.0,0.03,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.02,0.0,0.25,1.75,0.06,0.12,0.14,0.81,54.49,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.45,0.0,0.06
