Date,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_CZS,OWID_SML,OWID_USS,OWID_WRL,OWID_YGS,OWID_ZAN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.41617,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,72.10954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.82419,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,
1989,,,,,,,,,,99.0,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,98.0,,99.0,,,,96.0,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,74.34693,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,88.0,,,,,,
1990,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,63.0,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,88.0,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,74.90702,,,,89.0,,94.0,,,,90.0,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,79.0,,,,,,,,90.0,,,,,,,65.0,
1991,,,,,,,,,96.0,,,,,,,,,,14.0,35.0,,84.0,,89.0,,70.0,,,,,88.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,97.0,,,,,48.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,83.0,76.0,,,,55.0,,,,,33.0,,,,,,,,75.28651,,,,,,,,,,,,88.0,,,,,,,,58.0,,,,,,,,,,,,,,73.0,,100.0,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,98.0,,,,
1992,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,80.0,,,,,,,,,,94.0,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.69432,,,,,,,,,,,,,90.0,,,,,97.0,,,71.0,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.10245,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.50147,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,60.0,,,,,,,,,,,,,,,96.0,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,76.91185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,77.29632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,97.0,,,,,,,,,,82.0,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,79.28844,,,,,,,,,,,,,,86.0,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,80.4687,,,43.0,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,99.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,100.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.806,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,74.0,,,,68.0,
2000,97.0,,,,,,,,,,,,,,,59.0,,,,,,,,97.0,,,,,86.0,,,,,51.0,,,,,91.0,49.0,68.0,,,,,68.0,,95.0,,,,,,,,,,,,,100.0,,,,,,,,,,58.0,,,,37.0,41.0,88.0,,,,,,,,,,,,,,,,,,74.0,,,,,,,,82.0,,,,,,70.0,,,,,,86.0,,,100.0,,,,97.0,71.0,96.0,91.0,,,,,90.0,,98.0,,51.0,,84.0,,89.0,,,,,,,,,,,,,,,,,,80.97923,,,,92.0,,93.0,,57.0,,,,,,,,,,,,65.0,79.0,61.0,,93.0,,,,,,,,,,,,,,82.0,,,26.0,53.0,93.0,99.0,,,,,,,,,,,,,99.0,,,,90.0,,,,,,
2001,,,67.0,,99.0,,,,97.0,99.0,,99.0,,,,,,,,47.0,98.0,87.0,,,,,,87.0,,,93.0,,,,,,,,,,,67.0,,,,,,,,,97.0,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,80.0,98.0,,,,,61.0,,,,,,98.0,,,,,,,,,,,69.0,,,,,91.0,,100.0,,,91.0,,,,,,,,,,,,,,,,,,,,85.0,,14.0,,,77.0,,,,49.0,,,,,,,,81.28601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,38.0,,,,,,,99.0,,,,,93.0,,,,,,,,
2002,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,100.0,,,,,,87.0,70.0,,,53.0,,,,,,,,,,,100.0,,,,,,,,,,,69.0,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.64019,,,,,,,,,,,,,,,,,,97.0,99.0,,,,39.0,,,,,,,,,,,,,,,,92.0,83.0,,,,,,,,,,,,69.0,68.0,,,,,,,,,,,,,69.0,
2003,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,98.0,,48.0,,,,,,,,,,55.0,,,,,,,,66.0,,,,,82.11429,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,97.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,52.0,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.44728,,,,,88.0,,,,,,,,,92.0,,89.0,,,,,83.0,,,,,,35.0,,,,,,,,90.0,,,,,81.0,28.0,,,,,,,,,74.0,87.0,,,,,,,,,,,,,,,,
2005,,,,,,,,90.0,,,,,,,,,,,24.0,,,,,,,,,,,,,53.0,,,,,,,,,,,76.0,,93.0,,,,,,,,,,,,,67.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,91.0,,,,,,,,93.0,73.0,,,,,,,,,,,,,,59.0,,92.0,,,,92.0,,,,,,,,,,,,29.0,,,78.0,,,,,,,,,,,,82.45476,,,50.0,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,88.0,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,90.0,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,73.0,,66.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,63.0,,82.0,,,,,,,,,,,,,,93.0,,,,,,91.0,66.0,,,,93.0,,,,,98.0,92.0,,,26.0,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,82.42529,,,54.0,,89.0,,,,,,,,,93.0,,,,,,,,,42.0,,,,,84.0,,,,,,,,,,,,,,57.0,,,,,,99.0,,,88.0,,71.0,,98.0,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,100.0,,,,28.0,,,,,,,,,91.0,90.0,,,,,,,,,,,,71.0,,,,93.0,,,,,99.0,,,,,88.0,,92.0,,,98.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,92.0,,,,,,,,94.0,,90.0,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.01185,,,52.0,,90.0,,,,,,,,95.0,94.0,,93.0,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,51.0,,,77.0,89.0,,,,98.0,,,,95.0,,,,,,89.0,,
2008,,,,,96.0,,,,,,,,,,,48.0,,,,,,,,,,,,91.0,90.0,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,75.0,92.0,,65.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,83.0,,,,,,,,,,,77.0,,98.0,94.0,,,,,,91.0,,,,,,55.0,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,83.38555,,,56.0,,,95.0,,,,,100.0,,93.0,94.0,,94.0,,,,,,54.0,,,,,,84.0,,,,,27.0,,95.0,,,,,,,,,,,,,,,78.0,,,,,98.0,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,100.0,,,,,,,,,,100.0,,,91.0,90.0,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,92.0,,,98.0,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,93.0,,,,,,,,,,,,100.0,,99.0,76.0,,,,,91.0,,,,,,,,,,56.0,,,,,93.0,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,83.60871,,,55.0,,,,,,,,,,94.0,94.0,,95.0,,,,,,,48.0,,,,,84.0,,,,,,,,,,,,,,57.0,,,,,,,,,91.0,,,,98.0,,,,96.0,,94.0,,,,93.0,,
2010,97.0,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,90.0,,,,,,,,,,95.0,,71.0,,,,93.0,,,,,,,,,,90.0,,92.0,72.0,,98.0,,,,,,,,,,,71.0,,25.0,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,93.0,,,,,,,,94.0,,,,,,91.0,,,,,,,,,,,93.0,,,31.0,,,,98.0,,,,,,93.0,,,,,,,,,,,,,87.0,,,,,84.2272,,,55.0,94.0,,,,,,92.0,,,94.0,95.0,,96.0,,,100.0,,,,,96.0,,,,84.0,,,,,,,95.0,,,,94.0,,,,96.0,,,,58.0,,,79.0,93.0,,73.0,,98.0,,,,,,,,,,93.0,83.0,
2011,,31.0,,,97.0,,,,,100.0,,,,,100.0,,,,,59.0,98.0,,,,,,,92.0,91.0,,96.0,,,,,,,97.0,,,,,,,94.0,,,97.0,,,99.0,,,,90.0,,92.0,,,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,93.0,,69.0,,,,,,99.0,,96.0,,,,,,,,,,,,,,,,100.0,,100.0,96.0,67.0,,,,,94.0,98.0,,31.0,93.0,,98.0,,,,,89.0,,,88.0,,,,,,,,,60.0,,,,,,,,84.41082,,,55.0,,,,,,,,,94.0,,95.0,,96.0,,99.0,,,,,52.0,96.0,,,,85.0,,,,98.0,,,,,,,,,,60.0,,,,,,99.0,,80.0,94.0,,,,98.0,,,,95.0,,,,99.0,,93.0,,
2012,,,,,97.0,,,,,,,,,,100.0,,,,,58.0,,,,,,,,94.0,91.0,,,55.0,,,,,,,,,,75.0,,,,,85.0,,100.0,,,,,,90.0,,92.0,74.0,,98.0,,,,,,,,,,,,,,,,,,,,,78.0,,,,,85.0,,,,,,,,84.0,77.0,,,,,98.0,,,,,,,,96.0,,,,,,,,,,,,69.0,,,72.0,,94.0,,,,,,,,,,,92.0,,,,,31.0,,,,,,,,,,,,,,,84.60142,,,57.0,,94.0,,,,,,,,94.0,96.0,,97.0,,,,68.0,,,,96.0,,,,,,,,,,90.0,93.0,,,,,,,,,,,,,,,80.0,95.0,78.0,70.0,,98.0,,,,,,,,,,94.0,,
2013,,,,,,,,,,,,,,,100.0,,,,,61.0,,,,97.0,,,,,91.0,,,,,,,,,96.0,,,,,,,,,,,,,,,,,91.0,,93.0,72.0,,98.0,,,,,,,,,,,,,,,,,,,,,77.0,,,,,85.0,,,,,,,,85.0,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,94.0,,,,,,,,,62.0,,91.0,,,,,,,,,,,,,,,,,,,,84.90313,,,56.0,,,96.0,100.0,,,,,,95.0,96.0,,97.0,,,,,94.0,,44.0,97.0,,,,87.0,,,,,,,,,,,,,,,94.0,,,,,,,,95.0,,,,98.0,,100.0,,,,,,,,,,
2014,,,66.0,,,,,,,,,,,,100.0,62.0,,,35.0,61.0,,,,,,,,,92.0,,,,,,,,,,,44.0,,,,,94.0,,,,,,,,,,92.0,,94.0,,,98.0,,,,,,,,,,100.0,,,32.0,,,,,,,,81.0,,,,,87.0,,,,95.0,,,,85.0,82.0,,,,,,,,,,78.0,,,,,,,,,,,,,,,76.0,,99.0,,99.0,95.0,,,,,90.0,,,,,,92.0,,,,,,,,,,,,,,,,,,,,85.28642,,,57.0,,94.0,,,,,,,,95.0,96.0,,98.0,,,,71.0,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,95.0,,,,98.0,,100.0,,,,,,,,94.0,,
2015,,33.75384,66.23586,,,,,,,,,,,,100.0,,,,,65.0,,,,,,90.91604,,92.0,92.0,,,,,,,,,97.0,,,,,,,94.0,,87.0,,,,,,,,92.0,,94.0,,,98.0,,,,,,,,,,,,,,,51.0,,,,,,80.19509,,,,,88.0,,,,95.0,,,,,,,,,,,,,,,81.0,,,96.0,85.0,,,,,,,,,,,,,,,,94.0,,,33.0,,,,,56.0,65.11202,,93.0,,,,,,,,,,,,,,,93.0,,,,,85.67891,,,,,94.0,98.0,97.0,,,,,,96.0,96.0,,,,,,,,,43.59273,97.0,,,,88.0,,,,,,,,,,,,,,64.0,93.0,,,,,,,,96.0,78.0,,,99.0,,100.0,,97.0,,,,,,94.0,,
2016,,,,,,,,,,100.0,,,,,100.0,65.68774,,,,73.0,,,,,,,,,93.0,,,,,,,,,,,50.03968,,77.0,,,95.0,,,,,,,,,,94.0,,94.0,,,98.0,,47.49159,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,95.0,,,,86.0,83.0,,,,,,,,,,,,,,,,,,,92.0,97.0,,,,97.0,,,,,98.0,95.0,,,,,,,,,,,93.0,,95.0,,,,,58.22134,,,,,65.50101,,,,,,,,86.00014,,,,,94.0,,,,,,,,95.0,97.0,,,,,,,,,46.09964,97.0,,,,88.0,,,,99.0,,,,,,,,,22.0,,91.9814,,,,65.77913,97.0,,,96.0,,69.10132,,99.0,,100.0,,97.0,,,,99.0,,91.73724,,
2017,,,,,98.81623,,,,,100.0,,,,,100.0,68.0,,38.87121,,73.0,,,,,,,,,93.0,,,67.0,,,,,,96.0,,,,,,,,,,,,,,,,,,,93.0,71.0,,,,,,,,,,,,99.0,64.49239,,,,,,,,,,,,,,,,,68.00986,,,,,,,86.0,,,,,,,,,,,,,96.0,,,,,,92.0,,,,,,,,,,94.50551,95.0,,,,,,,,61.0,,,,,95.0,,,,,,,,,,,,,96.0,,,,,86.17703,,,59.0,,94.0,,,70.06368,,92.0,,,,97.0,,,,,,,95.0,,52.0,97.0,,,44.83318,88.0,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,99.0,,,,,,,,,,87.0,,
2018,,,,,,,,,,,,,,,,,,,39.0,74.0,,,,,,,,,93.0,,,,,,,,,,,,72.54713,73.55303,,,95.0,,,,,,,,,,,,,,,98.0,,,,,,,,,,99.65366,,,40.0,,53.1602,,,,,,81.0,,,,,87.0,,,,96.0,,,,,,,,,,95.43145,,,,,,97.95971,,96.0,,93.0,,,,92.0,86.24087,,,,,,,,77.0,,95.0,,,35.0,,,98.5344,96.89635,,,,,,95.0,,,33.04745,,,,,,,,,,96.0,,,,,86.43751,,,57.0,95.0,94.0,,,,,,,,94.0,97.0,,,,,,73.0,,,46.60591,97.0,,,,89.0,,,,,,,,,,,,,,,94.0,,,,,,,79.47511,,,,,99.0,,100.0,,,,,,,,,71.1323,
2019,,,,,,,,98.0,,,,,,,100.0,,,48.99828,30.0,75.0,,,,,100.0,,,,,,,,,42.44279,,,,,,,,,,,95.0,,,,97.65491,,,,,,,,,,,,,,,,,,,,,,,,,,,54.88232,,,,,,,,,,89.0,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,92.0,,,,,,,,,,98.21186,,,,,,89.0,,,,,,,,95.0,,,,,,,,,,68.7125,,,,,,,,86.54794,,,58.0,96.0,,96.0,,,,,,,93.0,97.0,,,,,,,,,46.83367,97.0,,,43.57778,89.0,,,,99.0,,87.43846,,,,,,,30.62792,67.0,91.26915,,,,,91.05162,,81.0,97.0,,,,99.0,,100.0,,,,96.0,,97.99026,,95.0,,93.22755
2020,,,,,,,,,,100.0,,,,,,,,,,75.0,,,,,,,,94.0,,,,,,,,,,,97.0,,,,,,96.0,,,,,,,,,,,,94.0,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,85.63835,,,,,,96.0,,,,,,,,,,,,,,,,,,96.0,,,,,,92.0,,,,,,,,,,,95.0,,,,,,,99.0,60.0,59.52966,,,70.15227,,,,,,,,,,,,,,97.0,,,,,86.74748,,,,,94.0,98.0,,,,,,,95.0,98.0,,,,,,80.05086,98.0,,,97.0,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,37.0,,,,,,98.0,,,,,,,,,,43.83417,36.96738,76.0,,,,,,,,,,,,,,,,,,,,50.00064,,,,,,,,,,,,,,,,,94.0,,,100.0,,,,,,,,88.85834,,,76.48568,,,,51.6374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.92725,,,,,,,,,92.0,,,,,,,,,74.68614,,,,,,,,,,,,,,,,,,,,63.15554,,,,,,,,,,,,,86.92754,,,58.8561,,,,,,,,,,,,,,,99.0,100.0,,,,,98.0,,,,,,,,,,,,,,,,94.0,,,,,,,,,,83.68263,97.0,,,,,,100.0,,,,,,,,90.0,,
2022,,,,,,,,98.0,,99.825,,,,,,,,51.37877,40.92361,79.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,,100.0,,,,,,63.93413,,,,,83.03117,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,98.72622,,,,,,96.0,,,35.60971,,,,,,,,,,97.0,,,,,87.15536,,,,,,,,,,,,,,98.0,,,,,,79.0,,,,,,,,,100.0,54.0,,,,,,,,90.74702,,,,72.59589,91.09987,,,,,,,,,,,,99.0,,100.0,,,,96.0,,,,,,
2023,,,,,,,,98.0,,,,,,,100.0,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.55547,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,95.0,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.58654,,,,,,,87.35603,,,,,,,,,,,,,,,,,,,,,,,50.35582,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,86.24682,,,,,,,,,,,,87.96032,,,,,
