Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960,,,,,,,150797810000.0,,,,204556500000.0,83828670000.0,,798536060.0,107240690000.0,1651120600.0,1166782800.0,22255160000.0,,,2185539600.0,,,141975420.0,1684353400.0,4727740000.0,188463860000.0,1704405200.0,,,203297650.0,980371500.0,276385630000.0,212619000000.0,26775250000.0,158907450000.0,5492745700.0,4827329500.0,19168014000.0,1260529300.0,30607352000.0,,,4791476000.0,,,,,,917491550000.0,,,80238060000.0,4530918000.0,27287513000.0,10979942000.0,20297834000.0,,191405160000.0,,,49407156000.0,864434200.0,508897760000.0,,1696430500.0,793127700000.0,5243159000.0,7657875000.0,,,,,41539985000.0,,,7658204000.0,,1555849200.0,,2488221400.0,,6694501400.0,20724517000.0,52777607000.0,,136368120000.0,24135305000.0,50350547000.0,7007485400.0,2370646800.0,18511150000.0,488503150000.0,,,595545700000.0,,6102055400.0,,,,,25704086000.0,,,,2785350400.0,4206979800.0,,,,193508320.0,,8747571000.0,,,,,,4151435300.0,,152252650000.0,,,,,2819978800.0,,,,,,956645900.0,944667400.0,10075054000.0,,,2602180400.0,65552392000.0,2980622800.0,165062640000.0,68793510000.0,3312007700.0,,42162426000.0,1249.2118,,,11070189000000.0,18921910000.0,3163056600.0,27514600000.0,31344415000.0,,2618701800.0,,14872867000.0,36024000000.0,2840643000.0,,,,,,1013799940.0,38385914000.0,9621210000.0,3845391000.0,5946720000.0,,1790724100.0,,,917045760.0,,,,1039858370.0,,,125833175000.0,,,132183656.0,2416812300.0,,1696963300.0,751799550.0,15908737000.0,,,,,3625930500.0,,68945000000.0,,8038068700.0,,,16784217000.0,3431221400000.0,,159183500.0,,,,,,65652790000.0,3745698600.0,4329261000.0
1961,,,,,,,158982880000.0,,,,209634260000.0,88471085000.0,,688768200.0,112579580000.0,1702987000.0,1213966600.0,23603413000.0,,,2418673200.0,,,148921260.0,1763181000.0,4826516000.0,204671760000.0,1835585400.0,,,216193390.0,1028934700.0,285128520000.0,229859570000.0,28179685000.0,115573390000.0,6038316000.0,4884470000.0,17088022000.0,1365792600.0,32165026000.0,,,4881521000.0,,,,,,956929400000.0,,,85356315000.0,4426106400.0,23574927000.0,11542600000.0,21345430000.0,,214065000000.0,,5263329300.0,53164410000.0,894841340.0,533344350000.0,,1946939600.0,814552600000.0,5498288000.0,7920515000.0,,,,,47024857000.0,,,7987393000.0,,1628811100.0,12533114000.0,2534394400.0,,6498219500.0,21698570000.0,55807380000.0,,141444760000.0,25345972000.0,55582433000.0,7520837600.0,2368888300.0,20585118000.0,528595780000.0,,,667270450000.0,,5627643000.0,,,,,27486919000.0,,,,2853312500.0,4623294500.0,,,6530549000.0,197116860.0,,9082601000.0,,,,,,4236482800.0,,159865290000.0,,,,,2833277000.0,,,,,1064724200.0,1175230800.0,1016836200.0,10840556000.0,,,2720485600.0,65678120000.0,3204102100.0,165550470000.0,73109150000.0,3375209700.0,,43560382000.0,1263.4479,,,11508949000000.0,20054831000.0,3508671000.0,29536123000.0,33129626000.0,,2780566500.0,,15920175000.0,38017896000.0,3036655600.0,,,,,,970231600.0,42944954000.0,9623365000.0,3960501000.0,6430636500.0,,1823119000.0,,,887131900.0,,,,1089771600.0,,,132982120000.0,,,125730090.0,2678627000.0,,1720682500.0,843288450.0,16761787000.0,,,,,4134905000.0,6137830000.0,69742050000.0,,8129565700.0,,,17202653000.0,3510139400000.0,,166390190.0,,,,,,68176960000.0,3796691700.0,4602704000.0
1962,,,,,,,157628320000.0,,,,212347390000.0,90814400000.0,,751192300.0,118447240000.0,1644635600.0,1288368300.0,24890513000.0,,,2671472400.0,,,156207460.0,1841995300.0,5095783400.0,218180100000.0,2001903400.0,,,230606290.0,990722200.0,306307400000.0,240869720000.0,29314392000.0,109124395000.0,6112405500.0,5033033700.0,20710801000.0,1436845400.0,33905762000.0,,,5147193000.0,,,,,,1001172760000.0,,,90193306000.0,5180635600.0,18934192000.0,12110397000.0,22172697000.0,,235371820000.0,,5491025400.0,54749740000.0,927110300.0,569994200000.0,,2091971300.0,823502050000.0,5779416600.0,8245981700.0,,,,,47196410000.0,,,8269867500.0,,1646808300.0,14324255000.0,2680498400.0,,7010771500.0,23022182000.0,56835342000.0,,145590680000.0,26161211000.0,59978596000.0,7867047400.0,2565856000.0,22675765000.0,561388000000.0,,,726717370000.0,,6159869400.0,,,,,28557609000.0,,,,2891678200.0,6127004000.0,,,6779887000.0,227338450.0,,9206005000.0,,,,,,4332696000.0,,167322060000.0,,,,,2949069300.0,,,,,1072460600.0,1184708900.0,1023632400.0,11536631000.0,,,3000116700.0,68372890000.0,3553054500.0,176879930000.0,75166410000.0,3439687000.0,,44902420000.0,1518.51,,,12121246000000.0,20953862000.0,3797951500.0,32500158000.0,34735186000.0,,2957802800.0,,17245260000.0,40532570000.0,3136873200.0,,,,,,1080195700.0,48065135000.0,10288901000.0,3955105300.0,6916371000.0,,1905906300.0,,,949911200.0,,,,1132272600.0,,,138645900000.0,,,136302200.0,3335461000.0,,1812913200.0,875111200.0,18028016000.0,,,,,4248303000.0,5856098300.0,73627680000.0,,8869092000.0,,,16931790000.0,3724258000000.0,,172537090.0,,,,,,72388890000.0,3702122200.0,4668728300.0
1963,,,,,,,149261090000.0,,,,225547290000.0,94572540000.0,,782257200.0,123601570000.0,1722427400.0,1272031500.0,24777040000.0,,,2952619500.0,,,163949780.0,1861704700.0,5442176000.0,219489170000.0,1900238200.0,,,244260590.0,983717600.0,322533850000.0,252622230000.0,31026393000.0,120364200000.0,6998115000.0,5221397500.0,21790660000.0,1378950500.0,35020145000.0,,,5502293500.0,,,,,,1028557770000.0,,,90767860000.0,5517527600.0,25431220000.0,12365487000.0,24504840000.0,,257959280000.0,,5739145000.0,56548327000.0,986063100.0,605326000000.0,,2219423200.0,863520500000.0,6022260700.0,8609297000.0,,,,,52786760000.0,,,9058899000.0,,1444602400.0,16582309000.0,2776472000.0,,6878072300.0,24334447000.0,55563920000.0,,154317900000.0,27402465000.0,64202334000.0,8059609600.0,2829652000.0,25101103000.0,592880340000.0,,,788296760000.0,,6700603400.0,,,,,31133667000.0,,,,2957448400.0,8272704000.0,,,6950520000.0,251470600.0,,9522609000.0,,,,,,4292428000.0,,180886680000.0,,,,,3342749200.0,,,,,1051185500.0,1349318500.0,1009392830.0,12383281000.0,,,3282974500.0,74238340000.0,3939111000.0,183291170000.0,78011480000.0,3504873000.0,,47642420000.0,1587.3175,,,12729195000000.0,22774508000.0,4122250800.0,33906848000.0,37172298000.0,,3078259700.0,,18737156000.0,42913333000.0,3284629000.0,,,,,,974115700.0,52244930000.0,9995979000.0,4028847400.0,7610787000.0,,1938301200.0,,,976592300.0,,,,1195680000.0,,,146032850000.0,,,150117250.0,3046852000.0,,1783916400.0,918864060.0,19470225000.0,,,,,4486403600.0,5227505000.0,80302990000.0,,9424297000.0,,,16960651000.0,3888125300000.0,,161727060.0,,,,,,77726640000.0,3823270100.0,4960260000.0
1964,,,,,,,164381690000.0,,,,241290870000.0,100364500000.0,,831328500.0,132200145000.0,1836981900.0,1301069700.0,27490816000.0,,,3262690800.0,,,172147070.0,2068540000.0,5657500700.0,226951800000.0,1995342800.0,,,260949220.0,1004182140.0,344001700000.0,265900930000.0,31819807000.0,142246410000.0,8230699000.0,5406609000.0,21258920000.0,1431582300.0,37179820000.0,,,5703625000.0,,,,,,1096848600000.0,,,99181980000.0,5890780700.0,26916254000.0,13281430000.0,27324754000.0,,271653080000.0,,5973904000.0,59510714000.0,1034156160.0,644223500000.0,,2320505900.0,911832840000.0,6349244400.0,8799505000.0,,,,,57753825000.0,,,9478598000.0,,1608713300.0,18013047000.0,2926863600.0,,6764765700.0,25478167000.0,57525158000.0,,165819140000.0,28439912000.0,69643624000.0,9254569000.0,3109275600.0,27093424000.0,609467400000.0,,,880343900000.0,,7033253000.0,,,,,34083217000.0,,,,3109815000.0,12001352000.0,,,7222037500.0,272219700.0,,10271642000.0,,,,,,4462516000.0,,202422100000.0,,,,,3145727000.0,,,,,1342268000.0,1256357400.0,1036253800.0,13046897000.0,,,3287276500.0,77913500000.0,4399927300.0,198458330000.0,81919590000.0,3768875500.0,,50550174000.0,1588.5038,,,13565455000000.0,24498481000.0,4304954400.0,36127023000.0,38437085000.0,,3342075400.0,,20060172000.0,45621486000.0,3422993200.0,,,,,,852692300.0,56830358000.0,9883979000.0,4185324800.0,7374611500.0,,2067881300.0,,,916916400.0,,,,1273399200.0,,,155994000000.0,,,159003070.0,3329336800.0,,1739123300.0,1050133100.0,20800236000.0,,,,,4828738600.0,4983069700.0,84686774000.0,,9943685000.0,,,17374580000.0,4113636500000.0,,167661980.0,,,,,,83897830000.0,4290246100.0,4905391000.0
1965,,,,,,,181755890000.0,,,,255720390000.0,103857360000.0,,864309200.0,136907340000.0,1934229100.0,1350049000.0,27932390000.0,,,3602846000.0,,,180634850.0,2167002600.0,5935479000.0,232398650000.0,2223507200.0,,,276120670.0,1013697600.0,365733000000.0,271496970000.0,32122182000.0,166357190000.0,7974753000.0,5516150000.0,21470945000.0,1484214000.0,38518297000.0,,,6170782000.0,,,,,,1154369000000.0,,,103699970000.0,5155503000.0,28586918000.0,13716407000.0,28667505000.0,,288639900000.0,,6318713300.0,62666486000.0,1006231200.0,675197160000.0,,2513881300.0,931257900000.0,7019638300.0,8919970000.0,,,,,63972766000.0,,,9892031000.0,,1778288000.0,20650520000.0,3191369000.0,,6911006000.0,36283560000.0,58147344000.0,,161448530000.0,28989784000.0,81507920000.0,10250719000.0,3336140300.0,29531275000.0,629384940000.0,,,931577300000.0,,7174557700.0,,,,,36577575000.0,,,,3258892800.0,15379598000.0,,,7405257000.0,278083620.0,,10196152000.0,,,,,,4442334700.0,,216794070000.0,,,,,3482088400.0,,,,,1558887700.0,1296522900.0,1177355300.0,14049533000.0,,,3514748200.0,81719560000.0,4819027000.0,215611280000.0,86249540000.0,3723529000.0,,53639664000.0,1595621900.0,,,14326565000000.0,27051067000.0,4699289600.0,38157988000.0,40491580000.0,,3685257000.0,,21906680000.0,49028950000.0,3634122500.0,,2168264000.0,,,,912461950.0,63727722000.0,10553823000.0,4241081300.0,7952357400.0,,2216358400.0,8436981000.0,,862417860.0,,,,1426207100.0,,,161955320000.0,,,157316720.0,3405890800.0,,1749666400.0,1212480600.0,22502042000.0,,,,,4862243000.0,4856664600.0,87077930000.0,,10377699000.0,,,17556249000.0,4376909300000.0,,169145700.0,,,,,,89034720000.0,5004463000.0,5146274000.0
1966,,,,,,,180556810000.0,,,,261804000000.0,109717890000.0,,904179700.0,141228000000.0,2003394600.0,1357307100.0,28649361000.0,,,3929693400.0,,,189252660.0,2478263000.0,6361087500.0,247969350000.0,2312522200.0,,,293637820.0,1020233700.0,390455400000.0,278179740000.0,35731510000.0,184074220000.0,8898018000.0,5770717000.0,22925707000.0,1504384100.0,40535396000.0,,,6600844000.0,,,,,,1186832000000.0,,,106542290000.0,5849606000.0,27213324000.0,13669836000.0,30114183000.0,,309554940000.0,,6777237000.0,64153450000.0,1006231200.0,710376200000.0,,2627207400.0,945854900000.0,7548614700.0,8540132000.0,,253504720.0,,,68127478000.0,,,10437291000.0,,1871350800.0,21021108000.0,3362868000.0,,6871213600.0,38968545000.0,59770438000.0,,161359200000.0,29248688000.0,90883285000.0,10759450000.0,3628074500.0,29507756000.0,667052340000.0,7024390000.0,,1030683750000.0,,8231267000.0,,,,,40964674000.0,,,,3509914000.0,18238999000.0,,,7777281500.0,276955940.0,,10308911000.0,,,11518527000.0,,,4534049000.0,,230010140000.0,,,,,3313145300.0,,,,,1562488200.0,1250260200.0,1333343500.0,15147744000.0,,,3501304300.0,78246050000.0,4978109400.0,221521400000.0,89515385000.0,3985689300.0,,56991320000.0,1678665500.0,,,15105203000000.0,28617312000.0,5055561700.0,41301795000.0,42289877000.0,,3899509000.0,,23549495000.0,51028304000.0,3706496300.0,,2375909400.0,,,,976415600.0,68941380000.0,10176509000.0,4363087400.0,8761915000.0,,2254036500.0,9041165000.0,,940886300.0,,,,1700038800.0,,,165341540000.0,,,179178260.0,3145031400.0,,1718048300.0,1326559600.0,25004835000.0,,,,,5059495400.0,5024455700.0,96841820000.0,,11586045000.0,,,18093971000.0,4661408400000.0,,169145700.0,,,,,,92986425000.0,4725699000.0,5224658400.0
1967,,,,,,,186320180000.0,,,,278310420000.0,113018250000.0,,1029151040.0,146690900000.0,2024999200.0,1477066500.0,28111940000.0,,,4306870000.0,,,198550880.0,2807253200.0,6762931700.0,258384070000.0,2558485500.0,,,311034600.0,1067946100.0,402424500000.0,286680700000.0,37023560000.0,173453150000.0,9307164000.0,5141013000.0,22699719000.0,1536221000.0,42211480000.0,,,6973800000.0,,,,,,1182912500000.0,,,112813620000.0,6044254700.0,29785790000.0,14301529000.0,30356680000.0,,322990670000.0,,7052500500.0,65544827000.0,1140581400.0,745158740000.0,,2735320800.0,972109300000.0,8020635600.0,8802772000.0,,253504720.0,,,71989950000.0,,,10866490000.0,,1952073700.0,21358193000.0,3563884800.0,,6725703000.0,41891185000.0,60595510000.0,,173987100000.0,30940932000.0,101110200000.0,9806505000.0,3582349800.0,30391521000.0,714937400000.0,7151436300.0,,1144905700000.0,,8507939000.0,,,,,44684104000.0,,,,3746685700.0,20265366000.0,,,8278062600.0,307177540.0,,10331254000.0,,,12673702000.0,,,4784717000.0,,243477070000.0,,,2003673100.0,,3116832800.0,,,,,1618224100.0,1305073300.0,1430431600.0,15732015000.0,,,3505606400.0,65927287000.0,5325059600.0,233217770000.0,95115540000.0,3923054300.0,,54375743000.0,2790262300.0,,,15669215000000.0,30162823000.0,5487960000.0,42892970000.0,44498543000.0,,4058237000.0,,25015032000.0,54878126000.0,4045654300.0,,2263311000.0,,,,1043944700.0,75083630000.0,10321431000.0,4309866500.0,9857909000.0,,2254854400.0,9532719000.0,,996783800.0,,,,1905743500.0,,,170905940000.0,,,180082640.0,3404738000.0,,1731229200.0,1399525200.0,27159247000.0,,,,,5162836500.0,5032593000.0,101424865000.0,,12225972000.0,,,17432306000.0,4777943500000.0,,153036580.0,,,,,,99678220000.0,5099960000.0,5661805600.0
1968,,,,,,,195305460000.0,,,,292486740000.0,118072780000.0,,1026085400.0,152843300000.0,2102806400.0,1522423900.0,30779610000.0,,,4669584400.0,,,213178580.0,2866353400.0,7339772000.0,283705700000.0,2735579100.0,,,343901760.0,1082941300.0,422579000000.0,296966880000.0,38353450000.0,166341560000.0,10475049000.0,5467278300.0,23683230000.0,1653455100.0,44715938000.0,,,7564711000.0,,,,,,1249969000000.0,,,119416600000.0,6058691600.0,33001535000.0,14574608000.0,29868913000.0,,344298420000.0,,7344628700.0,67054514000.0,1230872300.0,778321700000.0,,2803944700.0,1025309900000.0,8378002000.0,8835242000.0,,277780700.0,,,77175910000.0,,,11819051000.0,,1972079100.0,22083863000.0,3799036400.0,,6939689000.0,43943854000.0,67209617000.0,,179881670000.0,33491680000.0,115674310000.0,11719961000.0,3385382100.0,35327697000.0,761726900000.0,7562224000.0,,1292397700000.0,,9187102000.0,,,,,50567110000.0,,,,3925360400.0,27128013000.0,,,8758281000.0,306049820.0,,10763501000.0,,,13927352000.0,,,5111454700.0,,266420580000.0,,,2077977600.0,,3492702200.0,,,,,1783225500.0,1215158300.0,1402923300.0,16987114000.0,,,3519050200.0,65104273000.0,5396573000.0,248181330000.0,97265030000.0,3949554000.0,,54349185000.0,5075147000.0,,,16598170000000.0,32344566000.0,5870876700.0,42958270000.0,46740450000.0,,4235159600.0,,26310920000.0,59748840000.0,4228804000.0,,2601241600.0,,,,1117164700.0,80835130000.0,10524063000.0,4580990500.0,11191388000.0,,2300400600.0,9841264000.0,,1017018300.0,,,,2050580000.0,,,177124360000.0,,,193684700.0,3531703600.0,,1723313700.0,1469833100.0,29365195000.0,,,,,5432085500.0,5556472300.0,108299444000.0,,12994443000.0,,,17761585000.0,5007285000000.0,,162998800.0,,,,,,103818220000.0,5163624400.0,5773351000.0
1969,,,,,,,214210100000.0,,,,313093230000.0,125482880000.0,,1011109250.0,162976510000.0,2163314700.0,1553269500.0,31155384000.0,,,5088990700.0,,,224064270.0,2964853500.0,7668160500.0,310657740000.0,2941251000.0,,,395911420.0,1159738500.0,443991230000.0,313694780000.0,39863804000.0,194519830000.0,11474287000.0,5735255600.0,25892600000.0,1778266500.0,47444734000.0,,,7980150000.0,,,,,,1342693000000.0,,,127535870000.0,6718571000.0,35784647000.0,15255131000.0,31445846000.0,,374965140000.0,,7446620000.0,73487245000.0,1262830800.0,833684900000.0,,3030585000.0,1045192050000.0,8778178000.0,9365902000.0,,284546100.0,,,86100270000.0,,,12378909000.0,,2110014000.0,24588900000.0,3823936800.0,,7204226000.0,46975980000.0,71794860000.0,,191645380000.0,35455582000.0,133623095000.0,12100178000.0,3466279700.0,40120150000.0,808177430000.0,7983793000.0,,1453661700000.0,,9918324000.0,,,,,57930370000.0,,,,4211459000.0,30678497000.0,,,9434142000.0,310786050.0,,11836929000.0,,,15091980000.0,,,5301663000.0,,275528480000.0,,,2082777600.0,,3607673000.0,,,,,1805489700.0,1275101600.0,1485448200.0,17817537000.0,,,3325997000.0,80857810000.0,5733195300.0,264138010000.0,101646440000.0,4125839000.0,,59889906000.0,6377742300.0,,,17591028000000.0,34126072000.0,6366460000.0,44468023000.0,48932330000.0,,4585553400.0,,28777630000.0,61015958000.0,4427606500.0,,2531373800.0,,,,1240135200.0,85715870000.0,10670280000.0,4280745700.0,12739585000.0,,2496520200.0,10184273000.0,,999733400.0,,,,2142856100.0,,,185996660000.0,,,193684700.0,4194530600.0,,1841900300.0,1629028900.0,31288810000.0,,,,,5580418600.0,5820283400.0,112719300000.0,,13418276000.0,,,18803257000.0,5162511000000.0,,167661940.0,,,,,,108714190000.0,5141063700.0,6490877000.0
