Date,AGO,ALB,ARE,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KIR,KOR,LAO,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,OWID_KOS,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SDN,SEN,SLB,SLE,SLV,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27589646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3556052,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,0.33729297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27141878,,,,,,,,,,,,,,,,0.29687822,,,,,,0.34006613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35504323,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2723537,,,,,,,,,,,,,,,,,,,,,,0.33277303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34790006,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,0.33469138,,,,,,,,,,,,,,,,,,,,,,,,,,0.34042618,,,0.2743262,,,,,,,,,,,,,,,,,,,,,0.36329976,0.3326154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2689476,,,,,0.48740143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34758875,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34483546,,,,,,,,0.28477892,,,,,,,,,,,,,,,,,,,,,,0.32899266,,,,,,,,,,,,,,,,,,,,0.46848634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34716898,,,,,,,,,
1981,,,,,0.31324694,,,,,,,,,,,,,0.57864046,,,,,0.3296308,,,0.28164098,,,,,,,,0.47494763,,,,,,,,,,,,,,,,,,0.2968705,,,,,,,,,,,,,,,,,,,,,,0.3157181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22923574,,,,,,0.4521682,,,,,,,,,0.29969484,,,,,0.3548752,,0.5560985,,,,,,,
1982,,,,,,,,,,,,,,,,,,0.58356094,,,,,0.32930598,0.36005235,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29903,,,,,,,,,,,,,,,,,,,,,,0.2923156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3666041,,,,,,,,,
1983,,,,,,,,,,,,0.2587649,,,,,,0.58903974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29786685,,,,,,,,,,,,,,,,0.27203676,,,,,,0.29767215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28364167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37291998,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,0.5829912,,,,,0.33518428,,,0.271023,,,,,,,,,,,,,,,,,,,,,,,0.3339817,,,0.29166204,,,,,,,,,,,,,,,0.32302415,,,,,,,0.31334364,,,,,,,,,,,,,,,,,,0.36468908,,,,0.4852701,,,,,,,,,,,,0.48496294,,,,,,,0.3005754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37344322,,,,,,,,,
1985,,,,,0.3249635,,,,0.2520385,,,0.26917496,,,,,,0.55526423,,,0.5421201,,0.33174872,,,,0.45520967,,,,,,,,,,,,,,,,,0.34431675,,,,,,,,0.30419374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32467854,,,0.26294357,,,,,,,,,,,,,,,,,,,,,0.3867785,,,,,,,,,,0.41037434,,0.25083962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4343376,,,,,,,,0.37640655,,,,,,,,,
