Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1986,,,5.72269,,,,,1.26155,,,,5.2689,5.49996,,,4.85229,,,1.34349,,,,,,,,,,,,,5.18593,2.20775,6.02059,4.21008,,2.06155,,2.84834,0.7225,,,,,,4.42027,,,,3.48897,,,,,5.83825,,,6.87238,,,,,2.0859,5.1004,,4.70795,,,4.38084,,3.35448,,3.48473,,,1.83337,,,,,,,,4.75104,,,5.30121,3.56991,,,5.86452,4.6549,4.60398,3.28436,,,6.01379,,,,,3.63594,5.40084,,,,,4.15468,,2.80542,,,3.78982,,,5.25928,,,,,,,,2.43537,3.10572,,,,,,3.43729,2.19796,7.24336,,,,,5.56155,5.53984,,,3.43031,3.79283,2.67813,3.34574,,1.51702,,,,,3.04925,,,,,,,6.25535,,,,,,,,,,,,,,,,,,9.12957,5.62294,,,,3.40798,,,,,,5.87949,1.50957,,,,,3.10283,,,4.42911,,,,,,,,3.33899,
1987,,,5.05851,,,,,1.2823,,,,5.05775,5.37611,,,4.57713,,,1.51364,,,,,,,,,,,4.73773,,6.11773,2.54805,6.29828,4.16636,2.82329,1.80425,,2.93091,0.8612,,5.93985,,,,,,,,3.44871,,,,,6.07808,,,,,,3.12818,,,5.20082,,4.62344,,,4.37181,,3.3067,,,,,1.83421,,,,,,,,4.64594,,,5.52882,4.14092,,,5.28594,,,3.29667,5.48794,,,,,,2.64113,3.37424,,,,,,,,2.64433,,,4.08302,,,5.16214,,,,,,,,,3.16532,,,,,,3.01674,2.42225,6.326,,,,5.35175,5.89792,5.78808,,,3.91739,3.65626,2.97746,3.87012,,,,,,,3.15798,,,,,,3.50578,,,,,,,,,,,,,,,,,5.8022,,,4.56184,,,3.34063,3.11582,,,,,,,,,,,,,,,,3.92751,,,,,,4.75367,2.66226,11.64476
1988,,,,,,,,,,,,4.90723,5.19073,,,4.30072,,1.42608,,,,,,,,,,,,5.40903,,6.15111,,6.15023,4.23081,,1.76418,,2.71473,0.81484,,,,,,4.01323,,,,3.37547,,,,,6.33533,,,,4.52522,,3.3283,,,5.06696,,4.54472,,,4.26831,,3.18742,,,,,1.86894,,,,,,,,4.49736,,,5.01616,3.6813,,,4.31535,4.59277,3.94086,4.0475,5.45284,,6.60055,,,,,2.74737,,,,,,,,2.82636,7.21664,,4.01432,,,4.57782,0.88102,,,,,,,,3.33824,,,,,,3.08985,2.17925,,,,,,5.47146,5.86597,,,4.42586,3.38989,,,,,,,,,3.38753,,,,,,3.33534,,,,3.65207,,,,,,,,,,,,,5.51156,,7.79334,3.61586,,,,2.75342,,,,,,,,,,5.10365,,,,,,3.62941,,,,,,4.85424,,12.33729
1989,,,,,,,,1.04612,,,,4.73916,5.01817,,,,,,,,,,,,,,,,,4.69012,,,,6.07407,4.14316,,,,2.64896,,,,2.70525,,,4.07785,,,,3.37627,,,,4.28991,5.83814,,,,4.60006,,3.55178,,,5.07261,4.8311,4.4564,,,4.12511,,,,2.97409,,,2.01546,,,,,,,,5.06344,0.87141,,4.71302,3.99721,3.5515,,5.462,,5.18398,5.64354,5.27435,,6.03572,,,,2.19796,3.06263,,,,,,,,2.75516,6.20228,,3.87238,,,4.75733,0.95754,,,,2.28201,,,,3.58874,,,,,,3.46896,2.18262,,,,,,,6.29985,,,4.81824,2.97824,2.36382,,,,,,,,3.47524,,,,,,3.74663,,,,,,,,,,,,,,,,,5.66129,,7.73472,4.03414,,,,2.50243,,,,,4.19987,,,,1.54891,,,,,,4.46869,,,,,,,4.44185,,12.28423
1990,,,,,,,,1.06738,,,,4.66689,4.95725,,3.35933,,,,1.51912,4.45406,,,,,,3.1362,,,,3.95996,,5.73963,2.2442,5.96922,4.39194,2.25016,,,3.2871,,,,,,,,,,,3.33924,,,,,,,,,,,3.63359,,,5.3389,,4.51394,,,4.05552,,,,2.82584,,,2.04608,,,,2.46609,,,,5.4319,,,4.60056,3.77391,,4.25863,5.18976,,4.77916,,,,,,,,,3.03874,,,,,,,,2.41093,,,,3.46597,,4.51049,,,,,2.32498,,,,3.83142,,,,,,3.12822,2.24735,,,2.07437,,,5.22879,6.31037,,,,2.83892,2.51681,,,,,,,,3.56972,1.04071,,,,,,,,,,,,,,,,,,,,,5.21219,5.48457,,,,,,,,,,,,3.65413,5.79086,,6.98569,1.47233,,,,,,,2.44671,,,,,,4.69768,,12.45426
1991,,,,,,,,,,,,4.78484,5.10322,,3.49366,,,,1.42566,5.42962,,,,,,3.15065,,,6.6387,3.66894,,,2.27631,6.85952,4.54507,,,,3.22023,,,,,,,,7.14497,,,3.57539,,,,,5.59676,,,,,,3.74235,,,6.33748,,4.8413,,,4.12248,,,1.38291,3.78061,,,1.93433,,,,,,,1.07399,5.8794,,,4.78267,3.74353,,,5.20182,,4.38307,,,,6.57067,,,,1.99845,3.48925,,,,,,,,2.91558,,,,3.74338,,4.30316,,,,,2.548,,,,3.9203,,,,,,3.46326,,,,2.30833,,,5.16165,6.37322,,,,2.98794,2.56676,,,,,,3.89145,,4.07133,,,,,,,5.77947,,,,3.87719,,,,,,,,,,4.07582,5.44381,,,,,,,,3.0886,,,,,,6.02747,,,,,,2.47908,,,4.87377,,,,,,,5.25961,2.74057,
1992,,,,,,,,,,,,4.68288,5.29698,6.05797,3.80585,,,,1.63177,5.26046,,,,,,3.47605,,,,3.74769,,6.84061,,6.74663,,,1.65456,6.78114,2.751,,,5.45542,,,,,,,,3.7803,3.75176,,,,,,,,4.05067,,3.83716,5.28141,,6.5205,,4.73539,,2.80552,4.33449,,,1.37601,1.16984,,,,,,,2.8282,,,,6.07957,,,5.00563,3.64046,,,5.33986,,3.33666,,,,6.0759,,,,2.30387,3.57789,14.19883,2.33457,,,,,,,,,,4.16692,,,0.91361,,,,3.00502,,4.73345,,4.3141,,,,,,,,5.11143,,2.24298,,2.98497,,6.63614,,,,3.12258,2.54968,,,,,,4.18793,,4.33747,,,,,,,5.14464,,,,,,,,,,,,,5.35695,4.72461,5.2585,,,,,,,4.01865,3.04541,,,,,,5.75489,,,,,,2.41153,,,,4.31068,,,,,,,2.0916,22.32221
1993,,,,,,,,,,,,5.50569,5.252,,,5.37231,,,1.69262,4.95049,,,,,,,,,,4.29403,,,,7.67835,4.94459,2.38372,1.65785,6.50305,,,,,,,,,7.07477,,,4.09555,4.15868,4.40792,,,7.77282,0.77395,,,4.1977,,4.24489,5.69823,2.2969,7.48716,,5.42959,,,5.4,,,1.43233,,,,,,1.66575,,,,,,5.91959,,,5.11556,4.31462,,5.14158,5.69947,4.73389,3.21403,,3.36711,,6.02915,,,,,3.69698,,,1.66652,,,,,,8.57703,3.94003,,,,4.82497,,,1.77545,,,,4.63057,,,,,,,,,,4.65463,,2.06512,,,4.75661,7.67663,,,7.3,3.50822,2.38644,,,,,,4.18276,,4.84095,,,,,,,5.99929,,,,,,,,,,,,,4.4496,4.96055,5.50703,,,,,,,,,8.18559,,,,,5.98377,3.36547,,,,,,5.5,,,3.81783,,,,,,5.3889,1.94208,
1994,,,,,3.44698,,,,,,,5.24491,,,4.56527,5.41104,,3.4511,,4.17066,,,,,,,,,,,,,,6.6583,4.90889,2.51182,1.98571,4.78869,,,6.37312,,,,,,5.61948,,,4.15997,4.64996,4.33664,,,7.47106,0.89337,,,4.58376,,4.48468,5.49429,,6.85707,,5.62643,,,4.85083,6.91566,,,,,,,,1.43998,3.72445,,2.51264,,,5.83489,0.99855,,5.18871,,,4.75558,6.16133,4.43331,4.06419,,3.56932,,5.92402,5.58819,,,,3.01831,,,1.93126,,,6.53238,,3.10853,7.02543,4.79562,,,,,,,,,3.47707,,4.52629,,,,,,,,,,4.70529,,2.26539,,,4.66325,7.83044,,,5.92605,3.44449,2.58931,3.47054,,,,,,,4.6713,,,,,,,6.34382,,,,,,,,,,,,,3.7125,4.70306,,5.14029,,8.47928,,,,,3.40523,,,,,3.43181,6.17647,3.42483,,,,,2.27172,,,,5.00603,,,4.11688,,,5.29777,1.79352,44.33398
1995,,,,,3.81464,,,,,,,,5.42835,3.33737,5.01511,2.98866,,,,2.37207,,,,,,,,4.56816,,,,,,6.30477,4.9129,2.5647,1.84192,4.30145,,,4.91034,,,,,3.35272,,,,3.74123,4.51755,4.43076,,,7.47104,1.0333,,1.99764,4.604,,4.43463,5.89866,,6.80991,,5.79073,,,4.83926,,,,2.55356,,,,,1.6048,3.60934,,2.61745,,,4.84749,1.00435,,4.87162,4.08181,,4.78062,,4.31865,3.38908,,3.40211,4.03445,,6.15643,,,2.57641,2.93543,,,2.22463,,,,,2.9576,8.64097,4.76712,3.65909,,,4.73481,1.06456,,,,3.49747,,4.27123,,,1.20248,,,,,,2.75468,4.34255,,2.32975,,,4.57888,7.69568,,,5.74213,3.41326,2.79531,3.94781,,2.66399,,,4.33026,,4.61331,,,,,,,5.69247,,,,,,,,,,,,,4.29758,4.90559,6.14814,5.65314,,7.24051,,,,,3.14498,2.0659,,,,3.55855,6.42976,2.25111,,,,,2.5214,,,,,,,,,,,1.83853,
1996,,,,,3.08351,,,3.73198,1.84843,,,,5.2599,3.51257,4.08324,3.04948,,1.44026,,2.23008,,,,,,,,,,,,,,,4.92261,2.77721,1.85339,2.72476,,,,,,,,3.89072,,,,,4.24491,4.49471,,,7.88494,1.22725,,,4.67157,1.63855,4.45746,6.05492,2.70708,6.85898,,5.75672,,,4.37826,,,,2.56628,,,,,1.5637,,2.72831,,,,4.33475,1.07855,,4.75392,3.53776,,5.21835,,4.44764,3.67773,7.47691,,3.92371,,4.90261,,,,,5.85961,2.42975,2.08467,,,,,3.3436,,4.84522,3.47682,5.25758,,,1.08223,9.89664,,,,,4.30311,,,,,,,,,3.69773,4.91385,,2.14418,,,4.49419,7.13805,,,6.38372,3.18452,2.81057,4.09432,3.1188,2.94357,,,6.25738,,5.06511,,,,3.24122,,,4.94374,,,,,,,,,,,,,4.1244,,6.83862,4.93816,,7.31149,3.69905,,,3.12451,3.49961,2.04345,,,,3.24877,6.28781,,,1.74418,,,2.86987,,,,,,,,,,5.04735,,
1997,,,,,3.37947,3.71328,,,,,,,,,,,,,1.95247,,,,,,,,,,,,,,,,,2.98517,,2.61812,,,,,,,,,,,,,,,,,,,,,,,,6.33788,2.6908,,,,,,,,,,,,,,,,,,,,,,1.07208,3.36136,,,,,,,4.37954,6.36482,,4.37343,,,,,,,5.58263,2.1302,,,,,,,11.36401,5.45044,,5.51279,,,1.21241,,1.53846,,,,,,,,3.94897,,1.5858,,,,4.62038,,,,,,7.30343,,,6.15722,3.3568,3.0223,3.84711,,3.07757,,,,,,,,,,,,4.37707,,,,,,,,,,,,,4.12232,,,,,,,,2.27335,,4.57719,,,,,3.32521,6.67903,,3.45019,1.69306,,5.45601,,,,,,,,,,,,,
1998,4.76316,,2.56712,3.52571,3.53698,,,4.03987,,,,,6.10374,3.38002,,,2.74789,,,2.73943,,,,,,2.15227,,4.75666,,5.25395,,,,5.49377,4.75152,3.32313,1.84433,2.43499,,,4.06827,,3.92644,2.20136,6.39177,,6.20873,,,,3.58012,4.46187,,5.73984,8.10675,,,2.19537,,4.62058,4.28786,6.23536,,,5.5247,5.68792,,3.41966,4.20708,2.10888,,,,,2.18798,2.89256,,,,,,,,4.40865,,3.57256,4.28754,,,6.78387,6.4264,4.45031,,,3.29797,,,4.91963,1.25907,,4.02057,3.36814,,,,,,5.52894,,3.05142,,6.11645,,5.80772,3.35005,4.59939,1.20882,,1.58879,,3.17838,,,2.64959,4.18472,,5.49302,1.80137,,4.34611,,,,,,,2.22585,4.54057,7.35759,2.89288,,,4.13833,,,3.27818,3.69746,,,4.94201,,,4.19834,,3.57767,,,,8.28131,,2.47457,,2.3155,,2.54725,,,,,,,,,7.06125,,,5.63179,,,1.64903,2.8213,4.6257,2.52849,,,5.51713,2.43892,,,,1.49839,,4.44884,2.24337,,,4.03337,,,,7.64105,,,,2.11823,
1999,4.39527,,,3.61178,3.59293,,,4.52168,2.23519,,2.5255,,6.11234,4.21214,3.41745,,1.92194,,2.13282,,,,,6.00001,4.0478,,,3.80062,4.34124,4.93205,,,1.69002,5.5308,4.75953,3.70839,1.88804,2.68529,,,,1.75295,4.4408,,6.80168,5.39436,6.75524,,,4.77208,3.66753,,7.62948,4.02858,7.93116,,,1.54734,,5.26281,4.26044,6.65249,,5.86993,5.16864,,6.42491,3.08123,3.98845,2.15513,4.11037,1.61955,1.56513,2.03237,,3.02773,,,8.56106,,,,,4.56705,,4.41539,4.13379,4.22041,,6.43401,6.22093,4.51085,,4.94367,3.37813,3.89257,5.32324,4.08522,,9.69332,3.32267,3.36929,,,,,2.26417,5.44994,,,12.49935,,,5.53938,3.33665,4.62527,1.19527,4.66256,2.40501,,3.36165,13.84985,,2.23184,,,5.14566,2.64153,1.72203,5.88001,3.88742,3.43224,5.68679,7.13076,2.56853,,2.92365,4.507,6.96222,2.89331,,6.63621,4.03593,2.61149,4.56723,3.44134,,,,4.59182,,5.04686,4.23088,,4.3453,,,3.85799,7.07227,,2.45981,,,,2.56261,,,,,,,4.1073,,6.84873,5.09095,,4.94468,,,3.22786,2.96397,4.83267,2.07652,,,5.38056,2.75612,6.27099,,,,,3.61808,,,,5.75269,,,,6.16265,4.01625,,5.29117,1.77495,
2000,4.71468,,2.60753,3.82887,3.43017,,,4.58031,2.77273,,,4.75934,5.58881,3.85399,2.64548,5.532733,2.11366,,2.12508,4.219833,,2.23284,,6.19662,3.69593,,,3.94893,4.71586,3.70591,5.78676,,1.61265,5.42332,4.65878,3.75707,,2.40031,1.70285,,,1.89765,3.51121,,,4.66695,7.70481,,,4.98954,3.64034,4.0334606,9.66,,8.08434,1.88829,,1.20266,,,4.16605,5.33946,3.88615,5.7093,5.87774,5.6002192,6.70687,3.82709,4.01822,2.18105,,1.77865,1.46587,,,3.23019,,,8.48415,,,6.0924993,,4.8684,,4.32479,4.13226,4.03064,,6.43144,5.95195,4.29108,4.98347,,3.46012,3.25662,5.18673,3.50839,1.66681,10.05861,4.74039,,,1.50369,,,,,,,10.09155,5.973029,4.240454,5.27427,3.31439,,1.25537,4.48639,2.43869,5.737207,3.8087,,,2.97156,4.879937,,5.55037,,,3.77469,3.71904,3.60613,5.97161,6.90178,2.56502,,3.0016,4.58512,6.45934,2.97515,,,3.20024,1.83782,4.75969,3.22803,3.1644,7.84434,,4.98393,,5.16385,4.23021,,3.72598,2.86863,2.93979,3.43418,5.90982,1.01218,2.46335,3.3213,,4.94937,2.83868,,,,,,,3.86468,6.1701484,6.74015,5.50848,,3.9791648,,4.71883,2.64671,2.77645,5.25346,2.32871,,,4.87808,2.75565,6.20196,,,,2.46167,4.02293,2.42255,6.0856495,,7.32788,,,,7.00363,3.63096,9.66163,4.90881,1.78819,
2001,4.79898,,,5.40176,3.4587,,,4.83374,2.46944,,,5.2226157,5.57548,3.50342,2.90391,5.676055,2.3651,,2.17193,3.38424,,,,,4.25066,,,3.84468,6.05537,,5.44985,,,4.95303,4.82219,,,2.44477,2.29734,,,,3.70868,,,4.83203,8.35809,,,5.11552,3.73283,4.1179123,7.80543,,8.21545,1.96783,,,,4.04716,4.11127,5.22846,3.70029,5.84025,5.64311,5.6178,,,4.10014,2.1375,5.35444,1.42785,1.1581,,,3.36458,,,8.3973,3.9037,,5.6631923,,4.93101,2.46003,,4.08749,4.07168,,6.70592,6.19316,4.65009,5.38103,,3.40082,3.2793415,5.20621,3.85418,1.72222,11.60754,4.42155,,6.58583,1.99028,2.84148,,,5.70733,,,9.36505,5.84759,3.53973,5.44696,2.71447,,,4.84685,2.7072,5.2495,4.03134,,,2.65845,5.3209906,,4.9360642,,2.10684,4.78911,3.07348,3.09834,7.48447,6.88887,2.27982,,,4.69965,6.82016,3.70838,,,4.02032,,4.10588,3.03712,2.92464,7.58416,,5.31903,,5.33713,3.83357,,3.20019,3.26629,3.10602,4.82502,7.71887,,2.47151,3.54249,,3.48251,,,,,,,,3.9357,5.75683,6.61764,4.83824,,,4.5464,4.84301,2.42614,2.6675,4.81787,2.37659,,,4.47756,3.06529,6.20185,,,,,4.52568,2.80096,6.29892,,,,2.90477,,8.95115,3.97652,9.24471,4.63618,,
2002,4.8722,,,5.41641,3.1178,1.65971,,4.01734,2.13504,,3.07914,5.3056965,5.52213,3.15446,3.00493,5.789684,2.15949,,2.01715,3.38608,,,,,,,7.195048,3.75037,5.88062,,,,1.51957,4.99308,5.17881,4.04881,,2.81048,,,3.20832,,4.26813,2.25842,7.87682,5.15044,9.57117,,,5.58167,3.95878,4.142289,8.4476,,8.21303,1.91401,,,4.7958837,3.5239,4.13457,5.43461,3.63245,6.01678,6.27587,5.7809753,,,4.61193,2.23502,,1.77897,1.44292,,,3.42431,,,8.36554,4.01554,,3.82301,,5.17923,2.64569,,4.10488,4.48488,,7.29892,6.26282,4.43241,5.37523,,3.40899,3.0297,6.172,4.44546,1.71121,,3.92051,,6.55111,2.82522,2.55271,,,,,,10.10045,5.80008,4.6116724,5.60254,2.84296,,,5.49791,2.23179,5.79186,4.24307,8.19519,3.30015,2.89623,4.14305,,7.21078,,2.27715,,3.02024,,7.65793,6.74233,2.40134,,2.39101,4.8059,7.42246,3.15284,15.86347,,4.32507,,4.19164,2.82057,2.89222,7.54601,,5.38735,,5.25872,3.40773,,3.84656,3.50413,3.83502,,7.63689,1.16425,2.59442,3.87853,,3.59434,3.24284,3.304998,,,,2.72058,,4.2454,5.67286,6.92435,4.44087,,4.88109,5.26985,5.06914,,2.46952,3.86492,2.77579,,,3.795,3.54301,5.79006,,,,,5.24007,2.3222,6.3599563,,7.38802,,,,8.13198,3.93932,6.3207965,4.54569,,
2003,,,,5.09588,3.13823,,,3.53505,2.14504,,,5.245258,5.36183,3.28615,,5.891302,2.28316,,2.06939,3.99845,,,,6.310182,3.91565,1.66627,6.629619,,6.2457,,,,1.5398,,5.38401,3.91869,,2.86437,2.82259,,2.83616,,4.32514,,,5.13374,9.94086,,,6.67023,4.11728,4.137968,8.88985,,8.12193,1.84465,,,4.94563,,4.17343,5.2731,,6.16744,,5.762063,,,4.80129,2.0656,,1.62613,1.36338,,,3.42934,3.92674,,6.9559,4.2853,,3.86902,,5.7923,3.218,3.61341,4.20494,4.36322,,7.24508,6.13995,4.54179,4.25685,,3.46663,3.230482,6.49427,4.47542,,,3.79099,,5.2112923,,,,,3.53449,2.46014,,13.21957,5.11418,4.868675,5.05715,2.78017,,,5.42489,2.61095,5.32407,4.83262,11.84414,,3.8056,5.8386154,,,,2.36501,,4.35717,2.20964,7.50288,6.13714,1.93706,,2.42201,5.04042,7.39933,3.11435,,,3.89699,,4.1687,2.9378,2.93518,,,5.32449,,5.28153,3.38276,,3.37394,3.54397,3.67854,,7.10509,,2.75125,3.98194,,3.299,3.13467,3.1327538,,,,3.24693,,4.20957,5.70333,6.79143,5.81677,,5.05177,6.48084,4.72878,,2.35525,3.72561,2.42079,,,4.15951,3.1366,6.81675,,,,,5.40019,2.06821,6.3286095,,8.17489,,,,8.44151,,5.9482794,4.3521,,
2004,4.35699,,,,3.22752,1.54412,,3.48652,2.48673,,,5.1930723,5.30243,3.4477,3.74496,5.629338,2.5669,,1.94014,4.24989,,,,5.71226,4.02665,1.77588,6.8477182,3.97448,6.02428,,6.12312,,1.62453,,5.31429,3.54307,,2.91176,2.7953,,2.28813,,4.07935,,7.47664,4.89063,10.26823,,,6.11772,3.99239,4.0688343,9.26467,,8.20763,,,,4.67072,3.14897,4.15786,4.87675,,6.15758,6.20916,5.549234,,,4.73555,2.9142,7.53558,1.51569,0.62247,,,3.66719,,,5.51294,4.55896,,3.82215,,5.32762,2.74847,3.35254,4.48296,4.29663,,7.16118,5.75348,4.3852,3.91255,,3.42611,2.25591,6.79693,4.62244,1.71982,,3.97135,,5.53507,2.413,2.64095,,,3.43646,2.43333,,11.10901,5.17428,4.9047976,4.83406,2.23349,,1.26668,6.77104,2.81262,4.6616,4.51204,,,3.85922,4.43493,,4.32573,3.19839,1.9508,3.84379,4.25577,,5.92389,,,,,5.06297,7.27744,3.17194,,,4.02836,1.44338,3.57866,2.95787,2.46983,,,5.35558,,5.04638,2.8699,,3.46259,3.31273,3.54787,,6.27747,1.31255,3.07778,3.65276,,3.14693,,2.79384,,,,3.23471,,4.10157,5.64426,6.66311,5.40161,,,5.37148,,1.59295,2.20198,4.03089,2.77203,,,3.91377,,6.72079,,,3.56245,4.95237,5.12376,2.49954,6.253762,,,,,,,,5.554147,4.50898,2.46343,
2005,4.62322,,2.12011,2.95602,3.28155,1.64497,,3.86001,2.71203,,,5.2718763,5.24937,2.97462,3.63216,5.79586,2.65668,3.94114,,4.1088,,,,5.87103,,1.98877,6.7135253,4.47908,5.66965,,6.7642,10.67859,1.65222,4.76588,5.08472,3.28017,2.3919055,2.91944,2.65652,,1.68102,,4.02099,,,,10.55778,,,6.28667,3.86591,4.05373,8.36589,,8.08557,,,,4.79443,,4.14432,4.81027,,6.02507,5.16706,5.5172276,,,4.92977,2.48432,7.42208,1.26815,0.69188,,,3.96396,,,8.13973,4.13463,,5.1895967,,5.32008,2.87282,3.18875,4.51898,4.05651,,7.33844,5.58139,4.2383,4.61642,,3.31494,2.26353,7.33565,4.87384,,,3.83145,,4.73834,2.41409,2.64619,,,4.23896,,,12.07966,4.8784,4.854638,5.2989254,2.27788,,,7.1627,3.30964,5.01684,4.63395,,,3.52218,5.412146,,,3.85834,,,4.02402,,,,,,,5.1094,6.84083,3.36464,,,3.51721,1.67058,,2.83903,2.32807,,,5.42575,,5.07395,,,3.97188,3.50039,3.77193,,5.43092,1.17843,4.06443,3.19596,,2.83727,3.17785,,,,,4.85645,,3.75996,5.60408,6.5064,6.48462,,,,2.541,1.69477,2.23749,3.93859,3.51213,,,,,6.45157,,,3.54747,,5.8482,2.71475,6.1709843,,6.03083,,3.04633,,,,5.1502557,4.5245,1.73553,
2006,,4.6847606,2.28146,,3.19146,2.2449,,4.12821,2.71577,14.71705,,5.16309,5.22652,2.55552,,5.626586,2.5634,3.98219,2.13129,3.90346,2.87441,,,6.07696,,,6.43422,4.8706,,,,,1.41506,,4.84121,3.04015,2.4412844,2.82,2.53991,,,,3.91672,,6.5296,4.61614,9.05717,,,6.33027,4.19551,3.9757974,8.27878,,7.72991,,,,4.00178,2.127,4.18482,5.8558,5.49096,5.92838,5.65532,5.4753103,,,4.97649,3.00365,5.14794,,0.75163,,,3.6477287,,3.03285,3.11891,3.84279,,4.8556046,,5.28974,,3.14285,4.54742,4.28999,,7.19522,5.59219,4.52545,,,3.27668,2.62678,7.04984,5.54986,,,4.05926,,3.75998,2.95879,2.77976,,,4.69669,2.05381,,11.27128,4.82573,4.422732,4.68467,2.19386,,,7.49899,2.83097,4.64524,4.49317,,,,5.46781,,,3.73593,1.95851,4.77655,3.64839,,4.48576,6.03171,2.55852,,,5.04402,6.35822,3.60536,,,3.85934,1.98056,,2.65281,2.42579,,,5.20765,,4.90767,,,,4.30651,3.86626,,5.89117,1.55354,3.82138,2.85912,,,3.49298,,,,,4.27118,,3.7077,5.59066,6.36429,6.55476,,4.48331,5.27965,,,2.43238,4.05038,3.4035,,,,,6.4388,,,3.00992,,5.97946,2.85664,6.164032,,,3.66906,3.5148,,,,5.144416,4.52652,,
2007,4.70255,4.1748953,,,3.27593,2.10469,,4.4626,3.01894,,,4.969669,5.1469,2.54928,,5.518234,2.36331,4.07983,2.20222,3.68034,2.575,,,5.1521,,,6.72049,4.97426,5.22061,,,9.04667,1.31332,4.76641,4.58395,3.23316,2.7007349,3.01614,2.87816,,,,4.08301,,4.95982,4.63451,11.86821,,,6.28083,3.84718,3.8797193,8.40625,,7.6156,2.04679,,,3.68461,,4.25405,4.61991,5.45113,5.67126,5.89472,5.3045287,,,4.92445,2.69687,5.51987,,0.81686,,,3.5914025,,3.08809,2.39117,3.45455,,3.96752,,5.13495,3.04425,,4.71541,4.59681,,6.94433,5.34992,4.10503,5.49022,,3.27934,2.83139,,6.467,1.5993,,4.19381,,,3.07842,2.58357,,,,1.92119,,,4.59521,4.271673,4.63329,2.04345,,,8.29337,2.90274,4.41788,4.47922,,,,5.9475,,4.69013,,,5.32808,3.1854,,4.37254,,3.01462,,,4.88683,6.50671,3.51721,4.24615,,,2.23466,,2.6294,2.48518,,,4.86874,,4.92147,2.73951,,,4.14954,,3.98503,,,,2.94675,7.33327,2.59678,3.60985,,,4.20984,,6.28683,,3.52321,5.11661,6.17159,,,4.0665827,4.86471,,,2.48604,3.60315,3.41327,,,,,6.46452,,,4.03342,,5.90244,,6.243322,,5.43937,3.62732,3.04367,,,,5.8287826,4.44667,1.24076,
2008,4.8273,4.383672,,2.83038,3.509226,2.87393,,4.84441,3.17273,,,4.9018235,5.26396,2.44093,5.1929,6.33294,2.77728,,2.05457,4.21909,2.49678,,,5.7132154,4.31992,,6.72302,5.26884,4.92074,,4.56951,,1.29001,4.62612,4.75726,3.7919,3.6317883,3.09853,2.49827,,,,3.93878,4.42265,5.03465,4.88697,14.05908,,,6.72276,3.72719,4.54924,,,7.47605,,4.11142,,3.76083,,4.52806,5.48404,5.4082,5.8301,4.25357,5.3872757,,,4.90974,2.91955,5.75796,1.58112,2.1813,,,3.772877,,3.23686,,3.26063,,4.27542,,4.96764,2.9019,,5.45828,3.91376,,7.03602,5.42435,4.38795,6.19132,,3.27242,2.58946,,5.91319,,,,,,2.27855,2.01479,1.70166,,4.48353,2.04837,,12.32874,4.8399,4.3269114,5.36645,2.19641,4.85339,,8.23727,2.55434,4.47029,4.60609,,,3.40356,5.50121,,,,,5.24605,3.06307,,3.95852,6.40343,2.72312,,,5.02905,6.24916,3.80517,,,,2.27264,3.50229,2.86775,2.58283,,,5.0424,,4.69609,,,4.22755,4.0972,4.10175,3.50216,5.13781,1.8515,4.02568,2.7646,6.89515,2.46589,4.45811,,,4.2809443,,5.55449,,3.52165,5.10952,6.34455,6.61812,,,4.59525,,,2.38472,3.5085,3.45983,,8.67015,,,6.27157,3.3205578,,4.18591,,6.15242,,6.4360843,,,,,4.88674,5.95151,5.11659,5.15143,4.37425,1.09972,
