Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1976,,,,,,,,1.16564,,,,,5.23766,,,5.73104,,,,,,,,,,,,,5.9448,1.97008,,6.06396,,6.69842,4.47361,,1.81657,6.46212,,,,,,,,,,,,3.8197,,,,,,,,,4.94343,,1.89939,,,5.22833,,4.42471,,,6.42422,,5.82883,,,,,1.44825,,1.62729,,2.43336,,,,3.53689,,,4.29649,,,,5.68639,3.91952,5.85833,3.53456,4.74778,,5.7441,,,,,2.75457,3.11508,,,,4.63651,,,,,,3.61463,,,6.02712,,,3.25501,,,,,,3.83189,1.72619,,,,,,,,,,,,6.31229,6.1636,,,5.45474,,2.23794,4.31273,,,,,,7.14049,3.07873,,,1.74697,,,,,,,2.69239,,,,,,,,,,,,,3.71435,,4.74596,5.83146,,,,3.01672,,,,,,,,,,2.67659,,,,,,,,,,,,,6.02694,
1977,,,,,,,,1.71984,,,,,4.95401,,,5.98883,,,,,,,,,,,,,6.51716,,,5.40031,,6.71092,4.49637,,1.74954,,,,,,,,,,,,,3.38549,,,,,5.67212,,,2.41884,4.54958,,2.07717,,2.15986,,,4.43521,,,6.06335,,6.09528,,,,,1.49373,,,7.08873,2.21924,,,,3.6053,,,5.08532,5.41626,3.85705,,5.58702,,6.02652,3.6799,4.73745,,5.13632,,,,,2.42642,3.36867,,,,4.12383,,,,,,3.6938,,,6.08425,,,5.05395,,,,,,3.89761,1.63782,,,,,4.3819,,,,,,,6.18251,5.97281,,,4.45267,,2.14983,4.28096,,,,7.38971,,6.38757,,,,1.97006,,,2.15021,,,,2.4508,,,,,,,,,,,,,3.9443,,,5.71442,,,,3.21512,,,,,,,,,,,,,,,,5.25666,,,,,,,5.69251,
1978,,,,,,,,1.93555,,,,6.00085,5.15979,,,5.43634,,1.67983,,,,,,,,,,,,2.11424,2.51002,5.95214,3.17053,7.07383,4.37052,3.07045,1.95884,6.75367,,,8.41331,,,,,,,,,3.31234,,,,,5.75347,,,,4.94112,,2.23073,,1.93494,,,4.34511,,,,,,,,,,1.6857,,,,2.32255,2.01905,,,3.72723,,,5.06761,,,,6.33381,3.78036,,3.68163,4.79044,,,,,,,,4.08185,,,6.99484,,,,,,,4.33933,,,6.20183,,,,,,,,3.55959,3.34883,1.64366,,,,,5.49202,,,,,,,6.18442,6.44438,,,4.53253,,2.20418,3.60598,,,,,,6.68103,2.90048,,,2.77697,,,2.23247,,,,2.291,,,,,,,,,,,,,5.79652,,,5.51426,,,,,,,,,,,4.34774,,,,,,,,,,,,,,,,4.74075,
1979,,,,,,,,2.40028,,,,5.88913,5.03816,,2.80336,5.38035,,,1.13093,,,,,,,,,,,1.54552,3.47624,6.14173,,6.6922,4.3477,3.48237,2.14805,8.23139,,,7.03814,,1.75434,,,,,,,3.35313,,,,,5.58649,,7.18201,,,,2.33805,,2.00423,4.79691,5.19761,4.28116,,,,,2.31135,,,,,,,,9.37787,,2.01299,,,3.70743,,,5.28813,,,,6.41399,4.16373,,5.08173,4.95001,,,,,,,3.01883,3.42856,,,,,,,2.56743,,,4.40278,,,6.31548,,,3.97033,,,,,,3.15364,,,,,,,,5.08761,,,,,6.09033,,,,4.46766,,2.19807,3.64255,,,,,,,2.6993,,,,,,2.44128,,,,2.24925,,,,,,,,,,,,6.37238,6.36428,,,4.96617,,,4.7296,2.84529,,,,,,,2.9152,,,,,1.98713,,,,,,,,,,,4.15494,2.31784
1980,,,,,,,,2.60715,,,,5.64627,5.00897,,,5.31064,,1.9618,0.9376,3.52948,,,,,,,,,,1.19108,,5.46932,,6.46289,4.23401,4.22,1.9119,6.85976,,2.26731,6.35924,,1.72912,,,7.34717,8.36909,,,3.42601,,4.7,,,5.91093,,6.59742,,4.28032,,2.6,,1.8162,4.82575,,4.30769,,,5.07012,,2.70777,,,,,,,,,2.19214,1.93636,,,4.30395,,,5.32221,,2.42379,,6.83983,4.4,,,4.96105,,5.38788,,,,,3.45874,2.79102,,,6.25906,,,,2.70417,,,4.55202,,,5.10486,,,3.35711,,,,,3.47066,,,,,,,,,5.72619,,,,,5.8928,5.78015,,,4.23265,,2.13095,3.53567,,1.51272,,,,,3.06743,,,,,,2.66633,,,,2.55967,,,,,,,,,,,,6.53705,5.2972,,,4.57553,,,,2.57454,,,,,3.76808,5.23516,,,2.62532,,,2.15951,,,,4.40072,,,,,,,4.12671,2.54418
1981,,,,,,,,,,,,,5.36781,,3.34676,5.43532,,,1.0715,,,,,,,,,,,1.61678,,,,6.40902,4.19692,4.9143,1.94881,,,2.53505,,,2.59724,,,,,,,3.79132,,,,,,,,,,,,,1.85807,4.83336,5.82121,4.73072,,,5.28842,,1.80812,,,,,1.6928,,,,2.27173,,,1.39374,4.43302,,,5.73202,7.1314,,,6.78709,,,5.16768,4.95682,,5.92373,,,,,2.89863,2.71914,,,,,,,2.44221,,,4.68798,,,5.68926,,,2.87991,,,,,3.44794,2.86533,,,,,,4.98684,,6.69697,,,,,5.74937,5.54364,,,4.44055,,1.97245,3.4318,,,,,,,3.18575,,,,,,4.39297,3.89025,,,2.58366,,,,,,,,,,,,6.7812,6.58383,,,5.38392,,,4.16519,2.88314,,,,,,4.88936,2.2083,,,,,,,,,5.18744,,,,,,,4.00072,3.35154
1982,,,,,,,,1.59787,,,,5.47198,5.36299,,,5.31673,,,1.01164,,,,,,,,,,,1.69715,,,,6.49725,4.26317,,2.03448,,2.98497,2.79982,,,,,,4.88507,,,,3.73178,,,,,,1.53891,,,5.6083,,,,2.06093,4.77929,,4.85203,,,5.1887,,1.90454,,,,,1.68684,,,,1.66983,,,1.07954,4.43565,,,5.38953,5.80205,,,6.37712,,,5.08854,4.93976,,5.67812,,,,,6.32967,3.03351,,,,,5.53879,,2.5585,,,5.27562,,,6.12268,,,2.32179,,,,,3.27885,2.85408,,,,,,4.54262,,7.03278,,,,,5.69501,5.67885,,,4.5327,,2.01367,3.41851,,1.82588,,,,,3.3291,,,,,,,4.14255,,,3.26776,,,,,,,,,,,,,6.75364,,,5.89761,,,,3.27388,,,,,5.4574,5.28605,1.75491,,,2.51552,,,,,,5.00895,,,,,,,5.15487,
1983,,,,,,,,1.6175,,,,5.36459,5.30378,,,,,1.75448,1.03267,,,,,,,,,,,,,5.55227,,6.85547,4.36718,,2.07692,,3.49689,1.29945,,,,,,4.95778,,,,,,,,,,1.46383,,,5.22149,,,,2.24603,4.85561,6.48669,4.85234,,,5.0615,,,,,,,1.68868,,,8.25347,2.5786,,,1.02221,5.2067,,,5.44654,4.18053,,,6.71024,4.48806,,4.92796,4.72346,,5.4383,,,,,4.31538,5.09027,,,,,,,2.39061,10.09694,,3.31967,,,6.17467,,,1.98901,,,,,,3.31469,,,,,,4.39456,,,,,,,5.50079,5.6463,,,,,1.99577,3.55091,,1.48303,,,,,3.23281,,,,,,,5.97797,,,3.94772,,,,,,,,,,,,,,,,,,,,3.46387,,,,,5.7666,5.45763,2.6476,,,1.68909,,,,,,6.05982,,,,,,,5.38802,4.14548
1984,,,,,,,,2.56972,,,,,5.29447,,,,,,1.22303,,,,,,,,,,,,,5.55166,,6.61841,4.22712,,1.99863,,3.24637,0.70414,,,3.00429,,,,,,,3.60191,,,,,,1.33455,,4.20342,,,,,2.06062,4.69892,,4.86754,,,4.89906,,,0.33494,,,,1.81003,,,7.22748,2.58169,,,0.98619,4.77393,,,5.2817,3.80161,,,6.6991,4.77457,,5.93695,,,4.58096,,,,,4.00532,5.14888,,,,,,,2.16526,6.42841,,,,,5.19013,,,2.20452,,,,,,3.07872,,,,,,4.03252,,5.6663,,,,,5.09011,5.42937,,,4.04568,,2.06985,3.46871,,,,,,,3.14254,,,,,,,6.10957,,,,,,,,,,,,,,,,,,11.30569,6.13389,,,3.81927,3.43722,,,,10.34651,5.87391,5.51745,2.02923,,,2.42836,,2.37339,,,,4.06373,,,,,,,4.98856,5.7915
1985,,,4.09022,,,,,1.36186,,,,5.39764,5.29721,,,,,1.76396,1.27118,,,,,,,3.03449,,,,,,5.65072,,6.18943,4.17463,,2.00814,,,0.8257,,6.70079,2.71527,,,,,,,3.58696,,,,,,1.21019,,5.23335,,,,,2.28066,5.04542,,4.85157,,,4.59409,,,,4.29515,,,,,,,2.55897,,,0.96929,4.54768,,,5.24837,3.46019,,,7.67375,4.68981,5.3919,,,,5.19977,,,,3.96503,3.98645,5.00762,,,,,,,2.57614,7.08858,,,,,5.10217,,,2.07146,,,,,,3.24834,,,,,,3.91044,,6.11111,,,,,5.47288,5.25567,,,3.5463,,2.43543,3.52146,,,,,,,3.26249,1.39585,,,,,,,,,,,,,,,,,,,,,,,,9.61779,6.07005,,,,,,,,,5.76775,5.53972,1.73811,,,3.43196,,2.56679,,,,,,,,,,,4.14584,7.41926
