Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,3.977,,-3.45,-10.0,,23.562,-1.338,,3.012,1.494,4.346,,3.458,3.137,8.976,-0.603,5.941,-9.1,3.503,1.052,,,11.209,4.636,-4.168,-3.3,1.089,9.098,8.787,1.364,0.203,3.713,3.671,3.888,-1.09,-6.161,-6.568,1.003,4.282,7.339,0.692,3.6,7.402,,5.723,,5.419,1.665,-5.454,0.8,3.008,2.35,,3.847,,2.602,0.211,5.802,2.793,,5.147,0.561,,3.595,4.324,5.696,4.58,2.537,,4.241,3.101,-3.01,3.831,2.792,,-0.44,-3.497,9.002,5.534,7.711,13.595,,1.169,6.633,2.052,4.875,-1.604,4.841,,4.134,,1.118,-6.385,5.454,10.025,-26.229,6.686,-13.421,,3.72,9.89,6.174,6.429,,5.32,,,4.035,,3.129,-4.049,5.25,,,9.31,,,,-2.486,1.0,,7.187,5.692,9.007,,-1.308,,-0.132,4.178,1.932,4.635,,0.021,8.378,,4.589,8.099,-5.09,3.037,,-3.132,-7.171,3.781,7.859,4.12,,-14.644,-5.612,,0.419,9.426,0.838,-0.676,9.821,2.2,1.611,4.831,,,,,-2.153,-1.5,,,0.751,9.859,7.455,10.358,3.202,5.897,11.623,,,,4.7,1.509,7.075,9.255,,5.541,7.045,6.497,,0.297,1.886,,4.149,6.468,5.047,11.697,-6.444,,-0.318,-0.579,
1991,7.975,,12.084,-28.0,,2.176,10.498,,2.177,-0.982,3.442,,5.781,1.833,4.226,9.07,3.339,-10.755,2.286,-4.182,,,11.781,5.267,1.031,-3.9,3.146,4.896,6.237,-0.799,-2.091,-0.929,7.804,10.203,0.04,-3.764,-8.445,3.402,2.372,-6.167,1.404,2.263,0.74,,5.011,,1.346,1.457,0.945,-1.2,5.113,2.1,,2.525,,-7.218,-5.88,-2.7,1.292,,6.124,-1.405,,4.774,2.497,2.163,7.305,-1.245,3.102,1.423,3.0,6.026,5.702,-3.319,,1.262,-11.892,8.928,1.057,1.642,12.716,,-0.224,4.618,1.435,0.834,-5.65,3.523,,1.339,,7.592,-5.649,2.27,10.875,-41.008,3.999,38.2,,18.32,0.376,10.821,7.55,,8.645,,,7.547,,-6.306,6.896,3.976,,,7.68,,,,-9.199,6.552,,4.435,8.73,9.547,5.343,-0.44,-0.552,-0.154,2.451,3.084,6.366,,-1.323,6.044,,5.127,9.418,2.219,-0.436,,9.568,-7.005,2.304,3.37,3.49,,-1.524,-12.927,,-4.3,8.221,7.024,2.556,6.688,6.0,-7.993,1.498,,,,,1.201,-13.799,,,-1.103,1.76,2.76,10.727,10.402,-0.59,8.403,,,,5.9,3.112,4.138,0.926,,8.372,2.072,1.778,,3.539,-0.109,,1.136,9.73,5.809,3.147,-2.443,6.293,-1.018,-0.666,
1992,5.875,,11.403,-7.2,,3.144,10.299,,1.159,2.591,2.094,,1.007,1.531,2.958,0.233,5.04,-8.426,7.123,-3.826,,,12.731,1.646,-0.467,-5.7,4.759,2.083,-0.208,-4.923,0.89,-0.145,11.167,14.277,-0.25,-3.05,-10.462,4.181,4.353,7.358,3.044,9.201,9.365,,2.015,0.562,2.03,2.024,11.237,1.6,3.614,0.3,,0.851,,-8.907,-3.312,6.1,1.408,,-3.087,0.245,,4.473,3.273,1.763,3.095,33.002,0.697,-0.813,4.6,7.758,6.235,6.074,,-2.251,-3.064,6.523,5.483,3.579,3.298,,-3.374,7.155,0.834,2.778,16.856,0.901,,-1.08,,7.069,23.959,3.077,6.352,82.809,6.999,4.495,,-4.545,7.952,-3.135,6.058,,1.819,,,-2.908,,1.181,6.467,3.569,,,-1.562,,,,-9.256,-7.576,1.772,6.513,-7.333,8.886,9.27,2.001,2.193,0.4,1.589,3.574,4.108,,0.705,8.492,,7.569,8.203,-0.541,0.418,,13.827,2.033,4.564,3.13,1.696,,10.424,-8.766,,6.6,4.581,5.541,1.243,6.64,12.7,-9.646,7.021,,,,,0.7,3.9,,,-0.936,3.227,7.173,13.246,2.392,-3.207,9.23,,,,-3.8,10.093,8.009,5.984,,8.311,0.584,5.85,,7.932,3.522,,6.378,6.06,8.7,2.584,4.135,8.208,-2.137,2.052,
1993,7.304,,10.969,9.6,,0.262,6.251,-14.054,5.28,3.921,0.527,-23.098,-6.236,-0.962,5.836,3.461,4.574,-11.625,7.604,0.308,,-7.6,6.138,4.269,4.665,0.8,0.305,3.192,4.027,-1.198,2.658,-0.144,6.589,13.936,-0.18,-3.158,-13.468,1.316,5.71,2.547,7.311,7.097,0.701,,-0.981,-6.751,2.162,-0.08,7.367,-2.102,2.0,2.9,12.882,-1.314,,13.363,-0.781,2.6,-0.425,,3.947,2.259,,4.772,5.048,3.833,2.276,10.461,-1.599,-1.956,3.4,8.201,6.201,6.496,-8.0,-4.922,-0.576,7.956,4.751,2.314,-1.471,,1.313,3.771,-0.853,2.211,4.36,-0.459,-9.2,-0.095,-13.005,4.042,-0.104,5.418,6.995,35.132,5.867,7.0,,-5.468,0.583,7.477,3.982,,4.201,-11.4,,-1.003,-1.2,2.1,5.417,2.867,,-7.5,3.561,,,,-3.169,10.941,5.874,5.082,9.692,9.896,-1.62,0.323,1.569,-0.4,1.264,2.845,3.847,,5.225,6.144,,2.097,5.456,5.244,2.182,,13.334,4.287,4.645,-0.687,4.936,,-0.891,1.528,-8.7,-10.378,0.38,2.75,1.311,11.46,4.0,0.054,5.817,,,,,1.1,-2.2,,2.8,-1.206,3.106,7.303,7.409,-2.074,-16.319,8.676,-11.099,-10.0,,-0.1,-0.669,2.477,8.042,,6.815,1.206,6.686,-14.2,2.658,2.752,-2.3,4.251,0.275,8.078,0.736,1.683,4.002,1.234,-0.077,
1994,8.207,,10.511,9.4,,7.449,5.83,5.4,6.676,4.875,2.402,-19.673,-3.829,3.227,2.02,1.315,4.085,-3.665,3.212,3.149,,-11.7,-0.02,4.667,5.334,2.0,3.145,2.232,-0.786,12.572,4.494,1.301,5.03,13.102,0.171,-2.495,-6.144,-1.401,5.147,-3.987,6.93,4.519,5.899,,2.598,-1.36,0.034,5.292,2.594,-0.9,4.258,4.188,20.918,2.335,-1.642,3.486,3.963,5.1,2.403,,3.713,3.409,,3.508,4.001,-3.398,2.963,16.808,2.0,1.838,3.5,8.482,6.036,0.212,5.9,-11.603,2.947,7.54,6.659,5.894,-1.698,,3.609,7.011,2.151,1.875,5.002,1.083,-12.58,2.531,-19.807,8.181,2.045,5.404,9.372,8.616,8.16,8.03,,3.219,1.599,8.036,5.202,,3.821,2.2,,11.494,-30.9,-0.042,7.505,4.394,,-1.8,3.802,,,,2.134,6.44,-3.061,4.136,-10.313,9.211,3.005,1.858,0.257,5.0,3.009,5.055,8.219,,5.582,3.845,,4.369,2.849,12.308,4.374,,10.492,5.239,4.186,1.489,5.318,,1.929,3.932,-12.7,-41.89,0.953,3.514,-0.228,11.096,8.1,3.5,4.692,,,,,2.2,-7.0,6.206,5.3,4.016,2.401,-2.437,5.534,5.494,13.93,7.997,-21.401,-17.3,,1.979,3.567,3.628,-5.456,,7.504,1.567,7.694,-22.9,7.281,4.029,-5.2,-1.248,-2.349,8.834,9.079,6.39,6.722,3.2,-13.309,
1995,2.5,,10.364,8.9,,6.629,-2.845,8.033,-4.36,2.951,2.668,-13.027,-7.919,2.385,6.045,5.716,4.925,-1.601,1.923,4.379,,-11.084,0.733,4.678,4.417,2.023,4.479,6.019,8.453,3.166,2.682,0.593,8.933,11.016,5.572,3.304,2.762,3.965,5.202,5.638,7.492,4.154,9.924,,1.512,-3.481,3.03,3.039,5.7,3.848,2.253,4.484,2.325,4.122,2.155,6.121,4.233,2.6,2.457,,4.974,2.386,2.6,4.233,4.68,3.32,4.016,26.51,2.1,2.196,4.4,5.055,2.374,6.189,6.634,9.892,2.541,8.22,7.574,9.593,2.401,,0.117,9.654,2.887,2.521,5.951,2.631,-8.2,4.287,-5.424,5.979,2.752,3.462,9.736,1.669,7.045,6.493,,-15.431,1.749,6.051,4.067,,1.432,-2.084,,-6.328,-1.428,1.679,7.377,-5.91,,-1.1,2.997,,,,6.376,2.123,9.82,4.288,13.83,9.83,4.115,2.454,1.872,5.912,3.132,4.156,3.468,,4.893,4.831,,5.062,1.752,7.411,4.625,,-3.446,6.728,4.549,2.307,6.823,7.118,0.361,7.138,-4.1,24.541,0.312,8.86,6.093,7.175,10.089,-10.025,4.733,,,,,2.0,11.3,7.872,4.1,4.094,4.826,0.485,5.423,-0.775,19.691,8.12,-12.498,-7.2,,7.93,3.81,2.671,7.19,,6.499,3.571,9.174,-12.2,-1.448,2.685,-0.9,7.767,3.952,9.54,1.005,6.556,5.669,3.1,2.898,
1996,1.257,,11.208,9.1,,5.399,5.527,5.169,6.605,3.973,2.398,2.531,-8.001,1.321,4.324,11.015,4.622,5.205,3.25,4.224,,2.776,1.106,4.361,2.209,3.966,2.878,5.971,2.466,-6.157,1.689,0.439,4.985,9.968,8.136,4.912,-1.935,3.495,2.056,-0.51,6.694,1.35,1.247,4.525,1.028,-3.732,3.105,2.9,5.961,3.8,1.732,4.879,9.136,2.421,4.943,13.533,3.662,4.8,1.347,-3.35,3.625,2.582,10.5,4.765,4.462,2.906,3.747,52.678,1.382,4.386,2.8,7.956,4.258,1.871,5.874,4.143,0.101,7.818,7.55,9.092,6.351,,4.567,5.91,1.525,0.236,1.913,3.134,0.5,4.479,7.085,5.898,-0.052,5.897,7.99,0.598,6.892,4.038,,1.759,2.922,12.162,4.767,5.239,1.515,2.3,,13.46,-5.9,2.154,9.084,6.218,,1.2,7.281,,,,2.235,10.696,5.819,5.588,9.979,10.002,3.196,0.1,4.052,6.344,3.416,5.028,5.338,,4.075,2.889,,6.599,7.371,2.799,5.86,,6.599,6.239,2.314,3.504,1.574,1.215,4.229,3.948,-3.581,11.596,3.305,5.465,1.874,7.471,1.61,-24.787,0.816,,,,,1.5,11.2,6.941,2.914,1.705,3.842,9.998,2.966,2.115,-3.871,5.652,-4.368,-6.7,,0.09,7.134,6.855,7.007,,6.177,4.544,6.595,-10.0,5.578,3.773,1.7,1.288,-0.198,9.34,2.328,7.274,4.635,4.3,6.219,
1997,7.018,,7.274,-10.924,,8.567,8.111,3.387,5.471,4.713,2.146,8.884,0.413,3.793,5.735,6.317,4.49,-14.115,2.348,4.946,22.853,11.434,4.235,4.954,3.395,4.74,-1.471,5.544,7.106,4.105,4.28,2.235,7.392,9.319,5.723,5.314,-7.84,-1.004,3.43,4.41,7.639,5.476,2.641,-0.596,1.858,-1.216,2.185,3.166,8.9,1.1,4.328,5.919,7.9,3.865,13.05,2.84,6.398,-2.4,2.515,-6.249,5.738,4.925,10.327,5.797,5.182,1.417,5.994,147.973,3.603,4.916,4.1,6.185,5.1,4.598,6.645,2.705,2.978,4.7,4.05,10.747,1.35,,5.772,3.702,1.926,-1.641,3.741,0.981,1.7,0.411,9.915,4.007,1.177,7.327,6.282,2.493,6.907,10.19,,-2.635,-0.694,10.291,3.269,8.35,5.937,9.171,,-2.012,1.6,3.693,10.405,7.199,,1.351,4.797,,,,3.897,11.815,-4.045,5.687,6.587,7.327,4.216,1.527,2.886,3.967,4.246,5.285,5.261,,2.449,6.178,,1.703,6.48,6.476,5.186,,-6.343,7.086,4.88,4.401,4.243,14.668,27.745,-6.053,1.376,14.9,2.647,6.057,2.717,8.316,-0.914,-17.596,3.136,,,,,0.996,7.0,4.445,5.172,3.065,3.103,12.194,-1.09,5.653,3.803,-2.754,1.7,-11.3,,-0.636,7.523,5.725,7.528,,6.051,3.525,4.62,-3.0,5.496,4.447,5.2,3.505,6.371,8.152,4.907,0.803,5.231,2.6,3.814,
1998,1.989,,4.691,8.829,,0.878,3.85,6.271,4.731,4.671,3.493,6.007,4.752,1.962,3.961,7.308,5.177,3.789,4.849,4.716,13.814,8.442,3.89,5.029,0.338,3.74,-0.559,6.009,-1.622,3.34,3.893,2.936,4.181,7.934,4.931,4.895,-3.875,8.95,0.57,0.025,8.413,7.155,6.111,-0.393,2.103,0.114,3.774,2.324,6.706,5.1,3.267,7.543,1.966,4.469,4.34,-4.185,5.454,1.3,3.466,2.923,3.478,3.403,3.02,5.01,3.644,6.5,-22.446,24.815,3.437,11.808,4.6,-1.707,-5.883,3.59,1.862,2.182,3.848,-13.127,6.184,8.765,2.08,,7.363,4.036,1.804,-1.21,3.206,-1.27,-1.9,2.983,2.122,4.682,4.442,1.024,-4.939,3.654,4.279,3.9,,-0.676,6.286,-1.646,1.333,7.673,6.492,6.55,,7.979,-6.5,3.917,9.789,6.185,-0.641,3.381,2.926,,,,3.34,10.369,2.778,6.072,1.061,-7.359,3.291,9.975,2.496,3.712,4.654,2.669,2.943,,0.407,2.704,,3.494,7.332,-0.392,-0.514,,4.682,4.982,6.518,4.808,0.068,14.334,10.253,-4.818,-5.319,8.34,2.804,8.242,5.972,-2.191,1.292,-0.837,2.652,7.52,,,,2.5,2.2,3.826,3.064,4.246,2.604,2.467,5.554,6.952,-2.263,-7.634,5.3,6.7,,2.306,8.125,4.963,3.092,,4.205,3.708,6.074,-1.9,4.519,4.483,4.3,4.09,0.294,5.765,1.176,1.1,6.007,0.5,-0.386,
1999,1.371,,2.181,12.891,,3.83,-3.385,3.17,3.708,4.437,3.762,11.396,1.164,3.543,4.358,7.333,4.67,-8.396,5.972,7.144,10.75,3.354,9.425,0.427,0.468,0.326,3.052,7.087,8.035,2.887,5.141,1.628,-0.274,7.757,1.618,4.062,-3.802,-3.678,-4.204,2.698,11.86,4.215,4.999,1.378,2.127,2.919,0.355,2.971,5.957,3.2,-4.739,6.11,0.187,4.745,-0.425,6.294,4.389,8.7,3.261,1.113,-8.943,3.058,2.898,4.529,3.812,6.399,16.815,26.395,2.659,6.981,3.7,2.986,2.507,-0.736,-0.936,2.71,3.086,0.791,8.846,10.53,2.003,,4.035,3.337,1.678,0.981,3.237,-0.334,2.7,2.199,3.656,12.705,-3.914,3.943,11.617,-1.789,4.028,-0.8,,-0.189,2.67,2.879,1.438,-1.087,8.421,2.818,,0.529,-3.4,4.699,7.232,2.755,-1.312,4.348,6.245,,8.432,,3.07,11.817,3.673,2.611,3.541,6.131,3.366,-0.222,0.522,7.036,5.038,2.072,4.483,,4.486,0.298,,4.182,3.878,1.495,3.346,,1.856,4.524,4.413,3.907,-1.366,8.281,3.767,-1.15,6.347,3.308,-0.633,4.235,5.978,5.718,-0.486,-8.122,2.164,8.998,,-10.326,,2.5,-0.9,-0.473,5.268,4.201,2.951,1.872,-3.121,-0.683,2.54,4.572,3.699,16.499,,2.296,8.025,6.017,-3.263,,6.732,4.84,7.953,-0.2,-1.939,4.788,4.3,2.71,-5.97,4.774,0.337,-0.636,3.776,2.4,4.65,-1.111
2000,7.684,,3.055,6.946,,12.322,-0.789,5.853,6.204,3.099,3.19,6.227,1.781,3.717,5.858,1.888,5.293,4.587,7.018,4.149,4.442,5.76,12.24,2.508,4.388,4.453,2.849,6.934,4.271,-3.581,5.139,4.111,4.972,8.572,-2.068,3.363,-8.136,11.752,2.925,-1.007,7.267,3.869,5.965,4.011,2.881,0.713,2.34,3.72,4.652,3.8,1.092,5.383,-12.355,5.053,10.088,9.838,5.754,-1.7,4.364,4.306,-1.883,4.342,1.865,3.596,2.503,5.525,1.1,110.505,4.138,5.063,2.5,-1.345,7.663,7.291,3.749,0.87,4.409,4.979,3.841,9.403,5.846,,4.985,8.609,3.882,0.776,4.2,2.765,9.8,0.347,5.443,10.712,6.743,9.714,9.202,4.69,6.429,1.1,,4.042,0.049,8.418,3.953,3.361,8.442,5.841,,1.593,2.1,4.457,4.737,5.029,2.653,4.539,-0.061,,12.418,,1.146,0.766,-3.918,8.192,0.775,8.671,3.497,-1.209,5.518,4.102,4.228,3.319,6.116,,4.215,6.193,,3.908,2.737,2.695,4.383,,-2.494,4.26,3.272,3.816,-2.314,-8.556,6.946,2.921,10.054,8.374,4.718,8.385,3.887,9.038,-14.277,3.807,1.126,2.203,,6.055,,0.448,-0.1,0.789,3.498,4.631,1.76,4.253,2.295,-0.88,-0.97,4.455,8.3,18.587,,3.766,6.901,4.3,6.933,,6.314,4.934,3.941,5.9,-1.93,4.078,3.8,1.639,3.687,6.787,5.925,5.093,6.182,4.2,3.897,-4.231
2001,4.182,,4.206,8.293,8.119,1.399,-4.409,9.468,-4.548,2.601,1.317,6.486,1.665,1.1,5.333,6.613,5.077,3.824,2.491,2.626,7.539,4.735,4.994,1.684,1.39,-2.367,2.744,7.04,2.348,2.609,1.875,1.613,3.154,8.319,0.121,3.356,-2.1,-4.823,1.678,5.42,6.138,3.491,3.952,2.917,1.633,1.793,-0.063,0.954,2.469,3.0,4.206,3.524,8.755,3.919,5.881,7.4,2.64,1.9,1.846,2.094,2.15,2.573,4.769,3.828,3.658,5.753,4.786,60.023,4.65,-2.024,3.104,2.26,0.561,2.723,3.108,-0.343,4.062,3.643,4.824,5.306,2.392,1.767,4.013,0.276,2.006,1.281,4.987,0.386,13.499,3.979,5.322,7.39,-3.144,5.309,4.726,0.213,4.772,3.9,2.758,2.626,-3.409,-1.948,3.296,6.635,3.074,6.461,,7.552,6.1,5.98,1.45,-0.451,7.144,-3.067,15.376,-0.756,12.468,1.1,4.639,12.852,-0.799,3.214,-4.076,0.518,2.393,7.269,6.667,2.961,2.328,2.067,5.629,,2.521,4.613,4.553,3.638,0.558,0.617,3.049,7.346,-0.123,1.205,9.468,1.944,-0.834,-9.311,4.5,5.218,5.082,8.486,0.345,10.867,4.311,-1.071,-7.957,18.17,0.877,5.539,,6.779,,2.4,4.902,2.925,2.829,1.361,1.055,-2.271,3.68,11.658,0.82,3.444,10.2,20.391,16.348,1.46,3.698,3.796,-5.75,0.695,-1.402,5.998,8.765,8.8,-3.844,0.956,4.2,1.634,3.394,6.895,-3.398,7.39,3.804,2.7,5.317,-0.454
2002,-0.945,,13.666,4.537,4.546,2.433,-10.894,14.807,1.027,4.159,1.484,9.439,2.353,1.707,4.643,4.353,3.833,5.872,3.349,2.705,5.027,5.058,5.397,2.486,3.053,0.791,3.872,9.516,7.434,2.091,2.999,-0.054,3.203,9.214,-1.668,4.847,2.948,0.985,2.504,4.598,5.3,3.417,3.723,1.513,-0.229,3.234,-2.829,0.454,4.487,5.394,4.928,3.186,3.005,2.761,6.933,1.6,1.687,3.2,1.12,0.26,-0.249,1.796,5.487,4.617,5.165,-3.247,3.654,19.621,4.683,3.438,3.839,1.149,1.657,3.754,5.804,1.052,4.73,4.499,3.804,5.9,8.079,-8.204,0.56,-0.09,0.27,0.675,6.584,0.042,9.799,0.481,-0.017,6.265,1.447,1.37,7.744,3.014,6.809,3.4,4.431,-3.727,0.417,3.727,2.419,6.531,3.225,7.665,8.91,3.316,7.8,-12.408,6.098,-0.237,3.535,1.493,3.106,2.74,9.928,1.9,5.267,9.668,1.381,1.627,1.76,5.391,6.68,4.92,14.604,0.754,0.246,1.378,0.12,,4.704,-0.784,-0.441,2.623,2.247,5.454,3.716,4.715,-0.159,1.443,2.17,0.771,-0.021,-12.488,6.873,5.703,4.746,13.174,-0.688,5.941,0.069,3.923,-2.8,26.425,1.577,0.315,,6.541,,2.377,3.747,4.417,3.283,2.278,4.38,1.213,5.897,8.491,3.83,6.149,9.1,15.768,-6.701,4.495,7.152,1.323,6.448,8.317,5.484,7.164,7.057,5.3,-7.732,1.7,4.0,4.936,-8.856,7.08,-5.198,5.652,3.935,3.7,4.506,-7.704
2003,1.111,8.692,3.49,5.529,8.694,8.801,8.955,14.052,6.077,3.016,1.142,10.208,2.469,1.038,3.444,7.802,4.74,5.237,6.296,-1.265,3.867,7.053,9.667,2.711,1.141,2.171,2.904,9.049,5.388,-2.249,1.806,-0.109,4.723,10.121,-1.36,4.994,6.633,0.459,3.918,1.934,7.502,4.317,2.624,3.301,-0.536,3.186,6.353,0.441,-1.349,6.503,2.885,3.193,-2.656,2.937,7.596,-2.1,2.012,0.8,0.994,1.551,2.247,3.152,11.228,5.112,1.249,6.874,-0.286,14.455,5.797,9.464,2.56,-0.652,3.056,4.547,5.568,3.481,3.939,4.78,7.86,3.014,8.639,-36.657,2.143,1.461,0.067,3.667,3.98,1.535,9.3,2.949,7.03,10.284,-1.575,-3.936,3.075,17.326,6.179,1.7,-28.974,16.145,4.264,5.94,4.245,10.532,2.62,8.429,11.641,6.317,6.6,9.785,14.153,1.186,-1.612,2.223,9.119,3.694,13.196,2.5,7.357,7.218,6.928,5.984,5.706,5.789,3.477,2.184,9.503,2.521,0.098,0.945,3.945,,4.427,-2.195,2.555,5.167,4.226,4.165,5.087,-2.128,9.046,3.523,2.341,-0.931,4.321,14.016,3.987,2.341,7.356,2.219,8.769,6.289,5.594,4.548,6.523,10.304,1.565,3.9,,4.56,,6.573,6.19,4.857,3.195,1.881,3.88,-5.887,-2.037,14.722,6.72,7.189,10.2,17.095,-2.182,0.056,13.878,4.702,5.763,-4.351,4.225,6.886,6.159,9.5,0.805,2.796,4.2,6.182,-7.755,7.341,4.288,5.213,3.747,2.949,6.945,-16.224
2004,7.294,0.671,11.42,5.515,8.136,9.566,8.911,10.473,5.767,4.113,2.565,9.254,3.766,3.571,4.43,4.478,5.24,6.51,6.981,0.883,6.325,11.45,4.781,4.173,5.76,1.407,0.504,6.423,1.397,-0.096,3.092,2.563,6.674,10.115,1.232,6.561,7.661,-0.197,5.333,3.1,4.927,4.425,5.026,4.736,1.171,2.779,3.051,2.778,2.586,4.531,6.832,4.092,1.452,3.11,6.801,11.7,4.005,5.4,2.519,-3.223,0.69,2.458,5.796,5.404,2.34,7.046,1.172,30.391,5.378,-0.647,3.138,1.566,8.7,6.232,4.172,-1.318,4.963,5.031,7.923,6.789,4.337,53.386,7.802,4.678,1.474,1.324,8.257,2.186,9.599,4.635,7.027,9.458,-0.609,3.996,5.184,10.24,7.187,7.5,3.971,5.845,7.268,5.445,2.069,6.318,4.231,8.725,26.631,4.802,7.4,5.257,6.031,3.565,-0.684,4.674,1.56,0.407,15.318,4.4,9.425,8.205,4.733,4.299,5.42,6.783,6.632,0.362,10.442,5.351,2.013,4.015,4.683,,4.841,1.992,0.605,7.691,7.508,4.959,6.569,3.472,0.578,5.091,1.987,1.789,4.057,21.924,19.225,10.428,7.145,7.438,8.631,5.136,4.643,9.94,6.667,7.809,0.889,4.565,,6.687,,3.832,7.305,5.39,4.546,4.18,3.624,-2.85,6.903,33.629,-0.98,6.289,10.6,14.692,0.4,-1.885,7.328,6.236,9.796,-1.888,6.952,7.828,5.803,11.8,5.004,3.848,7.4,3.729,18.287,7.789,3.987,3.087,3.973,4.555,7.032,-6.27
2005,-0.383,11.83,14.15,5.526,5.398,4.855,8.852,14.113,6.474,3.029,2.32,26.4,4.37,2.322,1.713,8.662,6.536,7.056,6.769,3.395,3.897,9.461,2.22,4.421,3.202,3.965,0.388,6.069,4.972,2.931,3.21,2.863,5.837,11.437,1.721,1.218,9.804,9.211,4.447,5.665,5.81,3.977,4.853,6.375,0.883,3.111,0.656,2.357,9.432,5.361,5.399,4.472,2.574,3.552,9.523,12.6,2.778,-1.3,1.988,2.378,3.899,2.733,9.588,6.23,2.997,-2.352,6.56,8.21,1.183,13.273,3.276,-1.942,7.388,6.051,4.326,3.072,4.3,5.693,7.923,5.739,3.19,1.675,6.125,4.229,0.762,0.894,8.822,1.804,9.7,5.665,-0.176,13.303,1.292,9.734,4.358,10.609,6.94,2.687,5.856,10.619,-0.411,6.242,3.326,8.185,2.483,11.615,8.075,2.978,7.5,4.756,-11.223,2.113,1.789,4.724,6.535,2.882,13.567,4.2,6.507,6.312,8.566,1.453,3.269,4.976,4.67,7.335,7.008,4.244,2.029,2.685,3.479,-0.356,3.216,2.78,4.51,7.997,7.181,6.285,4.942,2.885,4.252,3.261,-1.987,0.782,2.133,11.291,7.792,4.668,6.397,9.407,5.945,5.648,4.31,7.366,5.526,6.721,2.709,2.426,,5.903,,7.094,4.919,6.485,3.854,2.793,5.999,9.006,6.215,8.307,-4.67,4.188,6.7,13.04,2.988,-0.416,5.895,3.487,8.992,-3.746,5.383,7.37,10.007,3.1,7.46,3.483,7.0,2.234,10.318,7.547,5.305,6.639,5.592,5.277,7.236,-7.413
2006,1.127,5.361,11.84,5.903,4.809,9.837,8.047,13.198,12.708,2.62,3.269,34.466,5.414,2.553,3.944,6.253,6.672,6.803,6.467,2.517,5.414,10.001,4.511,4.797,3.962,5.669,4.398,6.266,6.034,4.754,2.638,4.151,6.05,12.665,1.516,3.524,5.109,7.986,6.717,-1.755,9.118,7.327,4.714,6.623,3.862,4.825,4.659,3.82,9.171,2.869,4.341,6.844,-0.969,4.046,9.763,11.5,4.019,1.9,2.929,-0.271,-3.633,2.381,9.42,5.817,2.497,-0.556,2.667,6.501,6.443,-3.993,5.351,5.127,7.033,6.567,5.084,1.769,3.934,5.501,8.061,4.988,5.0,5.638,6.317,5.608,1.799,2.899,8.515,1.372,10.702,5.854,3.103,10.943,5.777,3.15,5.245,7.515,8.954,1.547,8.48,0.278,6.462,7.668,4.201,7.301,6.016,12.825,13.391,7.76,4.8,5.399,23.606,4.805,0.185,5.137,4.662,2.335,13.307,8.6,8.163,9.911,18.333,4.514,4.7,5.584,3.948,5.933,6.726,3.805,3.539,2.461,3.365,8.329,2.814,4.67,3.594,5.664,8.541,7.529,5.316,0.23,2.537,6.202,-1.41,1.625,4.807,-0.997,28.082,8.029,8.165,9.204,3.314,6.531,2.331,9.007,4.874,4.594,4.342,3.826,,3.901,,9.116,5.767,8.926,5.909,4.676,5.992,9.406,5.046,-0.518,2.65,4.968,7.0,10.967,-4.119,-2.194,14.181,5.244,6.948,1.301,5.77,4.661,7.049,7.6,4.099,2.785,7.5,6.527,9.872,6.978,8.461,2.132,3.17,5.604,7.904,-3.556
