Date,ALB,ARG,ARM,AUS,AUT,AZE,BEL,BGR,BIH,BLR,BOL,BRA,CAN,CHE,CHL,CHN,COD,COL,CYP,CZE,DEU,DNK,DZA,ECU,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GRC,HRV,HUN,IRL,IRQ,ISR,ITA,JPN,KAZ,KEN,KGZ,LBN,LSO,LTU,LUX,LVA,MAR,MDA,MEX,MKD,MNE,MNG,NLD,NOR,NZL,OWID_CZS,OWID_ERE,OWID_SRM,OWID_USS,OWID_WRL,OWID_YGS,PER,POL,PRK,PRT,ROU,RUS,SRB,SVK,SVN,SWE,SYR,TJK,TUN,TUR,UKR,URY,USA,UZB,ZAF,ZWE
1964,0.68780005,1.4126,,0.89800006,2.2887,,,1.1457,,,0.62,0.74170005,1.6565001,3.3494,1.2185,1.0,0.62,,0.37970003,,2.9035,3.8961003,0.72040004,1.1,0.76600003,,,1.5787001,2.1111002,2.9615002,,,1.1695001,,0.7742,2.6795,,1.5385001,1.2126,1.7697,,0.14980002,,1.5000001,1.4286001,,,,0.91300005,,0.87500006,,,0.6156,5.3162003,2.4072,2.5653002,1.7181001,0.5,,0.86450005,1.4782001,0.9768,0.9896,1.4212,1.7,0.279,0.8863,,,,,3.0487,0.81100005,,0.2,1.3415,,1.0526,1.5472001,,1.5000001,
1965,0.688,1.1415,,0.7228,2.0105002,,,0.87700003,,,0.64000005,0.76680005,1.8230001,2.9167001,1.1706,1.0,0.6122,,1.1685001,,2.8475,3.8327,0.5563,1.25,0.73700005,,,2.1621003,2.3445,3.0177002,,,1.2496,,1.1207,2.8176003,,1.4981,1.4362,2.2013001,,0.25500003,,1.5385001,1.4286001,,,,0.883,,0.878,,,0.564,3.6163,2.4862,2.8839,1.7155001,0.5,,0.84040004,1.5434,1.0657,1.1022,1.8848002,1.6346,0.36490002,1.0704001,,,,,3.0093002,0.9337001,,0.26090002,1.35,,0.6628,1.8001001,,1.5500001,
1966,0.95000005,1.3094001,,1.1277,2.5837002,,,1.6083001,,,0.66,0.7366,1.8017,3.2715,1.6242,0.9091,0.5683,,0.75930005,,2.9303002,3.6950002,0.16800001,1.5000001,0.9426,,,1.8392,2.357,3.0578003,,,1.4142001,,1.1879001,2.8802001,,0.68490005,1.3296001,1.8805001,,0.23410001,,2.0,1.4286001,,,,0.59090006,,0.80750006,,,0.67350006,3.5967002,2.2183,2.779,1.9214001,0.5,,1.1561,1.5813001,1.2063001,0.93000007,1.8788002,1.6667,0.2904,1.2329,,,,,2.5075002,0.8148,,0.3125,1.2750001,,0.7817001,1.6118001,,1.4667001,
1967,1.0054001,1.33,,0.52570003,2.7118,,,1.4024001,,,0.66,0.76940006,1.5585,3.535,1.6867,1.0,0.6251,,0.8974001,,3.3068001,3.7227,0.7216,1.25,1.0137,,,2.0647001,2.7121003,3.3847,,,1.3789,,1.5588001,3.052,,1.4286001,1.5549,2.2105,,0.22980002,,1.5000001,1.4286001,,,,0.8571,,0.9031,,,0.68420005,4.1476,2.7270002,3.0265002,2.2273002,0.5,,1.1994001,1.6318002,1.2060001,0.9509001,1.9732001,1.6364001,0.48970005,1.2849001,,,,,3.068,0.85190004,,0.32110003,1.3077,,0.6086,1.7674001,,1.69,
1968,1.0,1.1056,,1.0914,2.726,,,0.7922,,,0.66,0.8711,1.8293002,3.571,1.5006001,1.0,0.625,,0.91110003,,3.4889002,3.9549,0.6783,0.96000004,1.0612,,,2.1744,2.6652,3.2187002,,,1.0582,,1.2595,3.2318003,,1.8868002,1.2082,2.2391002,,0.7375,,1.3000001,1.4286001,,,,1.0205001,,1.0074,,,0.4233,4.2062006,3.5166004,3.2532,2.1371002,0.5,,1.1636001,1.7019001,1.0351,0.94920003,2.0735002,1.6364001,0.57780004,0.86240005,,,,,3.2732,0.82940006,,0.32110003,1.2329,,0.8201,1.9256,,1.6429001,
1969,1.0263001,1.2981,,0.90700006,2.8314002,,,1.0374001,,,0.65150005,0.8656,1.8532001,3.5964,1.1772,0.8,0.625,,0.88600004,,3.3712,3.7388003,0.6567,0.8,1.0614,,,2.3565001,2.7131002,3.4212,,,1.2108,,1.6751001,3.2783003,,1.4634001,1.575,1.9792,,0.8019001,,2.0,1.4286001,,,,0.46960002,,0.7688,,,0.264,3.8983002,2.5813003,3.3039,2.4177,0.5,,1.2645,1.7186,1.1313001,0.943,2.2407,1.6964,0.36420003,1.0459001,,,,,2.3590002,0.8259001,,0.32110003,1.3364,,0.56450003,1.9277,,1.2857,
1970,1.0263001,1.2012,,1.0385001,2.6808002,,,1.3835001,,,0.6571,0.87130004,1.9551,3.5882,1.5212001,0.95000005,0.625,,0.5695,,2.9395,3.4238002,0.6261,1.0,0.8317,,,2.5361001,2.6108003,3.2347002,,,1.3537,,1.2992,3.0446002,,1.2752,1.6053001,2.2409,,0.74,,2.0,1.4286001,,,,0.6368,,0.7938,,,0.46050003,3.6776004,3.3636003,2.7466002,2.0712001,0.5,,1.3816,1.7084001,1.0919001,0.87320006,2.0960002,1.6964,0.377,0.88960004,,,,,3.3096004,0.70720005,,0.26500002,1.2969,,0.94070005,1.7655001,,1.5125,
1971,1.0500001,1.3305,,1.0277,2.8831003,,,1.3594,,,0.66670007,0.8479001,2.0278,4.1463,1.4876001,0.90000004,,1.7500001,0.79010004,,3.6076002,3.7802002,0.569,1.0,1.2576001,,,2.6379,3.0586002,3.7513003,,,1.4195001,,1.9024001,3.4572,,1.3333001,1.7608001,2.0067,,0.74,,1.8000001,1.4286001,,,,0.8053,,0.47460002,,,0.6215,4.5557003,3.3057,2.6979,2.6464,0.5,,1.3734001,1.8587,1.1774001,0.93240005,2.4023001,1.6182001,0.7454001,1.2543001,,,,,3.5477002,0.7516,,0.22000001,1.4725001,,0.86920005,2.0054002,,1.4000001,
1972,0.95000005,1.4196,,0.7397,2.6555002,,,1.1587,,,0.68570006,0.90540004,1.8743001,4.0372,1.3273001,0.81820005,,1.7500001,0.52370006,,3.5818002,3.9151003,0.6031,1.0,0.9411,,,2.4856002,3.2567,3.9629002,,,1.4401001,,1.2147,3.4322002,,0.97220004,1.7608001,2.2749,,0.81000006,,1.8000001,1.4286001,,,,0.9760001,,0.64100003,,,0.27560002,4.2079,3.1595001,3.0204,2.2796001,0.54550004,,1.1127,1.6369001,1.0117,0.88030005,2.3630002,1.6727,0.504,0.91340005,,,,,3.1853,0.87520003,,0.1629,1.3515,,0.8991,1.8472,,1.4000001,
1973,1.0628,1.4217,,0.93640006,3.0325,,,1.1207,,,0.6711,1.0150001,1.8598001,4.0395,1.4414,0.8173,,2.0,0.1136,,3.6351004,3.4428003,0.57570004,1.0,0.9035,,,2.2135,3.1852002,3.8304,,,1.4931,,1.7932,3.2665002,,0.8571,1.0749,1.9903002,,1.0,,2.0,1.4286001,,,,0.60400003,,0.84760004,,,0.9741,4.4096003,3.4801002,2.982,2.7163002,0.5833,,1.3248001,1.6727,1.1873001,0.84150004,2.5338001,1.6600001,0.50420004,0.97520006,,,,,2.5048,0.7681,,0.25,1.3620001,,0.70780003,1.7169001,,1.3875,
1974,1.2207,1.1588001,,0.97490007,3.1589,,,1.4208001,,,0.67,0.97480005,1.6096001,4.7640004,1.5519001,1.125,,2.0,0.633,,4.1027,3.8753002,0.65300006,1.0,1.1755,,,2.0233002,3.0908003,3.7451003,,,1.5738001,,2.3002,3.5434,,0.9028,1.9355001,2.2083,,1.0,,1.5000001,1.4286001,,,,0.99500006,,0.85240006,,,0.48260003,5.0174003,3.6358001,2.9480002,3.1121004,0.6154001,,1.1974001,1.6818001,1.4177,0.81880003,2.7445002,1.7600001,0.5811,1.0721,,,,,3.7996004,0.8516,,0.2542,1.3818,,0.75990003,1.7088001,,1.4375001,
1975,1.2676,1.2817,,1.1549001,3.0282001,,,1.1192,,,0.6871,0.9286,1.8555001,4.1291003,1.3875,1.2857,,2.0,0.99310005,,3.6311002,3.3045,0.9035,1.0,1.3327,,,2.5351002,2.9606001,3.4120002,,,1.6174,,2.0528002,3.3683002,,0.91550004,2.0916002,2.1203,,0.9444001,,1.5000001,1.4286001,,,,0.88540006,,1.473,,,0.8345,4.6039,2.5762,2.6384,2.7655,0.64290005,,0.92880005,1.5517,1.3586,0.82900006,2.2616003,1.84,0.58400005,0.8109001,,,,,2.8492,0.8743,,0.25,1.5000001,,0.73260003,1.7578001,,1.35,
1976,1.2857,1.3838001,,1.0768001,2.9840002,,,1.4629,,,0.69000006,1.0761,2.0052001,3.8669,1.2069001,1.5025,,2.0,1.0201,,2.8727,2.6907,0.7509001,1.0,1.1613001,,,2.8541002,2.1948001,3.2511003,,,1.6188002,,2.3760002,3.2285001,,1.0,1.7248001,2.1717,,1.0,,1.5000001,1.4286001,,,,1.1805,,0.7226,,,0.79760003,4.0654,2.8018003,3.2692,2.2407,0.66670007,,1.4464,1.7079,1.3827,0.82790005,2.4174001,1.9167,0.58870006,1.2237,,,,,2.7817001,0.8223,,0.23200001,1.6598002,,0.8298,1.6380001,,1.3429,
1977,1.3333001,1.3256,,0.92050004,3.1150002,,,1.5430001,,,0.6706,0.94250005,2.0202,3.7330003,1.6487,1.1765001,,2.0,1.0687,,3.3048003,3.479,0.38560003,1.0,1.0298,,,2.4516003,3.0476003,4.0579,,,1.3252,,2.1765,3.9710002,,0.94200003,1.5401001,2.2073002,,1.0976,,1.8000001,1.4286001,,,,0.28500003,,0.77080005,,,0.73980004,4.5309,3.63,3.4611003,2.7396002,0.66670007,,1.2721001,1.6891,1.3377,0.87560004,2.3270001,2.0,0.4101,1.1296,,,,,3.0946002,0.8851,,0.2299,1.6104001,,0.5694001,2.0023003,,1.2667,
