Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546060.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4606.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,162.5,,,,,,,,66396.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655722.1,,,,,,,,,,,,63461.28,,,,,,,,,,,,,,,,,,,,,,,,,4621.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306620.5,,,,,,,,,,,,,,,,,,,,,,,167.67,,,,,,,,111915.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,25130.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669991.2,,,54389.78,,,,,,,,,63991.87,,,,,702603.4,,,,,,,,,,,,,,,,,,,,4546.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276284.9,,,,,,,,,,,,,,,,,,,,,,,174.96,,,,,,,,122271.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,19657.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671126.56,,,59715.04,,,,,,,,,61060.08,,,,,716642.2,,,,,,,2078.54,,,,,,,,,,,,,4593.6,100411.56,,,,,,,,,,,,,,,,,,,,,,2845.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265496.5,,,,,,,,,,,,,,,,,,,,,,,196.84,,,,,,,,119069.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,15383.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678952.8,,,53872.26,,,,,,,,,60934.56,,,,,704841.1,,,,,,,19657.02,,,,,,,,,,,,,4505.49,103410.42,,,,,,,,,,,,,,,,,,,,,,14566.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5040369.5,,,,,,,,,,,,,,,,,,,,,,,205.6,,,,,,,,113790.6,,,,,,,,,,,,,,,,,,,3539254.8,,,,,,,,,,
1996,,,,,,,,,,,,,11556.9,,,,,,,,,,,,,,,,,325927.56,,254582.52,,,,,,,,,,,,,690197.2,,,65564.07,,,,,,,,,61430.4,,,,,698682.25,,,,,,,37242.72,,,,,,,,,,,,,4328.28,104537.76,,,,,,,,,,,,,,,,,,,,,,7901.6,,,,,,,,,,1866.94,,,,,,,,,,,,,,58531.74,,,,,6293562.5,,,,,,,,,,,,,,,,,,,,,,,215.04,,,,,,1898.13,,106762.59,,,,,,,,,,,,,,,,,,,3484399.0,,,,,,,,,,
1997,,,,,,,,,198117.16,,,,6941.52,,,,,,,,,,,,,,,,,330792.28,,248703.3,,,,,,,,,,,,,704380.2,,,68657.49,,,,,,,,,59347.2,20028.26,,,,669609.1,,,,,,,55226.88,,,,,,,,,,38009.88,,,4280.76,107169.88,,,,,,,,,,,,,,,,,,,,,4816.0,13660.63,,,,,,,,,,3043.2,,,,,,,,,,,,,186954.23,58423.68,,,49474.94,,6286646.5,,,,,,,,,,,,9108.92,,,,,,,,,,,237.6,,,,,,18077.7,,98338.68,,,,,,,,,,,,,,,,,,45861.48,3524856.2,,,,,,,,,,
1998,,,,366.85,,345695.97,,,209255.8,,,,38313.33,,,,,5511.09,,,,,,,,,,,,321899.6,62464.71,242288.1,,,,,,536951.6,,,20678.06,,,,735109.2,,,66013.35,,,,,,302781.72,,,57526.08,19939.08,579604.8,,,662185.2,,,,51198.54,,,72978.77,,,,,,,,,,43438.08,,,4246.11,112264.2,,,,,,,,,,,,39223.38,,,,,,,,,4935.92,8962.9,,,,,,,,,,4102.9,,,,,,,,,,,,,188032.31,57685.9,,,46327.14,,8783532.0,,,74850.6,,222.0,,,,103872.05,,,9458.28,,,,,,,,,,,253.0,,,,,,21232.44,,92072.97,,,,,,,,,,,1586.96,,,,,,,40536.75,3507175.0,,,,,,,,,,
1999,,,,555.2,50707.36,603636.56,,,220716.39,61664.94,,,68032.9,,,,,13461.12,4685.46,,,,,,,,,,,311134.56,72230.34,249589.7,,,,,,556937.6,,,53826.08,143876.7,,,740821.75,,,63927.4,,,,,,304779.25,,,55735.68,19680.36,650667.4,1290.4,,661887.56,,,,50263.68,,,90888.16,,,,,,,96537.87,,,45793.28,,,4163.04,114970.32,,,,,,,,,,,,39235.6,,,,,,,,737.34,4963.14,14012.12,,308.88,,,,,,,,4153.24,,,,,,,,,,,,,192809.28,55970.42,,,49962.0,,10033532.0,,,173472.88,,257.28,,,,100809.8,,,9643.44,,,,,,,,,,,266.0,,,,,,27017.95,,88495.96,,,,,,,,,,,9481.01,,,,,,,48408.36,3556822.8,,,,,,,,,,
2000,,,,644.4,50660.72,585173.25,,,228656.7,57882.96,,,98144.06,,,,,13418.01,5245.2,,,,182429.17,3098446.2,,,,,,306594.62,71533.28,233440.48,,,,,,562916.9,,,73016.72,144310.31,4159.36,,741463.56,,,63331.75,,,,,,347983.56,,,54953.28,19504.94,655270.1,2456.25,,641495.4,,,,48807.0,,,90255.54,690.36,,,196916.34,,,94138.11,,,45911.05,,,4137.56,118067.22,289960.0,,,,,,,,,103.32,,40817.0,,,,,,,,722.78,5116.86,14729.55,,253.44,,,,2210183.8,736.2,,,4152.45,,,,,,,,,,,,38.61,197191.69,55160.16,,,50522.4,,16329913.0,,,264849.47,,226.56,,,,95766.16,,,8748.0,,,,,,,,,,,271.7,,,,,,33139.71,,87768.8,,,,,,,,,,,14152.5,,,,,,,46167.44,3549410.0,,,11412.5,,,,,734054.44,,
2001,,,,635.72,51219.16,586580.06,,1347.33,242080.9,58466.66,,,98513.0,,,,,13486.77,5563.8,,,6866.88,182930.44,3148997.8,694.62,,,,,303321.03,68553.94,244218.84,,,,,,470333.06,,,70595.69,143591.58,4048.64,,737547.5,,,63785.85,41489.8,,,,,377277.12,,,54879.36,19378.52,645861.75,2398.78,,627103.75,,,,47788.23,,,92015.55,2008.32,,16421.15,204817.16,,,94654.89,,,45903.48,,,3928.4,121917.06,371569.8,,90314.84,,,,,,,866.25,,40986.99,,,,,,,,1381.4,5426.88,16408.56,,247.5,,,,2232151.5,765.9,,,3672.48,,,,,,,,,,,,36.63,200560.31,55489.38,,,50522.4,,17755274.0,,68458.5,232948.73,,223.2,,,,101897.1,,,10533.18,,,,,,,,,,,274.55,,,,,,38388.7,16750.23,88621.4,,,424185.72,,,,,,,,16190.8,,,,,,,46512.9,3611099.8,,,194049.56,,,,,696732.94,,
2002,,,,584.2,53742.62,653059.94,,1369.64,241230.66,63993.62,,,98770.14,,,,,13387.78,5156.84,,,6422.24,182288.27,3087289.5,2563.44,6060.18,,,,298071.84,65815.75,241658.05,,,,,,584517.6,,,72665.55,141493.77,3926.4,85034.5,723420.25,,,64044.48,90124.13,,,,,397893.03,,,54168.96,19600.02,664659.1,2233.7,,615922.56,,531474.4,,49616.61,,,92218.66,1905.12,,16878.68,204873.94,32845.83,,95498.37,,,45610.16,,,4049.85,119857.92,439605.34,,144998.5,,,982016.25,,,,799.9,,40540.5,,,,,410.76,,,1601.3,5473.3,17166.84,,320.76,,,,2248665.8,1336.8,,,3580.92,,,,,,,285990.4,,,,,36.63,201255.36,55518.95,,,49257.12,50771.74,20455506.0,,68961.42,242250.0,,239.4,,,,106624.2,,,11189.76,,,261047.6,412276.25,,,,,,113166.72,278.35,,,,,,48265.04,16810.68,90313.86,,,424407.22,,,,,,,,11192.89,,,,,306262.62,,48159.3,3650976.2,,,338828.75,,,,,671307.0,,
2003,,,,597.87,56139.62,670624.3,,1287.19,239912.05,65827.44,,,98524.02,,,,,13768.18,5022.0,,,6986.88,188993.6,3053766.8,3403.84,5878.8,,,,295709.03,65897.65,233949.12,,,,,,784241.1,,,66320.32,138664.34,6980.88,88669.64,694193.9,,,62598.72,156129.75,,170608.14,,,414621.34,,,53640.0,19800.0,658001.0,2057.68,,616301.1,,542397.6,,51604.28,,,91971.84,1749.88,,15909.3,198542.89,37993.35,,94823.19,,,48962.38,,,4003.19,123781.14,480728.7,17519.25,149863.06,,,880098.94,,,,769.23,,39853.44,,66947.06,,,2339.4,,,2995.5,5341.98,18879.36,,352.44,,,,2268557.0,1120.0,,,3448.2,,,,,,,384916.56,,,,,33.25,200447.6,53369.44,,,47151.2,51203.79,21761380.0,,68763.66,245057.81,,255.68,,,,111463.11,110365.52,,10958.12,,,299145.6,419721.4,,,,,,126037.08,280.12,,,,,,50201.91,16858.7,93934.17,,,422457.44,,,,,,,,17351.2,159939.84,,,,477642.44,,45715.67,3675587.0,,544.32,313300.97,,,,,656741.3,,
2004,,,,659.3,57645.5,682363.25,,1245.48,240280.66,65810.7,,232182.55,98190.81,,,,,14726.46,4973.64,20042.96,,7119.8,199031.28,3015608.8,3526.56,5793.24,,,,308864.9,65604.63,220940.1,,,,,,748482.0,,,65563.2,135952.73,6994.22,91179.2,691952.8,,,61578.05,164688.0,,271612.94,,,424569.0,3537.0,,53972.16,19981.17,727370.0,1888.25,,637092.6,,551887.2,,53798.64,,,90248.75,1499.81,,15348.97,202191.3,37535.45,,93816.36,,,53497.01,,,4111.47,130191.8,510904.1,48756.96,150214.95,,,902615.06,,,,703.0,,38480.68,,67332.75,,,2454.27,,,10241.0,5296.9,20004.74,,336.6,,,,2256935.0,715.3,,,3357.35,,,,,,,420115.6,369261.06,,,,31.68,198397.02,53423.96,,,46442.65,50448.42,24407370.0,,67159.3,571934.4,,267.54,,,,106647.0,115936.56,,11776.32,,,284252.66,432307.2,,,,,,115281.9,279.93,,,,,,50448.42,16514.86,97693.2,,,419669.9,,,,,,,,17630.64,161723.25,,,,690592.56,,46620.24,3700162.5,,1942.38,349590.0,,,,,722154.0,361266.62,
2005,,,,704.22,57720.7,682265.25,,1243.44,240462.34,68499.86,,256877.06,109617.65,106504.65,,,,15550.64,4983.87,20106.0,,7106.88,202419.84,3003275.5,3426.08,5812.02,,,,320374.78,67309.68,212469.53,,,,,,774110.6,,,63890.43,125968.46,7050.48,92635.0,687949.3,,,60516.96,177116.34,,284161.5,,,436814.4,5002.4,,56194.18,20078.19,729144.1,2074.22,,648986.5,,588304.06,,56399.6,,,88504.08,1785.96,339027.7,15105.99,210162.14,38134.08,,93261.96,,,54855.9,,,4037.5,129576.9,526354.1,48743.64,152109.25,,,962327.2,,,,712.8,,38382.3,,68219.69,,,2484.25,,,17789.43,5361.58,20415.78,,315.81,,,,2240700.5,1063.98,,5458.88,3317.51,,,13639.92,,,,453854.88,440662.94,,,,31.68,191806.08,53552.19,,,45586.4,51525.54,25847972.0,,65804.84,563666.3,,266.56,,77539.88,,102072.15,116328.12,,12882.57,,,305905.7,441198.72,,69679.08,,,,109650.67,283.65,,,,,9220.47,51918.57,16842.55,99211.28,,,418041.6,,,,,,,2929.41,17765.95,132628.0,,,,731087.4,,46775.04,3742169.2,,1874.07,506332.16,,,,343748.03,820864.25,368998.38,
