Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,IDN,IND,IRL,IRN,IRQ,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1592.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.69,,,,,,,,,,,327117.97,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,6704.64,,,,,,,,,,,,331.57,,,,,,,,,,,,,,,,,,,,,1899.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812.59,,,,,,,,,,,,,,,,,,,,173.8,,,,,,,,,,,404956.8,,,,,,,,,,,1310626.8,,,,,,25860.8,,,,,,,,,,252620.94,,,38110.74,,,,,,,,,,,,,,,,,,,,,,2754.2,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,6797.76,,,,,,,,,,,,408.85,,,,,,2800.6,,,,,,,,,,,,,,,2195.05,,,,,,34905.78,,,10556.9,,,,,,,,,,,,,518892.84,,,,,,,,177.1,,,,,,,,,,,,,,,,,,,,296.82,,,,,,12082.5,,,,,418839.34,,,,47.52,,,,255.17,,56353.94,1323837.0,,,,,275.9,25035.92,5463.48,,,,,8304.16,,,,335161.78,,,39418.16,,,,247.5,,,,,,,,,,,,,,,,,,2526.48,,,,,,,,,,,,,,2515.74,,,,,
1992,,,,,,,,,,,,,,,,,67340.66,7734.33,,,,,,,,6872.64,,,,,,,,,,,,483.14,,,,,,3747.6,,,,,,,,,,,,,,,2444.04,,,,,,,,,15855.9,,,,,,,1245212.6,,,,,95572.36,500444.8,,,,,,,,154.68,,,13497.6,,,,100776.72,,,,,,,,,,,,,403.2,,,,,,30445.66,,,,,411840.25,,,,45.54,,,,284.4,40233.5,59189.13,3919861.5,,,,,243.0,16037.88,5381.77,,,,,8718.44,,,,352747.94,,,40877.46,,,,240.57,,,,,,,,,,,22824.3,,,155764.8,,,,2332.08,,,,,,,,,,,,,,4552.64,941.4,,,,
1993,,,,,39872.7,,,,,,,,,,,,84711.36,12274.2,,,,,,,,7105.23,,,,,,,,,,,,377.72,,,,,138157.31,5760.5,,125623.35,,,,,,,,,,,18733.44,,2732.24,,,,,,26820.64,,,2101.92,,,,,,,1913865.5,,,,,97780.36,523801.5,,,,,,,,207.28,,,34357.05,,,,101570.56,,,,,,,,,,,1699.95,,274.21,,,,,,43110.51,,,,,423010.78,,,,45.54,,,,301.95,44069.22,56728.32,5105139.5,,,,,316.78,9579.64,5217.05,,,,,9217.23,,,,374471.94,,,47389.5,6768.1,,,238.14,,,,,,,,,,,105680.63,,,597481.2,,,,2722.56,,,,,,,,,644570.25,,,,,4616.6,52.77,,,,
1994,,,66272.58,,39527.1,,,,,,,,,,,,79486.4,12924.21,,,,,,137022.23,,7027.02,,,,,,,,,,,,388.68,,,,,151923.52,7901.82,,261903.05,,,,,,1020094.25,,,,,12555.6,,2732.24,,,,,,28021.2,,,2078.54,,,,,,,1868809.8,,,962998.25,289167.2,100411.56,535828.5,,,,,,,,928.08,,,37530.15,,,,100179.72,,,,,,,,,,,4813.2,,717.14,,,,,,40386.26,,,,,473806.06,,,,45.54,,,,235.42,47512.17,57419.01,8858476.0,,,,,254.77,28239.8,19843.48,,,,,8987.4,,,,384509.8,,,49562.44,8477.95,,,253.82,,,,,,,,,,,298037.75,,,675409.7,,,,2556.9,,,,45.22,,,,,1663034.5,,,,,3919.89,4965.08,,,,
1995,,,56477.52,,38849.4,,,,,,,,,,,,75746.35,13312.35,,,,,,343030.2,,6911.19,,31625.79,,,,,,,,,,413.1,630117.2,,,,147609.0,10030.68,,359445.6,,,,,,1316158.9,,,,,16864.12,,2704.36,,,,,,43928.04,,,12414.96,,,,,,,2243266.5,,,816755.9,422237.2,103410.42,513669.75,,84602.34,,,,,,927.0,,703142.56,41116.68,,,,98299.24,,,,,,,,,12889.22,,5859.2,,719.57,,,,,,51239.76,,,,,494411.53,,,,40.5,,,,167.01,51206.32,57939.75,13861016.0,,,,807913.8,357.39,33491.45,110218.99,,6581.46,,98442.36,9005.4,,,,386208.53,,,50812.8,9071.2,,,251.86,,,,,,,,,,1644.39,351194.38,,,945143.2,,,,2609.88,,,,126.91,,,,,2644718.0,,,,,3755.4,5072.64,,,,3216.38
1996,,,60317.76,,38617.2,,,,,,,,,,,,69138.88,13554.24,,,,,,516261.16,,6713.0,2598.88,26639.54,,,,,,,,,,315.25,837627.4,,,,144843.94,12602.48,,447059.56,,,,,,1367547.8,,304697.25,,,18345.6,,2610.4,,,,,,45417.68,,,12414.24,,,,,,,2806714.0,,,1029292.3,166118.27,109082.88,501856.5,,136660.45,,,,,,1710.72,,644100.3,41085.0,,,,98411.67,,,,,,,,,51563.79,,6984.96,,1037.68,,,,,,52407.36,,,,,502786.56,,,,44.55,,,,206.64,54506.84,58189.23,16363262.0,,,,755904.1,357.39,64402.82,252720.16,,36278.0,,98240.87,8960.4,238678.11,,,386523.28,,,50198.4,13247.29,,,250.88,,,,,,,,,24180.16,1582.7,361323.75,,,937945.94,,,,2720.36,,158368.16,,218.44,,,,,3139788.2,,,,,3916.44,5273.38,,,,28963.89
1997,,,59754.91,482.25,42117.3,,,,,,,,2313.84,,,,53760.63,13457.7,,,,,,207137.28,,6583.64,13394.64,25240.2,,,,,,,,,,471.24,739188.06,,,61078.16,141726.62,12281.28,,568306.75,,,96067.78,,,1447338.8,,308744.53,,,20028.26,,2517.06,,,,,,49119.7,,,51136.0,,,,,,,2975804.0,,,1039823.7,499328.06,112994.33,500206.34,,146298.6,,,,,,2546.25,,594271.94,40745.46,,,,95954.04,,,,,2744.0,1223.34,,,51595.35,,3555.5,,1071.7,,,,,,48036.56,,,18699.3,,513048.53,,,,42.57,,,,244.24,56953.71,56208.24,17602610.0,,,,676570.7,301.5,67989.68,414305.44,,52477.04,,108783.18,8910.9,231201.62,,,385552.44,,,49922.02,10199.56,,,261.9,,,,,,,,,22739.2,1473.43,369432.97,,,941414.7,,,,2728.4,,163860.4,,221.76,,,,,3183741.0,,,,,4233.0,5470.74,,807260.06,,52689.12
1998,,,55674.32,533.6,49733.76,,,,,,,,35991.31,,,,63780.41,13424.45,,,,,,449568.47,,6555.78,12605.22,31992.73,,,,,,,,,,381.04,649538.25,,,68396.66,141565.9,11990.88,,661598.25,,,127859.5,,,1600556.4,,299089.25,,,19939.08,198092.8,2523.26,,,,,,48559.44,,,70923.03,,,,,,,3513224.8,,,986053.44,23587.89,115847.1,500453.34,,146925.88,,120002.96,,,,2353.16,827.64,544129.06,41309.73,,,,97322.2,,,,27637.8,3253.22,1716.3,,,51397.38,,3035.25,,1235.2,,,,,,48058.92,,,18302.4,,509626.56,,,,42.57,,,,81.2,49758.78,54196.56,18821854.0,,,,658538.4,288.0,75144.54,412174.62,,69976.96,,100812.53,9257.04,227154.52,,,405847.6,,,48753.6,10691.25,,,266.75,,,,,,,,,23020.14,1406.4,376046.44,,,939942.4,,,,2744.64,,164879.27,,238.08,,,,,3280905.8,,,,,4090.92,5382.16,,780722.94,,82679.28
1999,,,54161.28,520.5,49628.48,,,,,,,,53042.6,,,,60469.8,13601.34,,,,,,2911879.2,,6107.31,13560.3,35527.45,,,,,,,,,,339.3,670065.56,,,65699.48,143876.7,11847.68,,652245.2,,,153868.08,,,1811427.5,,297345.6,,,19680.36,183717.84,2484.02,,,,,,49728.96,,,90888.16,,,,,,,3554431.8,,,969387.6,420059.62,118679.04,508185.9,,145450.16,,211311.9,,10843.8,,2164.8,836.55,568165.8,39653.0,,76793.7,,98464.84,,,,35392.32,3654.18,17330.78,63634.8,308.88,48547.24,,5689.8,,1252.0,,,,,,46793.04,,,16518.05,,508477.44,,,,40.59,,,,169.26,50529.75,53122.41,22575448.0,,,,708243.2,257.28,89318.16,396418.78,,67575.8,,100590.3,9643.44,226819.89,,,397415.16,,,47351.04,11428.93,,1502.66,271.6,,,,,,,,,24252.21,1442.43,383644.56,,,921677.6,,,,2664.45,,165906.23,,228.78,,,,49472.28,3329791.5,,,,,3974.58,5189.5,63550.26,745818.4,,112153.97
2000,,,52493.76,601.44,50660.72,,20918.15,,,26529.69,,,68472.6,,,,62158.44,13418.01,,,64232.7,5328.36,182429.17,3236155.0,,6456.78,14328.58,36593.0,,,,,9891419.0,,,,,337.12,675500.25,,,70635.74,142852.64,11568.22,,662584.44,,,138066.52,,113748.48,1865277.1,,291247.12,,,19504.94,198104.92,2849.25,,,29480.55,,,49349.3,,,92330.38,,,,196916.34,,,2962197.0,,,1010436.56,555433.4,124414.92,495568.0,,144002.12,,232136.19,,47826.24,,2365.2,852.39,577577.44,39567.5,,74719.09,,100560.6,,,,35416.22,4236.54,17712.75,271071.12,253.44,44976.96,,5702.4,2210183.8,621.68,,,,,,45123.6,,,17196.96,,508052.06,,,,38.61,,,,154.28,50522.4,52747.2,36428268.0,,,,156496.69,226.56,97556.07,382647.88,,64586.48,,108262.0,9732.15,224359.23,,,402803.47,,,46013.89,11782.26,,146136.88,277.42,,,,,,55045.62,,,25135.72,1413.29,393370.22,,,898293.4,,,,2779.05,,162128.38,950638.2,198.45,,,16158.16,48265.96,3434913.0,,,28531.25,,3948.0,5017.35,100899.4,734054.44,,299383.94
2001,,,51492.48,580.44,51219.16,,25013.19,1333.44,239532.69,34763.96,,,68730.0,,,,63259.53,13486.77,1180.2,,85773.9,6866.88,182930.44,3081277.2,694.62,6414.21,12773.28,37937.22,,,,,10850783.0,68805.7,,,,296.67,684120.8,,,63456.8,142141.16,11260.28,,674777.5,,,136916.34,,218166.27,1899230.9,,326187.5,,,19378.52,210280.56,2661.66,,,31041.07,,,49985.39,,,95188.5,2008.32,,16421.15,204817.16,,,2791547.0,,,969100.5,558572.5,124511.04,504273.3,,148483.72,,223857.05,,61775.46,,2221.9,866.25,542377.56,40986.99,,72412.8,,104268.81,,,,32808.25,4861.58,18752.64,526369.2,247.5,44081.3,,5571.3,2232151.5,1293.52,,,,,,45209.55,170264.0,,18360.44,,493346.4,,,,36.63,,,,243.2,50522.4,52313.58,39315252.0,,67767.0,,1014399.44,235.2,103850.62,359814.4,,79253.3,,106015.28,10533.18,221383.95,532374.8,,409300.84,,,45036.65,12302.26,,108128.25,277.44,,,,,,54292.59,,,26250.64,1371.8,403986.4,,,885710.6,,,,2768.64,,159217.2,1022462.2,238.59,,,27223.07,48580.14,3455783.8,,,302489.03,,3902.52,5082.45,139935.0,706546.06,,297698.84
2002,,,49443.84,533.4,52599.16,463461.9,31376.8,1397.88,241230.66,63213.21,57115.0,,68909.4,41831.25,,,58278.88,13387.78,4882.54,,90585.0,6999.52,182288.27,3054092.8,2563.44,6382.53,11681.42,39293.76,,,,,11609770.0,338693.28,,,,281.79,660759.06,,4715.6,73446.9,140064.55,10797.6,76978.6,669548.5,,,132042.33,,237068.25,1883390.8,68824.08,336363.2,,,19600.02,221553.05,2712.35,,,25165.44,531474.4,,51289.08,,,97580.21,1905.12,,16878.68,204873.94,,,2828083.2,,,1027322.0,559230.1,129077.76,503162.75,,144998.5,,226599.7,982016.25,105544.89,,2053.21,808.32,537543.1,40540.5,,69819.75,,105659.19,410.76,,,30104.44,5305.75,19337.36,576810.56,320.76,45496.44,330124.03,5439.98,2248665.8,1336.8,,,,,,47136.04,527546.4,,17021.84,285990.4,494766.66,,,,36.63,,,,183.0,49816.86,51818.58,47303360.0,,68264.84,,956942.7,263.34,108297.6,362166.84,,93012.6,,105280.63,11422.88,215777.44,1031356.8,261047.6,420955.75,,,44757.35,11358.75,,113166.72,281.28,,,,,,51937.38,,,26809.2,1406.3,409067.2,,,883247.3,67387.71,101475.84,,2745.5,948.55,155656.89,948238.56,235.62,1166224.0,306262.62,174418.08,48159.3,3454687.2,313946.3,,344571.6,,3880.8,5052.64,232332.6,690487.2,,292006.56
2003,,,46741.39,532.17,54945.16,628710.3,32022.69,1313.73,239912.05,65043.78,56999.13,,72477.44,208854.45,,185372.9,62821.44,13910.12,4752.0,,49941.92,6986.88,188993.6,3151227.2,3519.88,6326.1,13011.2,40770.0,,47044.62,,,12030189.0,452805.56,,,,279.0,775808.4,5283.88,7599.9,64813.04,138664.34,10591.68,84099.04,671800.5,,,164456.67,,259071.62,1936222.2,74937.59,342697.22,,,19800.0,211770.44,2693.14,,,23249.76,542397.6,,53305.52,,,98388.48,1749.88,,15909.3,198542.89,,,2878235.5,,,1028438.44,549402.2,130436.04,507435.84,18019.8,149863.06,,242377.73,880098.94,106369.56,,1877.56,769.23,482775.94,39853.44,80852.5,66947.06,,116468.16,2339.4,115889.92,8822.15,28457.25,5178.45,19272.68,559370.7,352.44,45366.75,399341.38,5384.12,2268557.0,1184.0,,398237.4,3653.45,78416.4,,47303.62,535924.6,,18494.02,384916.56,495805.0,,,,33.25,,,13802.02,181.72,49370.08,51203.79,56323572.0,3216005.0,68763.66,388506.3,1194593.4,269.28,124352.0,346746.88,99986.4,105833.66,110365.52,113017.61,11077.23,208128.48,1257615.6,299145.6,419721.4,,,42452.65,12044.34,,126037.08,286.08,,,,2328.02,,50201.91,,,27203.4,1419.66,417305.53,,,885819.8,102731.34,103520.34,,2691.42,14333.6,153275.69,887919.5,219.45,1278827.2,477642.44,280569.53,45715.67,3597383.0,498943.16,624.96,417734.62,1079535.6,3829.76,4868.1,289727.97,675777.3,,284651.5
2004,,,44768.79,534.38,56419.0,654511.7,33075.77,1245.48,240280.66,65810.7,56930.5,232182.55,72232.32,221128.5,,404921.78,61584.1,14726.46,4973.64,14725.44,86867.55,7119.8,199031.28,3047352.0,3526.56,6234.03,11847.68,41621.58,,47517.68,,,12552674.0,488870.88,,,,299.97,748482.0,14234.22,10212.02,64834.72,135952.73,10611.92,91179.2,647785.6,,,168805.2,484472.34,277929.53,1946824.9,71740.2,424569.0,11790.0,,19981.17,262453.1,2324.0,,,30568.32,551887.2,,54955.6,,,97681.0,1499.81,,15348.97,202191.3,,,2882010.2,1621347.4,,1021686.06,548817.8,135673.56,521774.4,48756.96,150214.95,,256393.17,902615.06,108381.24,,1701.8,710.4,454488.28,36910.04,72423.9,67332.75,,125303.31,2454.27,224871.52,31267.8,27504.4,5080.7,20004.74,585790.9,336.6,46229.04,470687.4,5302.99,2256935.0,1119.6,,382839.0,3438.25,379800.72,,47402.6,544325.7,,18544.54,420115.6,488880.84,,,421380.97,31.68,,,183030.84,195.0,49240.4,50448.42,61660724.0,3235613.8,67159.3,548103.8,1105410.2,267.54,114348.0,344113.28,354840.38,105524.4,113416.2,112507.2,11898.99,209383.02,1368244.8,284252.66,432307.2,,203993.1,40123.9,12454.56,,115281.9,285.95,,63765.83,,3854.9,,50448.42,,,28144.59,1425.6,424851.03,,,876031.7,146051.9,103018.56,,2898.72,17630.64,160056.0,996289.94,221.48,1319145.2,690592.56,390219.34,46620.24,3621435.5,498816.44,1942.38,477773.0,1316087.4,3821.58,3266.78,335412.03,731782.75,,280296.7
2005,,,42118.44,573.54,56492.6,612646.3,34655.53,1243.44,243020.45,68499.86,64036.14,256877.06,88847.99,213009.3,,1638800.1,64452.48,15550.64,4983.87,37397.16,86774.49,7106.88,202419.84,3065843.8,3426.08,6121.17,12426.95,42620.84,,48228.46,,,13406823.0,569805.4,482553.34,,,297.99,774110.6,12433.12,10252.32,64608.3,127308.55,10697.28,94545.0,658674.9,,,177116.34,520085.47,290476.2,1992365.5,84949.44,436814.4,12844.0,,20078.19,263093.25,2550.73,12181.4,,37678.26,588304.06,,56399.6,,,97986.66,1785.96,339027.7,15105.99,210162.14,,,2946240.8,2145731.0,,1044265.75,589192.5,133756.8,531894.75,48743.64,152109.25,,261993.05,962327.2,108702.08,,1282.5,712.8,467110.72,38382.3,78878.73,68219.69,,127706.32,2484.25,359367.03,44514.42,27704.85,5197.45,20415.78,595887.4,315.81,47661.57,545992.6,5423.32,2240700.5,1372.38,13685.66,453087.03,3397.45,591833.4,,47739.72,547203.0,42372.12,18085.65,453854.88,497689.9,,,973949.94,27.52,,,273287.12,212.8,49575.21,51525.54,69789520.0,3397357.5,65804.84,563666.3,1132878.5,266.56,122786.37,345404.9,323191.4,103169.7,115077.28,117105.12,12882.57,205996.98,1429562.8,305905.7,445794.53,246961.0,325169.03,40253.76,12887.41,,109650.67,289.75,,46510.75,,5361.6,9220.47,51918.57,,,29112.75,1432.53,433718.16,,,864151.7,151330.69,106786.35,,2929.41,17765.95,160811.45,1088738.6,180.12,1295867.8,731087.4,403684.9,46775.04,3702358.8,502899.22,1874.07,512152.1,1326228.1,3769.19,2669.85,639531.2,790832.7,368998.38,269941.75
2006,,,40037.9,614.04,57365.68,589511.2,30349.02,1228.59,248905.7,66468.06,77127.44,287913.1,111421.02,231828.69,412334.97,3083252.2,66085.44,16268.0,5221.44,35470.8,87023.02,7321.58,198721.1,3078980.2,3063.48,5992.47,12512.45,44167.56,,48703.2,,219857.55,14722592.0,579284.06,511156.16,,,301.95,759211.06,12838.83,10394.9,63521.04,115249.66,11373.9,97817.72,619092.9,,74.69,168892.92,528560.0,303233.28,2024535.0,85645.28,452899.78,13428.25,,20153.43,295691.75,2295.72,23263.24,,40551.0,601888.56,,58106.75,,,99365.52,1641.64,345659.1,14733.06,203104.86,,,3050406.5,1592866.8,,1119792.1,535059.2,133297.92,535389.1,46981.95,163580.62,,293058.8,1038962.4,102114.9,261381.6,2323.2,700.92,440783.62,42381.9,89971.65,68019.12,,133012.45,2171.75,356855.25,45708.39,27355.25,5234.5,19708.04,599370.2,288.09,47412.4,562942.3,5554.64,2227720.2,1497.68,21031.59,511118.1,3391.84,701847.75,7246.8,48584.48,558823.5,71005.6,17803.38,500110.38,493705.5,,,1500921.9,33.66,,,450145.66,267.3,50289.48,53393.67,75480664.0,3151122.0,63407.52,566222.2,1783112.1,262.64,137276.19,351505.4,323489.28,105100.47,114744.24,116372.84,13703.04,208318.77,1442399.2,323208.28,451040.62,685590.6,350971.5,40195.45,15542.01,,114649.92,283.36,,66184.38,,4266.0,9229.08,53288.73,,,28906.26,1437.48,443332.06,,,851107.2,169087.6,106748.46,,2934.36,16689.28,164745.9,1038115.06,224.07,1339898.4,747939.8,407859.84,46068.35,3735773.8,504806.8,1821.6,415105.75,1303952.1,3718.18,2411.32,637283.4,865748.94,378481.4,282236.03
2007,636105.94,346990.66,37954.42,652.47,61074.2,600849.7,33569.9,1203.77,256346.45,67491.7,95540.76,327047.5,114222.22,265384.8,501415.3,3342115.2,67025.35,16672.36,5144.76,35641.04,83874.7,7219.2,203848.69,3043350.0,3327.54,5806.42,12588.45,45727.17,,49544.46,,211967.08,15086672.0,581290.56,532154.56,1547793.6,84738.56,304.92,752337.44,14251.5,10512.96,63817.45,116033.31,11430.63,103303.53,589259.1,5970.5,964.41,160562.25,628717.5,297555.12,2066604.4,87122.6,461471.03,13850.05,1442071.4,20246.49,323969.53,2377.8,34569.0,,46185.02,688500.2,193576.56,61333.1,,,102609.5,1729.92,328687.34,14763.64,200064.39,39146.3,,3578746.5,1571642.0,,1145341.1,503404.72,139360.31,541444.3,43661.36,173063.1,,294070.53,1079282.1,107651.62,270467.16,2624.64,705.87,394439.5,48164.49,77748.0,69281.6,,136224.9,2481.93,358184.12,45199.8,27582.72,4815.45,20067.32,610887.06,256.41,44958.75,587837.9,5684.98,2216146.5,1434.06,22520.64,434983.1,3249.66,785419.56,7032.6,50194.62,571286.25,79989.56,16994.4,453826.8,500134.1,,,2399326.8,34.65,,,521910.3,274.23,52214.8,54374.76,82675020.0,2911598.5,61376.8,558035.3,2043510.0,239.33,117750.44,360202.9,305572.47,103390.36,106640.86,118902.42,14031.38,209016.72,1435134.5,320799.38,462031.7,907140.0,376936.25,41466.24,14298.3,125118.0,116146.8,285.74,,69616.8,,5052.09,9256.8,53384.76,,,28669.96,1438.47,461116.47,,,837112.3,163166.64,108706.5,,2920.5,16840.58,167160.56,1204210.5,226.01,1267232.4,870330.06,406430.25,45322.1,3811872.8,522080.47,1790.91,365901.7,944131.8,4067.28,3050.8,662076.9,895583.25,387684.8,297823.7
2008,647527.7,377303.84,36352.8,686.76,65948.36,637087.5,35807.37,1232.84,267383.94,65153.34,106983.04,318975.03,121473.94,250155.75,542930.25,3321007.8,69395.52,17209.74,5060.7,32193.04,96180.14,7086.66,215957.28,2902560.0,3080.4,5732.16,12519.36,47721.92,,102382.84,,220869.3,15874900.0,569603.2,559167.8,1678148.2,100667.73,304.92,726649.1,15654.06,10683.96,63471.24,115833.5,11487.36,110156.31,596050.94,20774.16,967.68,160287.66,673103.3,295184.78,2098162.5,87279.35,477838.5,14377.3,1609052.1,20146.84,364291.38,2265.94,39006.58,,45266.29,688318.1,198044.22,63814.66,,,103454.05,1779.03,367463.8,14650.29,197580.12,39980.49,,3913603.2,7511135.0,,1225392.2,606121.56,142823.34,540792.0,42603.36,178380.1,,329812.56,1204485.9,115430.0,306066.66,2363.84,708.54,412880.9,50382.09,95348.49,70083.63,101685.0,138768.0,2368.32,358918.12,45252.24,27856.32,5262.12,21393.72,634712.7,226.71,44753.86,551056.7,5894.7,2186786.5,1468.58,23059.81,448634.62,3422.8,777969.3,7255.86,51663.36,587100.75,82820.06,16547.85,488011.16,502255.34,,,3104583.0,33.66,,,512053.9,283.14,55593.9,55730.07,91624960.0,2955900.0,62562.42,554962.6,2074863.0,236.44,113800.5,372701.84,306774.0,99893.51,107406.72,117533.76,15584.02,204319.83,1503785.5,324120.66,483879.9,923381.2,359071.7,43131.05,14313.87,155824.12,115891.86,290.29,,64297.41,,5855.85,9339.12,53408.52,,,28152.9,1435.5,486781.72,83066.59,51612.0,840005.06,172623.5,109675.2,25514.63,2859.64,17146.8,174217.23,1148639.4,235.62,1333744.8,863098.0,391174.56,44741.18,3935725.5,509511.72,1778.04,311588.6,1275524.4,4478.95,1384.76,669387.44,837079.94,435196.62,313429.5
2009,652804.75,409103.03,34497.96,704.64,70042.02,678262.6,38239.74,1311.24,274364.38,65005.6,115721.2,342132.75,122796.18,268929.44,552526.25,3291479.8,70829.76,17720.36,5379.85,32175.9,101884.72,7307.01,228850.69,2943115.5,3535.86,5806.08,11882.61,48976.82,67689.72,158224.92,,223591.22,16983090.0,630107.94,546295.2,1812207.5,108797.25,252.56,721160.4,16340.21,10454.64,63605.7,117336.0,11932.8,117484.29,616400.4,20831.34,988.02,161259.2,735999.3,291073.5,2156807.5,87125.45,487374.72,15075.55,1742030.1,20277.18,394212.66,2248.14,38881.43,,29194.02,703489.44,202731.33,64575.81,42198.4,,105075.7,1773.09,355545.97,15507.52,208726.55,40988.32,,3929271.0,9529322.0,,1271730.2,710700.75,145078.22,545654.4,40542.3,188141.38,,351481.7,1234362.8,116242.56,316307.03,2548.18,696.46,418768.12,51273.09,104792.02,70040.7,111675.51,140432.05,2343.65,355055.88,48070.75,28485.75,5370.35,21743.28,650951.25,251.46,40308.99,564993.7,6215.16,2141803.5,1468.17,22677.45,444269.0,3489.02,824742.1,6930.42,55785.67,604616.25,74347.52,15959.79,510145.0,487471.7,,488245.0,3787380.5,31.68,,,547435.44,297.0,59132.19,57009.54,98278050.0,3000127.0,62491.15,548520.5,2126193.5,173.88,135061.12,382868.38,310779.03,98088.0,105391.5,120400.28,17212.14,201807.55,1615405.5,325207.06,496440.56,867401.25,359270.16,43581.12,14843.92,173254.2,107622.97,287.47,,63662.22,,5855.5,9716.16,55072.71,,,27579.2,1420.02,523437.6,120865.92,173572.62,826131.2,195114.0,115598.78,22574.88,2835.36,17184.6,180786.88,1171945.0,222.04,1335288.0,977722.94,324618.38,44783.95,3854807.2,587330.7,1776.06,489218.53,1431777.0,4881.1,3158.1,664243.8,848304.94,483086.7,314057.7
