Date,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BEL,BGR,BHR,BHS,BIH,BLR,BLZ,BRA,BRB,BRN,CAN,CHE,CHL,COL,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,ECU,EGY,ESP,EST,FIN,FJI,FRA,GBR,GEO,GLP,GRC,GRD,GTM,GUF,GUY,HKG,HRV,HUN,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KGZ,KNA,KOR,KWT,LBN,LCA,LKA,LTU,LUX,LVA,MDA,MDV,MEX,MKD,MLT,MNE,MNG,MTQ,MUS,MYS,MYT,NIC,NLD,NOR,NZL,OMN,PAN,PER,PHL,POL,PRI,PRT,PRY,QAT,REU,ROU,RUS,SAU,SGP,SLV,SRB,STP,SUR,SVK,SVN,SWE,SYC,SYR,THA,TJK,TKM,TTO,TUR,UKR,URY,USA,UZB,VCT,VEN,ZAF
1950,,,,,,1.8941767,,,,,,,,,,,,,1.571222,,,,,,,,,,,,,,,,,,,3.0441604,1.3822237,,,,,,,,,,,2.6708355,,,,,,,,3.1245165,,,,,,,,,,,,,,,,,,,,,,,,3.1397195,,1.7861093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0896043,,,,
1951,,,,,,1.7692082,,,,,,,,,,,,,1.4802238,2.106022,,,,,,,,,,1.3936089,,,,2.5902107,,,,3.0441604,1.2846365,,,,,,,,,,,2.1754518,,,0.96069866,,1.8949558,,,1.5550692,,,,,,,,,,,,,,,,,,,,,,,,2.6906235,1.7991059,1.9483967,,,,,,,,,,,,,,,,,,,,,1.3137724,,,,,,1.8044535,,,,1.0754342,,,,
1952,,,,,,1.6360896,,,,,,,,,,,,,1.4124652,2.21107,,,,,,,,,,1.6873436,,,,2.0168815,,1.24795,,3.4586246,1.2673273,,,,,,,,,,,2.3643355,,,2.0332718,,2.1092627,,,1.6688713,,,,,,,,,,,,,,,,,,,,,,,,2.4372911,1.6504205,1.7252328,,,,,,,,,,,,,,,,,,,,,1.3417313,,,,,,1.6252031,,,,1.0727948,,,,
1953,,,,,,1.4802713,,,,,,,,,,,,,1.454691,2.0771275,,0.8970199,,,,,,,,1.9135959,,,,2.112797,,1.1521603,,3.5700412,1.2369634,,,,,,,,,,,2.3532133,,,1.431127,,1.9360666,,,1.6981491,,,,,,,,,,,,,,,,,,,,,,,,2.4419312,1.8126144,1.7053503,,,,,,,,,,,,,,,,,,,,,1.155953,,,,,,0.89507025,,,,1.0135475,,,,
1954,,,,,,1.5830328,,,2.329744,,,,,,,,,,1.3114359,2.2193716,,1.0951108,,,,,,,,1.7149304,,,,2.107175,,1.3188375,,3.8502288,1.2112725,,,,,,,,,,,2.2090895,,,0.84586465,,1.7456557,,,1.7038327,,,,,,,,,,,,,,,,,,,,,,,,2.532316,1.7902462,1.7058699,,,,,,,,,,,,,,,,,,,,,1.0980732,,,,,,2.1595416,,,,0.9835317,,,,
1955,,,,,,1.6919401,2.3577857,,2.150943,,,,,,,,,,1.3288699,2.303141,1.728083,1.0335901,,,,,,,,1.4462117,,,,2.0252657,,1.0411139,,3.9188228,1.2463166,,,,,,,,0.25171745,,1.2274139,2.0864503,,,1.0009099,,1.753569,,,1.6848756,,,,,,,,11.063072,,,,,,1.3545281,,,,,,,,,,2.525687,1.5498815,1.586476,,1.2807759,,,,,1.1872687,,,,,,,,,,,,,,1.132092,,,,,,1.206111,,,2.2040975,0.95799285,,,1.0972712,
1956,,,,,,1.713363,2.0593383,,2.2112706,,,,,,,,,,1.3109934,2.161984,1.7969334,0.78030515,,,,,,,,1.4624906,,,,2.062975,,1.0074135,,4.173164,1.1869942,,,,,,,,0.22814476,,1.2893817,2.0967267,,,1.6478751,,1.562858,,,1.7320487,,,,,,,,11.239022,,,,,,1.2154906,,,,,,,,,,2.4053195,1.4342417,1.6703899,,1.2452108,,,,,1.2411264,,,,,,,,,,,,,,1.2135888,,,,,,1.6255605,,,1.9168847,0.93596834,,,1.1403834,
1957,,,,,,1.5573317,1.5823423,,2.249629,,,,,,,,,,1.298882,2.097286,1.5714817,0.7637759,,,,,,,,1.4282291,,,,2.2210484,,0.8885398,,4.347357,1.1782814,,,,,,,,0.18081313,,1.2658594,1.9002652,,,1.2100259,,1.5213037,,,1.6096858,,,,,,,,10.844231,,,,,,1.1894969,,,,,,,,,,2.3464808,1.3841623,1.600997,,1.0024478,,,,,1.3636721,,,,,,,,,,,,,,1.130832,,,,,,1.7300563,,,1.8330033,0.9285861,,,1.0547773,
1958,,,,,,1.5718501,1.4735985,,2.151795,,,,,,,,,,1.3528006,2.1042593,1.565276,1.0254432,,,,,,,,1.2078922,,,,2.129738,,1.0841295,,4.0358915,1.1474406,,,,,,,,0.24825975,,1.3252815,1.8950012,,,1.2017168,,1.5296379,,,1.5959041,,,,,,,,10.433298,,,,,,1.1714859,,,,,,,,,,2.1585982,1.3714647,1.6747943,,1.190187,,,,,1.132864,,,,,,,,,,,,,,1.0525575,,,,,,1.8660812,,,2.0447161,0.9838666,,,0.9587391,
1959,,,,,,1.5625701,1.411845,,2.2081532,,,,,,,,,,1.3436922,2.0907803,1.5144299,1.0818056,,,,,,,,1.2097061,,,,2.1433136,,1.1203544,,4.071709,1.1794791,,,,,,,,0.28159273,,1.2273778,1.714219,,,1.0466989,,1.5967366,,,1.6429155,,,,,,,,10.06809,,,,,,1.1964507,,,,,,,,,,2.1375594,1.416832,1.6281712,,1.1491637,,,1.6341164,,1.2040428,,,,1.646972,,,,,,,,,,1.2808757,,,,,,,,,2.0325723,0.98779947,,,0.97450227,
