Date,AFG,AGO,ALB,ARG,ARM,BDI,BEN,BFA,BGD,BIH,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CHN,CIV,CMR,COD,COG,COL,COM,CRI,CUB,DOM,DZA,ECU,EGY,ETH,FJI,GAB,GEO,GHA,GIN,GMB,GNB,GTM,GUY,HND,HTI,IDN,IND,IRQ,JAM,JOR,KAZ,KEN,KGZ,KHM,KIR,LAO,LBR,LBY,LCA,LKA,LSO,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MWI,NAM,NER,NGA,NIC,NPL,PAK,PER,PHL,PNG,PRY,PSE,RWA,SDN,SEN,SLE,SLV,SRB,STP,SUR,SWZ,SYC,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUV,TZA,UGA,UKR,UZB,VNM,WSM,YEM,ZAF,ZMB,ZWE
2011,,,,,,,,,,0.008307496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07449489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,0.008528862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007201862,,,,0.0035339051,,,,,,,,,,,,,0.6012798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008404318,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18473454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,0.016066726,,,,0.11167629,,,,,,,,0.019681796,,,,,,,,,0.13351782,,,,,,,,,,,,,,,,0.0074214647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2794396,,,0.03246251,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,0.28243506,,,0.000690069,,,,,,0.017108832,,0.016346041,,,0.0726387,,,,,,,0.019657273,,,,,,,,,,,,,,,,,,,,,,,,,0.0016106326,,,,,,,,,,,,,,,,,,0.17584622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,0.4088611,,,,,,0.03775427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19958769,,,,,,,,,,,,,,,0.011184699,,,,,0.0026540936,,,,,,,,,,,,,,,,,,0.2632909,0.018848581,,,,,,,,,,,,,,,,,0.22151424,,,,,,0.28102848,,,,,,0.024890643,,
2017,,,0.0027478787,,,,,,,,,,,,,,,,,,0.33118874,,,,,,,,,,,,,,,,,,,,,,0.014010749,,,,0.0015259205,,,,,,0.10833325,,,,,,0.026696723,,,,,,,,,,,,,,,,,,0.19824739,,,,,,,,,,,,,,,,,0.17961626,,0.029005922,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,0.46134752,,,0.23206012,,,,,0.002006301,,,0.005409093,0.00793744,,,,,0.0012446003,,0.37322164,,0.34068874,,,,,,,0.03269432,0.010810291,,,,0.0014259649,,0.08015741,,,,,,0.08435919,,,,,,0.0014220629,0.37606293,,0.0048989006,0.02812682,,,,,,,,,,,,,,,,,,,,,,0.011232468,,,,,,,,,,,,,,,,,,,,,0.23168507,
2019,,,,0.0014692951,,,,,0.10406027,,,,,,,,,,,,,,,,,0.002688705,0.008786188,,,,0.36660424,,0.03665673,,,,0.19802307,,,0.0071647093,0.05115417,,,0.06881057,,,,,,,,,,0.25929374,,,,,,,,,,,,,,,,0.32703725,0.23109521,,,,,,,,,,,0.0019800924,0.23100196,,0.26286197,0.2928993,,0.00043311415,0.047923375,,,0.002963461,0.5170112,,,,0.00084917736,,0.0033361549,,,0.008084608,,,,,,0.024600489,,,,0.10994179
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007729395,,,,,
2021,,,,,,,0.2895098,0.34289196,,,,,,,,,,,0.2102151,,,,,,,,,,,,,0.0057576634,,,,,,,,,,,,,,,,,,,0.07036792,,,,,,,,,,0.3859274,,,,,,,,,,,,,0.17481731,,,,,,,,,,,,,,,,,0.032648794,,,,,,,,,,,,,,,0.0061037554,,,,,,
2022,0.3603053,,,,,,,,,,,,,,0.0386035,,,,,,,,,0.08429893,,,,,,,,,,,0.112784564,,,,,,,,,,,,,,0.11335198,,,,,,,,,,,,,,0.019901168,,,,,,0.33437392,,,,,,,0.08520436,,0.024804493,0.015788116,,,,,,,,,,,,,,,,0.0018171865,,,,,0.002072984,,,0.22133659,,,,,,0.18783963,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034418495,,,,,,,,,,,
