Date,ALB,AND,ARG,ARM,AUS,AUT,AZE,BEL,BFA,BGD,BGR,BIH,BLR,BOL,BRA,CAN,CHE,CHL,CHN,COL,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GRC,GTM,HKG,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ITA,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LBN,LBY,LTU,LUX,LVA,MAC,MAR,MDA,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MYS,NGA,NIC,NLD,NOR,NZL,OWID_CYN,OWID_KOS,PAK,PER,PHL,POL,PRI,PRT,PSE,QAT,ROU,RUS,RWA,SGP,SLV,SRB,SVK,SVN,SWE,THA,TJK,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE
1993,,,,,,,,,,,,,,,,,,58.6,,,,47.72727,,,,,,,25.71491,,,,,,,,,,,,,,,43.36,,,,,,,,,,,,,,,,,,,,,,24.23253,,,,,,,,26.07393,,,,,,,,,,,,,,,,,,,,,34.76395,,,,,,,43.39806,,,,,,,,,,,,,
1998,37.93794,,26.04412,41.2,25.79581,,85.86414,,,77.2459,55.97015,69.33334,47.89675,,48.29396,,50.33006,51.9032,,35.49026,,29.81691,20.03949,,11.99041,,,,30.09069,48.67776,,31.00304,,,50.0,,,,,50.50167,,42.46154,,48.28431,,,,,,,29.98103,,,,43.79504,,,,33.20119,,37.41667,,,42.68293,,41.45695,18.89447,,,,44.58333,,,26.07937,,,65.66105,15.2373,,,,36.99422,57.33333,36.25325,51.80413,,,,20.09685,24.95098,,,40.27113,32.89063,41.55251,39.42403,41.32805,,,,,50.44804,67.5641,,,40.51939,41.66298,29.73215,,26.33333,,,62.93204,,
2004,57.3,,18.82938,,,,,,,86.46667,,29.33333,,,,40.61345,,56.94445,95.2,,,,,,,50.93604,,53.33334,42.8978,,,,,,,,,,,,,,50.6,48.55145,,57.03002,36.43011,,,79.73347,25.40382,,,34.89933,28.91667,,,,,,,,54.82153,36.30298,,35.96665,10.74196,,,,31.79245,,,46.43917,,,,,,,33.3,19.18721,47.65032,,43.47222,,,,,,,,,28.25,,,,,,,,45.49636,,78.99231,75.54516,,,37.25867,,55.66667,96.9,,59.26035,,47.19424
2010,24.0801,33.4654,36.82981,51.65641,38.85142,17.6125,,31.74865,44.17831,,20.90605,20.50631,59.37632,,45.87339,36.75193,60.50675,45.9654,87.51522,50.38017,54.82063,20.07074,25.00162,53.92833,,,,,38.25194,35.24817,23.93333,51.27054,31.84488,24.15833,37.93161,70.73012,21.16206,36.14871,54.95208,13.97642,,16.58599,53.77358,44.07796,35.93869,48.27457,56.60867,31.9929,26.40526,82.73673,29.10584,,,,45.54817,,,,22.89316,65.29084,20.42965,,52.5,32.03136,,43.91026,50.40136,65.63324,48.39477,,36.39989,,75.43713,,,39.44902,51.89311,37.52621,45.95597,62.44709,,11.47664,,19.52488,,29.38385,,,24.71,48.65783,,,,19.01999,46.38236,31.95703,45.85957,38.52673,,26.2919,,54.19089,32.29883,,,23.26649,60.7,37.61183,,,95.71906,,69.4199,40.96064,
2014,,,31.64394,38.33352,30.01254,,80.07723,,,,,,56.06274,,41.06213,,,33.6,84.54762,39.21958,38.52059,,44.32367,,,33.91667,50.41597,39.69149,20.70057,52.7685,,,,,32.44592,60.79173,,,59.4,,5.130836,,,45.7332,,,38.16666,,,54.16667,24.31437,74.80428,,57.66666,49.54932,60.55257,22.75,22.54261,,,,,44.33333,,,38.7,,,,,,,75.07693,37.93018,,32.9653,,44.70868,,,35.85514,21.82331,57.64589,15.95533,,,37.1,82.80832,18.36485,47.60773,63.52325,79.7965,,,,7.764266,59.8119,51.12443,,34.93494,17.84232,58.8783,44.81454,,,25.34536,59.0,32.59575,95.2,,,27.5,46.06091,,50.73754
2022,14.15623,48.70518,29.22181,28.62215,30.23791,38.38537,89.51009,,,81.16666,19.8971,18.30292,49.93998,23.31882,22.55978,46.15686,66.28498,36.28298,94.63369,11.9079,34.33741,23.8234,37.68225,39.15484,,,31.83333,,21.97542,40.1803,65.50041,41.63538,30.72017,26.25516,37.3781,,12.94653,9.1131,55.00685,9.54931,,37.61436,78.81444,63.72361,,51.70113,19.25,30.85504,23.72037,36.1596,39.8374,68.57367,44.78673,52.19461,51.3253,,19.83333,28.42809,38.9565,,29.9545,68.70078,21.0,,29.54764,17.40929,25.7701,,,80.16666,36.09199,38.57949,50.11424,40.11448,27.5,38.64028,59.26403,51.60976,,,62.35589,10.58161,81.59974,23.04586,14.90683,34.43631,,,18.82739,51.79763,,80.64,,26.93663,26.26226,14.12274,50.67045,52.42536,89.25,,11.93656,68.77847,52.32388,,,16.85635,53.63653,33.33441,83.27974,17.31092,92.91666,,,,51.72982
