Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ATA,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
1750,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0
1751,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0
1752,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0
1753,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0
1754,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0
1755,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0
1756,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0
1757,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0
1758,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0
1759,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0
