Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1850,2992755.2,8282216.0,1268733.2,20371.84,-732.8,11577471.0,1048013.9,107062.08,9545233.0,3940339.0,4210156.0,1345420.8,4557503.0,-5209951.5,486872.34,19943922.0,4222650.0,0.0,2161.76,4606857.0,40103652.0,152239.2,25746854.0,39295596.0,60016.324,44407.68,406154.4,340458.88,1117336.8,70846990.0,3702215.5,10211825.0,245248240.0,131241300.0,2239473.5,28040334.0,3806676.0,0.0,43083988.0,39681.12,23925.92,2622434.8,5366148.0,414581.6,10565657.0,25205462.0,15791.841,70678.56,8363776.5,604450.06,4942956.0,10089850.0,91233.6,235228.8,30255920.0,14561872.0,38312104.0,18405626.0,462909.78,41771100.0,0.0,1536938.1,8535398.0,9199388.0,2493938.2,65275850.0,141540.33,259924.17,8463.84,10725811.0,28249.44,9544097.0,5705654.0,9418129.0,3349702.0,2256144.8,16163077.0,89678200.0,302760200.0,4323666.5,5921244.0,545716.1,1551264.2,31144.002,24878816.0,704000.94,15205.6,17342994.0,21703264.0,2393581.2,1602963.2,1220002.0,0.0,20518.398,893869.44,-11871.36,4835491.0,89987.84,20306842.0,54190.562,20958.08,7181.44,23412190.0,121058.555,22432072.0,481852.66,11309229.0,6087333.0,366.4,4587584.5,11154718.0,73.28,21826740.0,0.0,1324499.4,1426908.1,32682.879,45767940.0,1676646.4,10088861.0,20126206.0,35394.24,28139.52,1481465.1,11713735.0,620132.0,1391990.2,8303833.0,7910026.0,0.0,6693285.0,14328585.0,4241666.5,0.0,10057424.0,-4799.84,2638611200.0,231418.25,3428881.0,7480349.0,58570760.0,0.0,-4218290.0,39030760.0,3297270.2,2148423.0,3051965.5,-3957.1199,-73.28,23803654.0,550025150.0,987704.44,-256443.36,1414816.9,778160.4,518565.94,932378.06,2659184.5,3344719.0,14399.5205,335036.16,14548351.0,4759389.5,121058.555,233396.8,5171260.0,1030096.94,27324134.0,543627.7,0.0,773470.4,8479925.0,-88925.28,13968963.0,535860.0,523145.94,2757856.2,22936.64,1068898.6,478738.22,14882178.0,0.0,7245889.5,4855825.5,50291990.0,892367.2,797973600.0,1923197.0,36.64,10076.0,48451052.0,18749384.0,119043.36,31070.72,-562900.3,2773904.5,9727627.0,854628.0
1851,3014959.0,7798970.5,1323033.8,17184.16,-769.44,12114832.0,1031049.56,63973.438,11881693.0,3952283.8,4186413.2,1341903.4,4544679.0,-5245016.0,503213.75,16038426.0,3831481.2,0.0,2161.76,4545595.0,39742348.0,387504.66,37212680.0,47434692.0,56205.76,31400.479,793256.0,341851.2,856679.8,98030390.0,3645350.2,9581213.0,242141310.0,177204270.0,6899898.0,22761866.0,3175735.2,0.0,41736990.0,39681.12,24365.6,2344557.0,4517309.0,452577.28,10845769.0,23916944.0,15755.2,76467.68,8716437.0,552934.25,4841023.0,1097148.1,-15608.64,252706.1,28415200.0,14523290.0,37511884.0,17396306.0,1259756.5,36033464.0,0.0,1449002.0,5716793.0,9111232.0,2247314.2,84620450.0,149454.56,298176.3,979313.94,10851009.0,27040.32,11693216.0,-1816098.2,9073420.0,3320500.0,1694197.0,15633812.0,167562780.0,232325740.0,4055498.5,5911058.0,549123.6,1539136.5,30337.92,26385528.0,222038.4,14436.161,14150625.0,21901376.0,2072395.0,1615824.0,1129867.6,0.0,14069.76,911383.4,-12054.56,3996141.5,91087.04,24689680.0,54263.84,21287.84,6705.1196,21733382.0,124685.93,22428662.0,475697.12,11285046.0,6086014.0,329.76,4236940.0,9848612.0,73.28,20854352.0,0.0,1332963.1,1817930.2,30118.08,52052436.0,1734830.6,9204261.0,21568172.0,34111.84,26124.318,1343808.6,-6680058.5,618043.5,1281154.2,6291014.5,7834511.5,0.0,6614912.5,14317190.0,3735741.2,0.0,10555801.0,-6155.52,2819713500.0,168653.92,3161299.2,3247586.2,71049320.0,0.0,2459643.2,40131644.0,3201859.8,2275820.2,2653249.0,-5092.96,-73.28,24085560.0,630546200.0,975320.1,-264357.6,1335161.6,813811.06,379956.78,171365.28,3619555.5,3354502.0,14546.08,331701.94,14888005.0,4737149.0,70165.6,217238.56,5056320.0,1059005.9,27556686.0,541905.6,0.0,775742.1,13471246.0,-107904.8,15793673.0,539524.0,528458.7,1850393.4,22790.08,979020.75,498267.34,14919039.0,0.0,6931079.0,4578681.0,54660540.0,1297422.4,861796500.0,1941370.4,36.64,10112.641,61239876.0,19758376.0,-6778.4,29238.72,-572060.3,3004663.2,9591326.0,841620.8
1852,3035001.0,7421469.0,1372461.1,15095.681,-806.08,12039904.0,1020790.44,41036.797,6802912.5,3926342.2,4168972.5,1343405.5,4298348.5,-5286859.0,498780.34,15727206.0,3571300.8,0.0,2161.76,4622869.0,39808188.0,224456.64,43983060.0,34691964.0,54117.28,49573.92,867928.3,342364.2,802452.6,111938390.0,3654510.2,9874627.0,229183490.0,204827540.0,-991698.3,24606580.0,5217462.5,0.0,31503256.0,39497.92,24622.08,2602759.0,4096095.8,477382.56,10986870.0,23865830.0,15718.561,79215.68,9024212.0,579095.2,4781996.5,8801221.0,-104130.875,232114.39,27383270.0,14477344.0,36986212.0,17761864.0,90097.766,32561930.0,0.0,-363798.56,2573886.8,9027803.0,2357014.5,99361890.0,154181.12,345661.75,-1092934.6,10944441.0,26344.16,8959176.0,2695018.5,8951042.0,3441119.0,1972367.8,15152802.0,187896140.0,195352260.0,3148731.8,5906991.0,549966.4,1524810.2,29238.72,27553756.0,382484.97,13630.08,13183291.0,21938090.0,1959983.5,1625826.8,1062266.9,0.0,10552.32,701582.7,-12237.76,3361976.5,92039.68,28686408.0,53457.758,21214.559,6375.36,20686944.0,127470.57,22525502.0,479068.0,11251191.0,6085574.5,293.12,4019920.8,9690987.0,73.28,20939798.0,0.0,1346117.0,2030075.8,27809.76,52426564.0,1824232.4,9213678.0,21710336.0,32169.92,19529.121,1136206.4,17655752.0,610165.94,1210146.0,5712616.0,6486123.0,0.0,6456884.0,14295939.0,3497434.5,0.0,11531084.0,-7291.36,2857498600.0,111532.164,3359008.8,7917977.5,59534430.0,0.0,-3000523.0,40949596.0,3503407.0,2353387.2,2464516.2,-6045.6,-73.28,24503110.0,618628000.0,1029803.9,-271832.16,1299620.8,827734.2,1259610.0,229329.77,4117383.2,4349498.0,14765.92,329100.47,15198675.0,4732019.0,98268.484,211889.11,5061706.0,1112134.0,27972002.0,534137.94,0.0,776255.06,16803398.0,-141247.2,21053124.0,541832.3,531609.75,1813863.2,22496.96,939889.3,510102.06,14932779.0,0.0,6973911.0,4294757.5,57907690.0,1661843.9,914353100.0,1952912.0,36.64,10112.641,62803564.0,19201338.0,71338.086,26454.08,-580194.44,3181597.8,9669553.0,826048.75
1853,3052221.8,7139157.5,1410456.9,13410.239,-842.72003,12141067.0,1012106.75,25977.76,11687134.0,3880909.0,4155892.2,1342049.9,4674531.0,-5330607.0,485186.9,14415861.0,3367435.8,0.0,2198.4001,4702121.0,39463810.0,639990.9,48867756.0,34070108.0,52761.598,139085.44,596425.94,342400.8,723273.6,86922980.0,3819243.5,10107584.0,241295330.0,225624320.0,1447133.4,5778091.5,141064.0,0.0,35454476.0,39314.723,24732.0,2144539.2,3831701.5,497791.03,11007023.0,23545158.0,15681.92,81450.72,9264754.0,610935.4,4744843.0,14146887.0,-180452.0,220646.08,26646256.0,14520579.0,38258464.0,17955066.0,-139341.92,29009574.0,0.0,300631.22,1584680.0,9034765.0,2329534.5,109888630.0,157332.16,353429.44,-500722.22,11019957.0,25867.84,9321070.0,989792.94,8965661.0,3476916.0,2172385.5,14741847.0,210963000.0,173143090.0,2929075.0,5906075.0,549563.4,1509751.2,27956.32,27284820.0,500795.53,12860.64,12985802.0,22044932.0,2109548.0,1634730.2,1075090.9,0.0,8207.36,880752.3,-12420.96,2643209.8,92845.76,29157526.0,52321.918,21434.4,6595.1997,19972720.0,129742.234,22543640.0,489437.12,11324398.0,6085904.0,293.12,3825325.8,11243790.0,73.28,21178726.0,0.0,1354507.5,2163775.2,25757.92,56534824.0,1904327.2,10378170.0,23713592.0,30081.44,16781.12,1093630.8,31027596.0,601628.75,1135327.0,5782964.5,4502726.0,0.0,6796536.5,14324444.0,3343033.8,0.0,9922222.0,-8317.28,2905597700.0,47851.84,3757505.2,12236844.0,78483500.0,0.0,-6695484.0,41228136.0,3507473.8,2408457.0,2321400.5,-6851.68,-73.28,24821256.0,626030500.0,987191.56,-279013.6,1264226.5,831288.3,598184.6,-258421.9,4562266.0,4322933.5,14912.4795,326572.3,15508539.0,4712527.0,65695.516,211229.6,5083213.5,1116274.2,28091888.0,525417.6,0.0,775888.6,19202878.0,-179023.03,21478478.0,543994.06,533661.6,1570317.1,22277.121,920616.7,517833.12,14938165.0,0.0,6681377.0,4174761.5,60449732.0,1935031.6,925058560.0,1960972.8,36.64,10112.641,74953170.0,19339874.0,53421.12,24292.32,-587815.5,3281808.2,9788706.0,833486.7
1854,3067244.2,7070604.0,1438669.6,11248.48,-842.72003,12207532.0,1004742.06,15059.04,12356400.0,3851413.5,4147354.8,1341830.1,4923390.0,-5374611.5,467709.56,13892569.0,3170496.0,0.0,2198.4001,4681053.0,39816870.0,318548.16,52175104.0,36451050.0,51772.32,101163.04,1107370.8,342144.3,796553.6,74277490.0,3597791.5,11688563.0,218166770.0,235559760.0,1349011.5,12762225.0,2496393.2,0.0,30858134.0,39131.52,24805.28,2160624.2,3640367.2,515451.53,11070483.0,22962326.0,15681.92,82733.12,9562674.0,607124.8,4719415.5,-5846315.0,-247869.6,226398.56,26083358.0,14668092.0,36767290.0,18260754.0,192286.72,26756178.0,0.0,413079.38,1085936.4,8951738.0,2290439.5,117411016.0,159493.92,401794.25,-115599.2,11088034.0,25464.799,8813092.0,1651071.6,7879359.0,3419135.0,2127831.2,14275713.0,248556540.0,158251970.0,3011844.5,5906661.0,548427.56,1494252.4,26600.639,26269964.0,473242.25,12091.2,13820425.0,22047314.0,1993948.8,1642864.2,1032661.75,0.0,6485.28,870309.9,-12604.159,4326414.5,93505.28,32578932.0,51112.797,21324.48,5679.2,20113564.0,131647.52,22835036.0,495519.38,11423985.0,6086234.0,256.48,3656122.5,10217247.0,73.28,20802762.0,0.0,1364656.8,2253213.5,23925.92,54855390.0,1954194.4,11104229.0,21939556.0,28066.24,9892.8,1156724.8,13427974.0,593238.25,1078132.0,5069620.5,4522951.5,0.0,7033267.5,14297807.0,3249088.8,0.0,9770935.0,-9269.92,2914840300.0,15278.88,3400888.2,5458847.5,60415696.0,0.0,-4202535.0,41228060.0,3178080.5,2460632.5,2238520.8,-7621.12,-73.28,24558070.0,662773900.0,980229.9,-285828.66,1238835.0,829676.1,400768.3,-45946.56,4735390.5,3626737.2,14875.841,324007.53,15659019.0,4699812.5,159970.23,210826.56,5012645.0,1105392.2,28325504.0,510944.78,0.0,775045.94,21070014.0,-217678.23,20694894.0,546229.1,535090.56,1483113.9,22130.56,911236.75,523145.94,14932192.0,0.0,6531117.0,4242655.5,62814370.0,2145785.0,962976300.0,1967055.0,36.64,10112.641,74517000.0,18812882.0,69725.914,22790.08,-595106.9,3378428.0,9610122.0,836454.56
1855,3080618.0,7190233.5,1462229.1,9672.96,-879.36,12264031.0,998806.4,6741.7603,13525693.0,3796527.0,4146549.0,1348352.0,4473194.5,-5418140.0,449133.12,13736996.0,2998288.0,0.0,2198.4001,4691715.5,39417676.0,454262.72,54974580.0,42211988.0,51002.88,288136.97,481083.22,341741.28,755956.5,71412570.0,3831847.8,9001349.0,216141490.0,244227070.0,-5154295.0,13138518.0,2351042.2,0.0,31411104.0,38948.32,24878.56,2219980.8,3502894.0,530950.2,11108369.0,21940802.0,15645.279,83722.4,9626647.0,623063.2,4700472.0,17587896.0,-308362.25,235082.23,25625796.0,14690698.0,37652770.0,18261414.0,-344086.25,23761040.0,0.0,-1450431.0,-1374879.4,8884981.0,2101743.8,121844890.0,161069.44,397031.03,-2313523.0,11149259.0,25171.68,9012414.0,3143418.8,7220645.0,3488091.5,2212762.8,13660088.0,245129260.0,146436460.0,2548165.5,5907797.0,546998.56,1478167.6,25171.68,27553280.0,507500.66,11321.76,15634764.0,22122976.0,1925835.1,1650338.9,1002213.94,0.0,5129.5996,857669.1,-12787.36,2716086.5,94018.24,36163496.0,49903.68,21251.2,5972.32,19985326.0,133259.69,22945946.0,490682.88,11418673.0,6086197.0,256.48,3505751.8,9919437.0,73.28,21510024.0,0.0,1374549.6,2317919.5,22277.121,57526630.0,1989442.1,10876914.0,20651734.0,26234.24,13410.239,1045522.4,24319544.0,587375.8,1032441.94,5015686.0,3519821.8,0.0,6721498.0,14308800.0,3161482.5,0.0,9886241.0,-10185.92,2878520800.0,-18320.0,3240954.8,7809120.0,62472300.0,0.0,-1372864.1,41197064.0,3212448.8,2496393.2,2204006.0,-8353.92,-109.92,24409092.0,601372350.0,977042.25,-292350.56,1214103.1,825462.56,1287383.0,-307043.22,4921118.0,3215123.2,14985.76,321369.44,15822947.0,4685633.5,88412.32,216688.97,4959737.0,1149690.0,28721510.0,496984.94,0.0,773873.44,22556426.0,-255564.02,22408694.0,548574.06,536153.1,2068401.2,22020.64,907279.7,527029.75,14923472.0,0.0,6497334.5,4117273.5,64682864.0,2315648.0,974393800.0,1971891.5,36.64,10112.641,67307976.0,18614218.0,33379.04,21690.879,-602105.1,3479993.8,9522003.0,847263.4
1856,3092232.8,7113729.0,1487107.6,8427.2,-916.00006,12442175.0,993823.4,183.2,7858620.5,3865263.5,4143434.2,1344285.0,4867550.5,-5460899.0,430703.2,13546834.0,2848283.5,0.0,2198.4001,4760598.5,39825336.0,258788.31,57412936.0,46537090.0,50416.637,-134761.92,2085732.0,341191.7,767901.1,76357830.0,3661508.2,10445441.0,207717840.0,250463380.0,-333130.88,13441165.0,3229523.0,0.0,29857644.0,38838.4,24915.201,2218368.8,3393596.8,544580.3,11071619.0,21860304.0,15645.279,84821.6,9845278.0,621157.94,4685193.5,3043611.5,-363175.7,247356.64,25192454.0,14734079.0,36476656.0,18682662.0,987521.3,20840172.0,0.0,-55363.04,-4382254.0,8968373.0,2066092.9,122179570.0,162095.36,397214.25,-764823.4,11205685.0,24951.84,8891538.0,2560403.2,7123878.5,3565878.0,2238154.2,13312448.0,261311870.0,139979420.0,2012488.8,5909152.5,545386.4,1461972.6,23706.08,28558498.0,483318.22,10552.32,14240905.0,22164964.0,1904620.4,1657263.9,1022622.4,0.0,4030.4,928164.5,-12970.56,2541313.8,94457.92,33794096.0,48767.84,21397.762,5679.2,20019106.0,134688.64,22881606.0,493833.94,11478396.0,6085574.5,219.84,3380663.0,9057042.0,73.28,21317776.0,0.0,1385285.1,2364269.2,20811.52,59219910.0,2036854.2,9991838.0,22061348.0,24548.799,7987.52,1064208.9,11392219.0,593934.44,995069.2,4995314.5,3543454.5,0.0,6942620.5,14286303.0,3138179.5,0.0,6562773.5,-10992.0,2968884200.0,-50013.6,3204864.2,8156869.5,60432624.0,0.0,-8795872.0,40556412.0,3159284.0,2536440.8,2141754.5,-9050.08,-109.92,24608156.0,680425600.0,1018555.44,-298506.06,1205712.5,819673.44,621854.06,649187.56,5022428.0,3129056.0,15278.88,318768.0,16140213.0,4673615.0,133992.48,211229.6,4925698.5,1191349.6,28976744.0,496032.3,0.0,772517.75,23766134.0,-292020.8,21293116.0,548537.44,536995.8,1859846.4,21910.719,906436.94,529997.56,14939631.0,0.0,6391921.0,4057037.2,66337160.0,2459533.2,1004711550.0,1975921.9,36.64,10112.641,82764410.0,19183276.0,659.52,20811.52,-608993.44,3566537.5,9583815.0,840448.3
1857,3102089.0,7020260.5,1522758.4,7328.0005,-916.00006,12536779.0,989683.06,-5129.5996,15529975.0,3855627.0,4147245.2,1343259.0,5067348.5,-5502705.0,413152.62,13595419.0,2735212.8,0.0,2235.04,4818123.5,39441532.0,393330.4,59068736.0,46372900.0,49940.32,7694.4,-447484.3,340605.44,781641.1,95520440.0,3438114.5,10723319.0,197804160.0,256903890.0,3992038.0,7345147.0,2029782.8,0.0,30582420.0,38691.84,24915.201,2138090.8,3307676.0,556598.25,11076492.0,21147766.0,15608.64,85664.32,9976999.0,642189.3,4672076.5,10532497.0,-413116.0,224566.56,24792310.0,14803329.0,36745892.0,18615758.0,951064.5,18205316.0,0.0,477016.16,-5955612.0,8886116.0,2364635.8,129032824.0,162461.77,411870.25,372518.88,11259253.0,24732.0,8736002.0,2794459.5,6652981.5,3662974.0,2525302.0,12954951.0,246424660.0,132841580.0,1770151.6,5910471.5,543664.3,1445228.1,22240.48,28399188.0,538461.44,9782.88,16167767.0,22187646.0,1901469.4,1663639.2,1011410.5,0.0,3114.4001,838066.7,-13117.12,2149192.5,94751.04,35591656.0,47741.92,21471.04,5166.24,19673666.0,135934.39,23177400.0,493687.34,11539841.0,6084292.0,219.84,3256856.2,11912617.0,73.28,21713266.0,0.0,1398365.6,2399663.5,19455.84,51468428.0,2085072.4,6538555.0,21117172.0,23046.56,2198.4001,1045778.9,30879348.0,578435.7,966819.7,4804896.5,3861196.5,0.0,7069798.0,14337342.0,3051269.2,0.0,8963609.0,-11798.08,2951086300.0,-67271.04,3037602.5,7548206.5,67883580.0,0.0,-3835914.8,40348812.0,3553786.8,2564360.2,2104528.2,-9746.24,-109.92,24791136.0,609427200.0,998916.3,-304331.8,1164309.2,811722.56,431326.1,77127.2,5120073.5,3022800.0,15278.88,316056.62,16256032.0,4661963.5,121534.88,211705.92,4891183.5,1237003.1,29115684.0,494640.03,0.0,771015.5,24747608.0,-326718.88,22138768.0,547364.94,537655.4,1577132.2,21837.441,907426.25,532342.56,14928528.0,0.0,6309005.0,3989033.2,67826800.0,2573960.0,1017923600.0,1979402.6,36.64,10112.641,79125470.0,18544238.0,-11468.32,20115.36,-615735.25,3643371.5,9579565.0,845871.0
1858,3111139.0,6814527.0,1542324.2,6302.0796,-952.64,12748778.0,986238.8,-9526.4,15048965.0,3893769.5,4120498.0,1342782.8,4771553.5,-5543595.5,396737.94,13400970.0,2610673.2,0.0,2198.4001,4833475.5,39942656.0,247979.53,61070964.0,43681180.0,49500.64,61811.68,1030536.7,339945.94,799997.75,109996180.0,3424447.8,13430282.0,201497760.0,262392380.0,1951959.4,7158833.0,1910299.6,0.0,24619882.0,38618.562,24915.201,2583230.0,3231867.8,567187.2,11040255.0,20566326.0,15608.64,86104.0,10018548.0,648857.75,4660242.0,9228700.0,-458769.44,225519.2,24493804.0,14937541.0,37024790.0,18563876.0,-350168.47,16171540.0,0.0,397470.72,-7520103.0,8850209.0,2106580.2,130879440.0,162938.08,399852.34,-265530.1,11308094.0,24585.44,9901483.0,3695437.0,6385912.5,3668910.0,2351518.5,12484823.0,262831730.0,127784350.0,1615311.0,5910838.0,541905.6,1428080.6,20701.602,28748586.0,490572.97,9050.08,15736917.0,22185190.0,1941040.6,1669574.9,1014598.25,0.0,2344.96,951027.8,-13300.319,3046359.5,94934.234,35083170.0,46789.28,21361.121,5129.5996,19415244.0,137033.6,23219392.0,487531.8,11663721.0,6082350.0,183.2,3152615.5,9451069.0,73.28,21092660.0,0.0,1409980.5,2427619.8,18246.72,54703116.0,2138347.0,10406749.0,20357148.0,21690.879,9856.16,1011777.0,-4460297.0,571364.1,936628.25,4764482.0,3994199.5,0.0,6962736.0,14282345.0,3055189.8,0.0,8868639.0,-12530.88,2974829000.0,-110249.766,3345012.2,5443055.5,63821200.0,0.0,590636.8,39801664.0,3196876.8,2589971.8,2078184.1,-10405.76,-109.92,24642562.0,611833700.0,992797.44,-309827.84,1140969.6,804834.25,346431.2,-234422.72,5168255.0,3689354.8,15462.08,313308.66,16374159.0,4657164.0,104020.96,211925.77,4875941.5,1265875.4,29241102.0,488631.03,0.0,769366.7,25630414.0,-359584.97,20240120.0,547951.25,538241.56,1485385.6,21800.8,909588.0,534211.2,14926624.0,0.0,6241477.5,4492064.0,69478710.0,2673694.0,1048829200.0,1982443.8,36.64,10112.641,78844260.0,18333630.0,39900.957,19529.121,-622367.06,3699834.0,9619392.0,839825.44
1859,3119273.0,6977245.5,1553499.4,5642.56,-952.64,12825758.0,983271.0,-13227.04,10732039.0,3816825.5,4076566.2,1342746.1,4172746.2,-5583459.5,381495.7,13808114.0,2495880.2,0.0,2235.04,4807937.5,39781184.0,206173.28,62726620.0,32690904.0,49097.598,38032.32,-534540.94,339286.4,733606.06,122922584.0,3143785.2,12619073.0,191247760.0,264947330.0,13885681.0,19830924.0,4567506.0,0.0,27410604.0,38508.64,24951.84,2342248.5,3166978.5,576603.7,11063338.0,20181642.0,15572.001,85554.4,10271511.0,656259.06,4649176.5,-3525610.8,-500612.3,302976.16,24204604.0,15065746.0,36867024.0,18073340.0,92992.32,13114959.0,0.0,5698546.0,-9312898.0,8884138.0,1934042.2,133388540.0,163414.39,397580.66,3445698.8,11357045.0,24402.24,9253212.0,2074117.0,6979956.5,3596985.5,2269958.0,12208265.0,275450800.0,122389140.0,1128109.0,5911094.5,540073.6,1408221.8,19162.719,28044512.0,397580.66,8353.92,17718958.0,22235826.0,1949284.8,1675070.9,1065711.0,0.0,1722.08,794208.6,-13446.88,2431577.0,95044.16,36864456.0,45873.28,20664.96,3957.1199,20373452.0,138022.89,23527020.0,475220.8,11730222.0,6078649.0,183.2,3063507.0,11271820.0,73.28,20912574.0,0.0,1418297.8,2449017.5,17147.52,56219756.0,2132558.0,10010927.0,19928276.0,20481.76,4396.8003,998220.1,8220550.0,563449.94,925086.75,4765105.0,3303938.8,0.0,6615461.5,14311694.0,3010122.5,0.0,8709768.0,-13227.04,3038674200.0,-138975.52,2883751.2,8302990.0,63283030.0,0.0,-4204696.5,39912210.0,3553347.2,2606972.8,2073787.2,-11101.92,-109.92,24717784.0,602426200.0,993786.75,-314994.06,1127083.0,798642.06,896360.94,803332.0,5432466.5,4806508.5,15498.721,310560.66,16566446.0,4645366.0,117724.32,211156.31,4912801.0,1240190.8,29905860.0,498780.34,0.0,767644.6,26308364.0,-390619.03,21148974.0,548867.2,538717.9,1444458.8,21727.52,912482.56,535713.44,14944577.0,0.0,6685701.0,4247272.5,70899540.0,2763755.2,1088401300.0,1985155.2,36.64,10076.0,77463704.0,19454484.0,-20921.441,19052.8,-628815.7,3752449.0,9584950.0,844075.7
