Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1850,,,,,,,1048264.9,,9657285.0,6266979.0,4211668.0,,13889711.0,,,,,,,,40106816.0,,,,,,,,,70905620.0,,10305951.0,,,,,,,,,,,,,,40345110.0,,,8704528.0,,,,,,30750560.0,14563016.0,,,,61388156.0,,,130885550.0,9199854.0,,,,,,,,,,,,,,,,4719378.5,,,,,,,,,21710800.0,,1603610.2,,,,,,,,,,,,,,22433256.0,,11309987.0,,4588753.5,,,,,,,,,,,,,,,,,,,,,9829669.0,14467817.0,,,10057424.0,,2835458800.0,,,,,,,42233096.0,,,,,,,550094600.0,,,,,,,,,,,,,,,,27525654.0,,,,,,,536231.0,524107.94,,,,,,,,,50314016.0,,817766500.0,1926152.0,,,,,,,,,
1851,,,,,,,,,11988072.0,6286252.0,,,14712279.0,,,,,,,,,,,,,,,,,98100010.0,,9691661.0,,,,,,,,,,,,,,40786000.0,,,9027877.0,,,,,,28924496.0,,,,,56071880.0,,,122127970.0,,,,,,,,,,,,,,15908612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9732976.0,14467414.0,,,10555801.0,,3018492200.0,,,,,,,43590460.0,,,,,,,,,,,,,,,,,,,,,,,27772862.0,,,,,,,,,,,,,,,,,,,886429600.0,,,,,,,,,,
1852,,,,,,,,,6908967.5,6736630.0,,,15708044.0,,,,,,,,,,,,,,,,,112022664.0,,10055502.0,,,,,,,,,,,,,,43039544.0,,,9357636.0,,,,,,27918214.0,,,,,54131896.0,,,118571500.0,,,,,,,,,,,,,,15497218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10219812.0,14446163.0,,,11531084.0,,3065093600.0,,,,,,,45078924.0,,,,,,,,,,,,,,,,,,,,,,,28188178.0,,,,,,,,,,,,,,,,,,,941144260.0,,,,,,,,,,
1853,,,,,,,,,11839455.0,7105229.0,,,16461619.0,,,,,,,,,,,,,,,,,87025570.0,,10224113.0,,,,,,,,,,,,,,44305384.0,,,9623826.0,,,,,,27298448.0,,,,,54349800.0,,,116942750.0,,,,,,,,,,,,,,15086263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10966168.0,14489324.0,,,9922222.0,,3122834700.0,,,,,,,45544330.0,,,,,,,,,,,,,,,,,,,,,,,28319056.0,,,,,,,,,,,,,,,,,,,955220600.0,,,,,,,,,,
1854,,,,,,,,,12539926.0,7028101.5,,,17981886.0,,,,,,,,,,,,,,,,,74402060.0,,11693952.0,,,,,,,,,,,,,,47327930.0,,,10020674.0,,,,,,26632958.0,,,,,55969250.0,,,140098220.0,,,,,,,,,,,,,,14711729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12979940.0,14532303.0,,,9770935.0,,3169878800.0,,,,,,,46005916.0,,,,,,,,,,,,,,,,,,,,,,,28662592.0,,,,,,,,,,,,,,,,,,,996135500.0,,,,,,,,,,
1855,,,,,,,999567.4,,13741371.0,7497167.0,4151135.0,,17850458.0,,,,,,,,39427270.0,,,,,,,,,71562790.0,,9152249.0,,,,,,,,,,,,,,50556640.0,,,10080983.0,,,,,,26179060.0,14694168.0,,,,56832304.0,,,128794480.0,8886395.0,,,,,,,,,,,,,14114424.0,,,,,,,,,,,,22145824.0,,1652299.9,,,,,,,,,,,,,,22949532.0,,11420972.0,,3509295.8,,,,,,,,,,,,,,,,,,,,,11371114.0,14565280.0,,,9886241.0,,3138780700.0,,,,,,,46817640.0,,,,,,,601582900.0,,,,,,,,,,,,,,,,29036614.0,,,,,,,549700.06,539071.1,,,,,,,,,64749652.0,,1012554400.0,1980852.5,,,,,,,,,
1856,,,,,,12458826.0,,,8157506.5,8097183.5,,,18079934.0,,,,,,,,,,,46764280.0,,,,,,76537370.0,,10664988.0,,,,,,,29867364.0,,,,3778116.8,,,52784464.0,,,10493806.0,,,,,,25947238.0,,,,,55472300.0,,,135698940.0,,,,,,,,,,,,,,13788768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21325746.0,,,,,,,,,,,,,,,,,,11665516.0,14590415.0,,,6562773.5,,3247129900.0,,,8207598.5,,,,46873148.0,,,,,,,,,,,,,,,,,,,,,,,29453064.0,,,,,,,,,,,,,,,,,,2492386.2,1044748100.0,,,,,,,,,,
1857,,,,,,12577536.0,,,15861075.0,8728747.0,,,18822004.0,,,,,,,,,,,46641948.0,,,,,,95736616.0,,11167340.0,,,,,,,30600624.0,,,,3668407.0,,,54087130.0,,,10640183.0,,,,,,25642358.0,,,,,53485972.0,,,131617660.0,,,,,,,,,,,,,,13500887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21720592.0,,,,,,,,,,,,,,,,,,11287062.0,14641454.0,,,8963609.0,,3232267300.0,,,7610364.5,,,,47064924.0,,,,,,,,,,,,,,,,,,,,,,,29727572.0,,,,,,,,,,,,,,,,,,2620747.0,1058978700.0,,,,,,,,,,
1858,,,,,,12801546.0,987307.8,,15389448.0,11137498.0,4126937.0,,19222370.0,,,,,,,,39956132.0,,,43965730.0,,,,,,110259980.0,3571007.8,13881759.0,,,,,,,24639904.0,,,,3570280.8,,,56176744.0,,,10509524.0,,,,,,25644300.0,14942413.0,,,,50767028.0,,,127313350.0,8852195.0,,,,,,,,,,,,,12865879.0,,128178840.0,,,,,,,,,,22217276.0,,1672328.9,,,,,,,,,,,,,,23224428.0,,11666950.0,,3157592.5,,,21108140.0,,,,,,,,,,,,,,,,,,10670704.0,14549817.0,,,8868639.0,,3260377600.0,,,5488001.5,,,,47507056.0,,,,,,24646226.0,612129400.0,,,,,,,,,,,,,,,,29754062.0,,,,,,,549532.25,542338.56,,,,,,,,,69572500.0,2782878.0,1090477800.0,1995026.8,,,,,,,,,
1859,,,,,,12859583.0,984405.0,,11216987.0,9682890.0,4083395.2,,19070570.0,,,,,,,,39795480.0,,,33063618.0,,,,,,123237690.0,3348969.2,12871062.0,,,,,,,27415880.0,,,,3484454.5,,,53989370.0,,,10898055.0,,,,,,25835084.0,15070914.0,,,,48106160.0,,,140390050.0,8886244.0,,,,,,,,,,,,,12977705.0,,123025624.0,,,,,,,,,,22269856.0,,1677991.9,,,,,,,,,,,,,,23532360.0,,11733646.0,,3068785.0,,,20920552.0,,,,,,,,,,,,,,,,,,10140230.0,14637790.0,,,8709768.0,,3341246500.0,,,8336261.0,,,,47024030.0,,,,,,24721448.0,602739800.0,,,,,,,,,,,,,,,,30660644.0,,,,,,,550543.2,543063.9,,,,,,,,,70999010.0,2825349.2,1133721300.0,1998501.2,,,,,,,,,
