Date,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHR,BLR,BOL,BRA,BRN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COL,CRI,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GIN,GRC,GTM,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LKA,LTU,LUX,LVA,MAR,MDG,MEX,MLT,MNG,MOZ,MUS,MWI,MYS,NAM,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,POL,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SEN,SGP,SLV,SVK,SVN,SWE,TGO,THA,TJK,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,VEN,VNM,ZAF,ZMB,ZWE
1990,5556333.0,55637596.0,112984650.0,6047812.0,243259470.0,89439730.0,28109850.0,154952400.0,931446.7,813135.2,18281660.0,61411276.0,10828913.0,61744132.0,8641506.0,245326850.0,3976022.8,2700368.0,482821660.0,85890950.0,32076106.0,2320301000.0,5958296.5,3058784.8,61993930.0,5154996.5,6797854.0,151378180.0,1194982700.0,62013016.0,9369596.0,16178688.0,80346856.0,264639440.0,31367186.0,3920838.8,80704420.0,493190750.0,669354400.0,9895530.0,4595793.0,1003935.94,96501140.0,6785231.5,86021250.0,3326495.5,20937008.0,91851940.0,146570620.0,575270800.0,39542300.0,203094240.0,49513076.0,566591200.0,7456707.0,16150122.0,1317024600.0,279797250.0,8161171.0,20023604.0,1854298.9,320353820.0,38895260.0,803549.25,6336906.5,43266370.0,11813174.0,21566280.0,30469180.0,1401438.9,322263140.0,3393939.2,8913739.0,4019682.2,2693535.5,1534459.4,65994400.0,0.0,37871364.0,2685686.5,202049730.0,,1154471.9,26874880.0,12515062.0,22728989000.0,72298690.0,2955750.5,23874190.0,62264548.0,322647940.0,51941656.0,3773415.0,10638995.0,163330030.0,2042443400.0,523863.62,171242110.0,3403192.2,71347340.0,4102740.0,73170240.0,16469650.0,85610990.0,1288413.5,118718160.0,5206573.5,11772838.0,15802349.0,215421920.0,174952200.0,3644157.2,1531876.0,502687700.0,4893706.5,5046305000.0,93558280.0,23114090.0,219178690.0,2734426.5,17986418.0
1991,4613971.5,60921148.0,121404610.0,4612140.5,243839380.0,91102860.0,21489804.0,155622620.0,988411.6,867840.44,19372162.0,44822240.0,11377458.0,66975224.0,9152410.0,251716850.0,4857810.5,2634416.0,482018340.0,88132430.0,30904328.0,2399620900.0,5580441.0,3108456.8,60501236.0,5232120.5,6900507.5,130561090.0,1144087800.0,65738012.0,9940375.0,15680289.0,76224410.0,270338500.0,30258934.0,3964734.2,74547930.0,503991260.0,676410800.0,11348814.0,4996724.5,1025920.0,95414776.0,6795091.5,91872450.0,3400084.5,15646900.0,83755260.0,160149330.0,596522500.0,41247844.0,214216960.0,50076588.0,560269700.0,7433642.0,14440461.0,1335056100.0,207377740.0,7296972.5,17506112.0,1927480.2,341478850.0,22355250.0,863972.3,6981784.5,45863828.0,12423834.0,19853032.0,30757122.0,1463165.0,339502400.0,3244796.2,8748829.0,3727785.5,2818253.2,1544972.1,72804100.0,1044240.0,39880364.0,2649213.2,209690540.0,,1524244.2,26999210.0,13340166.0,23186102000.0,70489090.0,3070720.0,23671254.0,62417700.0,336924700.0,54192068.0,3821825.8,15713537.0,130005660.0,2078246400.0,472135.56,225114140.0,3642077.8,73941870.0,4688105.5,57339996.0,15594176.0,84683864.0,1386990.9,120673900.0,4504709.0,12440195.0,16912902.0,213469500.0,174731620.0,3833811.0,1556232.9,457222660.0,5425339.5,4959124000.0,97058890.0,22950168.0,241005250.0,2932458.5,17440960.0
1992,2915932.5,63375950.0,128623040.0,3619570.8,246443300.0,93150280.0,13266147.0,172350200.0,1038012.44,867030.94,20697682.0,42293470.0,10976561.0,45341350.0,9842901.0,253684200.0,5153832.5,2777312.0,495058370.0,95579200.0,33275944.0,2575790800.0,5816818.5,3288580.5,67376740.0,5734878.0,8328285.0,148252690.0,1207227300.0,69375670.0,10874228.0,19852258.0,85100060.0,292142200.0,24015174.0,4049602.8,103661760.0,545317060.0,692304400.0,9415085.0,4406704.5,1058896.0,104653210.0,8087680.0,99905736.0,3824089.8,18191014.0,95182280.0,184410740.0,646292100.0,42976932.0,220147150.0,58020220.0,610763700.0,7111328.0,17043094.0,1422217900.0,128350490.0,8412113.0,17932742.0,2023452.0,394770000.0,33432162.0,920580.75,7952913.0,52517760.0,12192271.0,18395950.0,35790284.0,1465510.8,347057540.0,3467651.2,9180077.0,3567917.8,3119923.5,1525655.0,81412720.0,1135840.0,43899612.0,3176908.0,237925070.0,,1729415.9,28315540.0,13668618.0,22528172000.0,77467020.0,3592383.2,24088856.0,76264320.0,347497300.0,60050184.0,4352860.0,22893600.0,120370400.0,776528960.0,479485.9,252957620.0,3749459.5,83933230.0,5006792.0,56067120.0,19738426.0,93657704.0,1414843.0,155043840.0,5006110.0,14009450.0,21214182.0,249407800.0,219379730.0,3747969.8,1609112.9,440844960.0,6122972.0,5146230300.0,94346310.0,22996514.0,228204140.0,2987313.2,17642970.0
1993,2672872.2,69008580.0,123940560.0,1807619.4,247363550.0,89104664.0,24020548.0,162693310.0,1158426.8,867497.8,21006336.0,45557076.0,15403185.0,38233530.0,10348205.0,262304290.0,5375684.0,3195008.0,482274180.0,87179150.0,35555756.0,2756960300.0,6567796.0,3457179.0,69147760.0,5758270.5,7576173.0,132393410.0,1160222800.0,67039616.0,11468734.0,22587286.0,91781384.0,271736960.0,17937296.0,4055717.2,85136970.0,503652200.0,656974850.0,8069988.5,4953278.0,1088208.0,99439970.0,7575750.0,95854230.0,3820595.5,18198392.0,86774660.0,193994180.0,651711100.0,40527656.0,213986880.0,58208964.0,557922800.0,7797852.5,16373680.0,1393489700.0,164761630.0,8721702.0,13267785.0,1983371.9,403342880.0,47891856.0,946622.9,7978991.5,32427548.0,12341043.0,14633019.0,35056332.0,1536554.9,353768130.0,3728668.2,6056658.0,3915054.5,3189827.5,1689809.5,87104350.0,1374000.0,43810212.0,3022111.5,219263020.0,,1912282.9,28332442.0,15318072.0,22755787000.0,82276190.0,3468485.2,26546522.0,71883896.0,337108830.0,58451810.0,4508598.5,26672066.0,111992216.0,1113468700.0,482945.0,276435360.0,3860638.2,84585010.0,5433652.0,51661980.0,18315330.0,87077390.0,1463666.9,153791660.0,3229081.0,12871586.0,19430018.0,231203360.0,208440940.0,4015475.8,1781855.8,373348600.0,5622835.5,5205142000.0,108057700.0,24954866.0,239198990.0,3165335.5,16777666.0
1994,2372639.5,79208350.0,124141624.0,1783797.5,255929250.0,88923350.0,18932636.0,162601520.0,1339188.5,905772.9,23220630.0,41664096.0,14029224.0,30285100.0,8562309.0,275677700.0,5263880.0,3030128.0,487508200.0,86533410.0,38215000.0,2749938400.0,5449633.5,5149864.0,72679640.0,6869797.5,7581857.5,125445900.0,1134810400.0,68790270.0,12118610.0,15084683.0,90351350.0,275376220.0,16629093.0,3343853.2,78333330.0,491447140.0,649380160.0,4917250.0,5714209.5,1124848.0,99363780.0,8619960.0,121528024.0,4017664.8,17833664.0,79703704.0,199494600.0,683170370.0,41146240.0,234569330.0,61180668.0,541776060.0,7596151.5,17914660.0,1467120800.0,142171540.0,9060961.0,10716403.0,2074679.1,425170660.0,53950140.0,1043267.25,8708449.0,28713614.0,11525180.0,13748540.0,35674224.0,1656691.4,365813760.0,3677279.5,5835109.0,3944150.8,3182969.8,1717031.9,87027110.0,1557182.8,78417060.0,3229232.5,215628830.0,,2131383.5,29082344.0,18990716.0,22992947000.0,88933100.0,3625155.2,27121928.0,74837864.0,324043970.0,59367704.0,5093080.5,28254108.0,104382610.0,1176426600.0,462123.34,270975100.0,4021816.5,91370136.0,6049665.5,44873530.0,17423080.0,86313784.0,1496170.9,160149660.0,1633453.1,11175375.0,17452558.0,210194080.0,209814290.0,3783657.5,1721864.4,274222340.0,5373411.5,5310252000.0,100949010.0,29188322.0,257106450.0,3204402.5,17374306.0
1995,2546507.8,79218590.0,128374100.0,2683164.5,261694300.0,93095390.0,23207606.0,166624060.0,1429159.8,941113.56,26392902.0,46635770.0,14329677.0,34913612.0,8065506.0,298741060.0,5265333.0,3044784.0,495688770.0,90505940.0,41406212.0,2994027500.0,7400359.0,5621156.0,66886500.0,6730895.5,7828005.5,123609850.0,1140176100.0,68149140.0,14921435.0,22375472.0,99970440.0,287549060.0,15670264.0,3702554.8,75296480.0,501696000.0,643082240.0,2274872.8,5884367.0,1165152.0,100647560.0,9156075.0,127077864.0,4457070.5,19692814.0,76228190.0,204554930.0,719236860.0,42215056.0,248754540.0,64932948.0,562669760.0,8694403.0,18438936.0,1498472800.0,129638130.0,10346054.0,10800947.0,2022564.2,451736000.0,53035456.0,1148788.0,9302170.0,28014280.0,9135568.0,12693523.0,36577136.0,1698590.1,325108000.0,3740099.0,5946404.5,4227326.5,3449282.0,1777619.4,98376344.0,1619488.0,76813224.0,3432954.8,219305040.0,,2789696.0,30336346.0,20008164.0,23532083000.0,88764030.0,3572482.8,28467862.0,80482024.0,321367300.0,63591500.0,5594982.0,29372880.0,105539784.0,1168602500.0,454761.2,254765970.0,3757885.5,89996360.0,6623922.0,46566396.0,18828130.0,85474250.0,1706651.1,171846100.0,814413.44,10160054.0,17878714.0,223915060.0,216849440.0,4128062.5,1965351.1,219263500.0,6011141.0,5370919000.0,109829850.0,32013216.0,270869440.0,3181845.5,15942752.0
1996,3026098.2,81470184.0,134316430.0,2788794.0,268098900.0,101102300.0,28322038.0,165605010.0,1701659.9,957194.2,27224548.0,48927364.0,14752314.0,48112704.0,8936429.0,321987100.0,5972431.0,2755328.0,505284770.0,108237690.0,48323188.0,3125396200.0,7227445.0,6111067.5,66455600.0,6588550.0,9065222.0,122418860.0,1124010900.0,73040020.0,16330094.0,23184798.0,101531704.0,272249730.0,16750374.0,3960924.0,74802920.0,504190100.0,671474000.0,7793459.5,7057436.5,1234768.0,99012904.0,8797196.0,122887304.0,4775145.0,19788922.0,70406260.0,229229810.0,768374100.0,50077996.0,263809760.0,66963730.0,530549000.0,7288001.0,15016363.0,1491879700.0,114787530.0,9483384.0,8796835.0,2252654.0,490956000.0,44852730.0,1206629.1,10186045.0,22757366.0,9186138.0,14256269.0,33588404.0,1427708.1,340747650.0,3858855.0,7484276.5,2865464.8,3992828.0,2031495.8,100593490.0,1718416.0,88779120.0,3425125.0,216958320.0,,2818606.2,32058858.0,19232300.0,24258167000.0,99063224.0,4186108.2,27893736.0,79838560.0,329158560.0,60811520.0,5264762.5,30517612.0,101604830.0,1253819600.0,464039.22,250998780.0,4645929.0,101822100.0,6105808.0,48290716.0,18260718.0,90920250.0,1684517.6,182690430.0,4147217.8,12988679.0,17193530.0,210769010.0,201441520.0,3858638.2,1720119.9,288102560.0,7306781.0,5539188000.0,96189950.0,38115436.0,264501340.0,3131359.2,16530932.0
1997,2226976.2,80398240.0,143625440.0,4078772.5,275706020.0,95237570.0,25668650.0,170667070.0,1908801.8,1040966.6,29130276.0,46664764.0,14153207.0,45283844.0,10940039.0,342514300.0,4426789.5,2799296.0,537294800.0,96369140.0,55015376.0,3058618400.0,6871433.5,6063665.5,72288230.0,7080530.5,8235678.5,118739870.0,1078284900.0,67407440.0,17658490.0,19827084.0,113132380.0,277673380.0,15952609.0,4403195.0,73525890.0,489656830.0,670544500.0,6953882.0,8652109.0,1289728.0,100204090.0,10182660.0,137423740.0,5385746.0,20953340.0,69882080.0,246936050.0,804072400.0,49212904.0,267996900.0,69542530.0,535073760.0,7941866.0,17609708.0,1467227500.0,107511200.0,9381856.0,5322844.5,2220587.8,498018080.0,49193156.0,1193395.2,10309678.0,21705568.0,8546759.0,13655621.0,32289954.0,1789953.2,376902820.0,3624567.8,6075250.5,1881353.9,3961447.2,1991068.0,112073000.0,1817344.0,89925256.0,3781037.2,211328110.0,,3062419.2,33841430.0,19278588.0,24401906000.0,97811070.0,4311211.5,31188800.0,88282810.0,322189400.0,70837860.0,5833905.0,34938264.0,90316100.0,1177988200.0,482527.53,214017600.0,4276201.0,111908456.0,7232266.0,47272852.0,18812410.0,86254150.0,1370001.1,173611380.0,3106662.0,13845321.0,17189768.0,224856200.0,219765920.0,4261794.0,1845325.1,276919900.0,8001237.0,5644761000.0,116022280.0,45593228.0,278612060.0,4074401.5,14958614.0
1998,2536909.2,92748880.0,147704340.0,4033644.5,295693900.0,98544210.0,30235768.0,180695220.0,2003950.5,1716484.8,29150472.0,45985710.0,16022016.0,71437080.0,10884541.0,349154560.0,5435366.0,3341568.0,540847940.0,116906850.0,55983484.0,2959863800.0,8697291.0,6095435.0,72232696.0,8093573.0,9950946.0,114454140.0,1080432600.0,65622220.0,19422584.0,24691998.0,129770430.0,291685200.0,17044744.0,5160106.0,71549130.0,509446620.0,694221200.0,7535684.0,8255832.5,1363008.0,107419544.0,12043977.0,115846824.0,6241979.0,20493402.0,71150250.0,153768880.0,819725600.0,49152810.0,307880770.0,71047944.0,544736960.0,9942088.0,18104478.0,1372182000.0,113351224.0,13014627.0,10827618.0,2782390.0,360846370.0,54371640.0,1252486.2,11085539.0,22239210.0,7654722.5,13442601.0,34961016.0,2213015.8,401301400.0,4760771.0,6398224.5,2776211.8,3741307.5,1939153.4,79344904.0,1865100.9,86212590.0,4186666.2,216385170.0,,4109913.8,31511788.0,20219822.0,24303778000.0,97069930.0,5366723.5,31964202.0,79900190.0,296732350.0,80955624.0,5717489.0,31620178.0,88191064.0,1055488830.0,481521.9,227429940.0,4335334.5,96412490.0,8140141.0,48530576.0,19011710.0,87825810.0,1907672.4,130118264.0,3805667.5,15260483.0,17064376.0,226997820.0,218087660.0,4200093.5,2533090.2,244205860.0,8497547.0,5807561000.0,128217976.0,47278664.0,269426660.0,3850921.2,13554794.0
1999,3788823.0,79899416.0,149834770.0,5178854.5,296783680.0,96931224.0,26921338.0,188018480.0,2006598.9,2337099.5,30285162.0,41689508.0,9588514.0,67907720.0,11409027.0,333146940.0,4414201.5,3158368.0,541707140.0,106460180.0,59860836.0,3172589600.0,6421603.0,5165630.0,56192320.0,9616185.0,8439284.0,110345420.0,1090037600.0,69460410.0,20246678.0,21660696.0,134268500.0,315690850.0,19780470.0,5050747.5,74214650.0,513285730.0,680418700.0,6117878.5,9595429.0,1432624.0,103553864.0,12081721.0,106091590.0,6738196.5,22028076.0,71881040.0,247398380.0,915860400.0,55445236.0,324623780.0,63887532.0,560798200.0,9669576.0,17322998.0,1464350100.0,97726264.0,11222019.0,5822851.0,2726937.0,436478100.0,44267170.0,1224400.2,14087730.0,19892480.0,8655546.0,12329549.0,38227030.0,2533434.2,409686340.0,4201256.0,6619665.5,3946229.0,3828731.2,1893123.0,93601150.0,1740400.0,63288612.0,4496548.0,147109580.0,,6277245.0,34187390.0,19209732.0,24853727000.0,107089280.0,5805805.5,33374108.0,85598750.0,309111420.0,98007470.0,5858028.5,18178508.0,79494830.0,1011275840.0,502618.12,193439840.0,4498714.5,103566060.0,7906301.5,45319816.0,18125020.0,82276550.0,1890583.0,148364200.0,3379186.2,13827443.0,19206560.0,229166130.0,226589940.0,4400458.5,2661471.5,237860830.0,10051723.0,5989483000.0,98870904.0,43800588.0,293210800.0,3256563.0,14021009.0
