Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1860,,,,,,0.4426796,0.03131482,,0.52607554,0.33340007,0.13372478,,0.65233785,,,,,,,,1.2906826,,,1.1621426,,,,,,4.0036845,0.12493735,0.3984152,,,,,,,0.8167311,,,,0.10915651,,0.37294972,1.858229,,,0.35271728,,,,,,0.80036336,0.38759997,,0.6148428,,1.6172392,,,5.4397793,0.28376946,,,,,,,,,,,,,0.41218007,,3.928452,,,,,,0.717909,,,,0.7157391,,0.054079797,,,,,,,,,,,,,,0.71778846,,0.35122785,,0.09618738,,,0.66330177,,,,,,,,,,,,,,,,,,0.3871747,0.4518701,,,0.27902997,,100.0,,,0.21407843,,,,1.4917215,,,,,,0.78101206,17.271845,,,,,,,,,,,,,,0.14718674,,0.98253435,,,,,,,0.017933633,0.0177692,,,,,,,,,2.3107238,0.093806595,32.46002,0.06552088,,,,,,,,,
1861,,,,,,0.45762664,0.030973883,,0.5337859,0.3433059,0.13390057,,0.68576527,,,,,,,,1.2858988,,,1.4160373,,,,,,3.780116,0.116780736,0.4044943,,,,,,,0.854424,,,,0.11170256,,0.38838065,2.000207,,,0.34214902,,,,,,0.78049064,0.3551574,,0.62267464,,1.6443086,,,5.8715506,0.2784911,,,,,,,,,,,,,0.39965528,,3.83704,,,,,,0.69387615,,,,0.72310066,,0.054330565,,,,,,,,,,,,,,0.7076474,,0.3471172,,0.09395036,,,0.69258136,,,,,,,,,,,,,,,,,,0.37053773,0.44865802,,,0.26634243,,99.99999,,,0.30534813,,,,1.4733251,,,,,,0.77458173,20.640732,,,,,,,,,,,,,,0.14545518,,0.9918991,,,,,,,0.018072024,0.01793247,,,,,,,,,2.3405678,0.09669767,29.879385,0.066205464,,,,,,,,,
1862,,,,,,0.4736798,0.030864853,,0.5361011,0.34729773,0.1348413,,0.6722974,,,,,,,,1.2989858,,0.47943678,1.4832826,,,,,,3.2511914,0.12159638,0.41303822,,,,,,,0.88254297,,,,0.1160282,,0.40817806,2.1325595,,,0.3583935,,,,,,0.7758995,0.3427025,,0.59654063,,1.6715672,,,5.996924,0.2809588,,,,,,,,,,,,,0.39634165,,3.76852,,,,,,0.6835139,,,,0.73408955,,0.05493168,,,,,,,,,,,,,,0.70440453,,0.34916085,,0.09241774,,,0.6863542,,,,,,,,,,,,,,,,,,0.40766582,0.44746944,,,0.27614868,,100.00001,,,0.27996176,,,,1.5034391,,,,,,0.77345604,20.85834,,,,,,,,,,,,,,0.14833777,,1.0225866,,,,,,,0.01828223,0.018096829,,,,,,,,,2.38712,0.09832313,29.715218,0.06694546,,,,,,,,,
1863,,,,,,0.4863495,0.030684035,,0.5880162,0.33399916,0.13535717,,0.7035622,,,,,,,,1.3058356,,,1.3917968,,,,,,3.8556511,0.11601952,0.4341162,,,,,,,0.79171515,,,,0.10774474,,0.42666212,2.2432427,,,0.36276242,,,,,,0.77147317,0.32833773,,0.63635874,,1.6268289,,,6.6084976,0.2800469,,,,,,,,,,,,,0.3893535,,3.7456865,,,,,,0.59472317,,,,0.73823786,,0.05535005,,,,,,,,,,,,,,0.70644915,,0.3474391,,0.09070864,,,0.6962806,,,,,,,,,,,,,,,,,,0.36003345,0.44718874,,,0.3218604,,100.00001,,,0.22145365,,,,1.539455,,,,,,0.7709282,19.959436,,,,,,,,,,,,,,0.15200856,,1.0345178,,,,,,,0.01839867,0.018204626,,,,,,,,,2.425319,0.102029435,29.566822,0.067455776,,,,,,,,,
1864,,,,,,0.50268716,0.031017143,,0.56189084,0.3195794,0.1383839,,0.7463023,,,,,,,,1.3327603,,0.17493999,1.5014507,,,,,,4.357183,0.12192066,0.4238566,,,,,,,0.93812317,,,,0.11747851,,0.44932333,2.5252128,,,0.36291495,,,,,,0.76897675,0.3194691,,0.6473634,,1.6978134,,,7.383641,0.28700903,,,,,,,,,,,,,0.3886857,,3.7405305,,,,,,0.5616433,,,,0.7564233,,0.056652013,,,,,,,,,,,,,,0.717478,,0.35546678,,0.090792544,,,0.73364043,,,,,,,,,,,,,,,,,,0.34378564,0.45775697,,,0.36309528,,100.0,,,0.3111695,,,,1.5802207,,,,,,0.784296,19.629805,,,,,,,,,,,,,,0.15667917,,1.0663197,,,,,,,0.018784951,0.01860776,,,,,,,,,2.4994485,0.104609974,29.201248,0.069048055,,,,,,,,,
1865,,,,,,0.509534,0.03099313,,0.6813844,0.33323294,0.1397294,,0.7708044,,,,,,,,1.349065,,0.06901319,1.1710039,,,,,,3.8087628,0.12200482,0.43291226,,,,,,,0.979135,,,,0.1165403,,0.46967393,2.76365,,,0.3733418,,,,,,0.76261914,0.30839753,,0.6315575,,1.7439046,,,7.972826,0.29463744,,,,,,,,,,,,,0.39072526,,3.8085792,,,,,,0.53053766,,,,0.76300406,,0.05725528,,,,,,,,,,,,,,0.71417236,,0.35447612,,0.090079956,,,0.76257235,,,,,,,,,,,,,,,,,,0.35546955,0.46007508,,,0.28109595,,99.99999,,,0.2728591,,,,1.6185689,,,,,,0.7957529,19.88916,,,,,,,,,,,,,,0.16113283,,1.0819458,,,,,,,0.018960308,0.018746844,,,,,0.49753192,,,,2.5428655,0.108698025,28.216759,0.06968161,,,,,,,,,
1866,,,,,,0.5116401,0.030386632,,0.63199586,0.27054235,0.13861696,,0.80113786,,,,,,,,1.3329481,,-0.019884644,1.7273982,,,,,,4.6361594,0.120543584,0.4829462,,,,,,,0.80058277,,,,0.11452379,,0.47718114,2.686969,,,0.36664402,,,,,,0.7377848,0.29480755,,0.6236207,,1.7770196,,,8.22124,0.2828205,,,,,,,,,,,,,0.38537514,,3.702246,,,,,,0.49058652,,,,0.7558611,,0.056827545,,,,,,,,,,,,,,0.7091936,,0.35030147,,0.087865464,,,0.719971,,,,,,,,,,,,,,,,,,0.3613048,0.45340228,,,0.28494215,,100.00001,,,0.21394637,,,,1.567679,,,,,,0.7818722,20.487816,,,,,,,,,,,,,,0.16392666,,1.0751282,,,,,,,0.01888904,0.018967325,,,,,0.49030602,,,,2.54226,0.11264871,27.84834,0.07025936,,,,,,,,,
1867,,,,,,0.51672876,0.030264866,,0.6639924,0.3257967,0.1394381,,0.88537085,,,,,,,,1.3265152,,-0.093023814,1.3691357,,,,,,4.9708576,0.124268286,0.5001798,,,,,,,0.8715881,,,,0.11493678,,0.5006182,2.9168584,,,0.3760461,,,,,,0.7429269,0.28483796,,0.6616425,,1.8403821,,,8.543971,0.28617448,,,,,,0.3988296,,,,,,,0.3930941,,,,,,,,0.4907636,,,,0.75918597,,0.05717783,,,,,,,,,,,,,,0.70934546,,0.35110703,,0.08657915,,,0.76399034,,,,,,,,,,,,,,,,,,0.37161833,0.45710588,,,0.27963033,,100.0,,,0.2848553,,,,1.6047037,,,,,,0.7840506,18.990139,,,,,,,,,,,,,,0.16849636,,1.087496,,,,,,,0.019011552,0.019125756,,,,,0.49235237,,,,2.5716739,0.11436974,27.856133,0.070864476,,,,,,,,,
1868,,,,,,0.5247432,0.03020763,,0.656317,0.3608626,0.14052677,,0.8119579,,,,,,,,1.3355751,,-0.1570198,1.9885702,,,,,,4.753829,0.1292419,0.47281718,,,,,,,0.7818389,,,,0.113582015,,0.5142834,3.0868943,,,0.37967935,,,,,,0.73925906,0.27349338,,0.6707738,,1.8423139,,,8.516695,0.28791845,,,,,,0.39972094,,,,,,,0.38906416,,,,,,,,0.48909467,,,0.5624457,0.76518136,,0.057562497,,,,,,,,,,,,,,0.7062856,,0.34953213,,0.085521206,,,0.78096753,,,,,,,,,,,,,,,,,,0.3754816,0.4613594,,,0.33253667,,100.00001,,,0.30039185,,,,1.6423361,,,,,,0.78676414,19.232656,,,,,,,,,,,,,,0.17004271,,1.1103847,,,,,,,0.019103812,0.019096125,,,,,0.49393144,,,,2.5964785,0.12098311,27.924635,0.070927866,,,,,,,,,
1869,,,,,,0.514957,0.029350096,,0.7305639,0.37060302,0.13794798,,0.84483933,,,,,,,,1.3129909,,-0.20834798,1.7465227,,,,,,5.891892,0.122259445,0.43429038,,,,,,,0.68054885,,,,0.11382776,,0.516679,3.1125722,,,0.36289826,,,,,,0.71375567,0.261834,,0.6285496,,1.8219852,,,8.628286,0.28127873,,,,,,0.3946859,,,,,,,0.37512413,,,,,,,,0.44920725,,,0.6052456,0.75006604,,0.056450844,,,,,,,,,,,,,,0.69158417,,0.3419593,,0.08245863,,,0.7412177,,,,,,,,,,,,,,,,,,0.3740401,0.44557935,,,0.22120783,,100.0,,,0.22544052,,,,1.6074958,,,,,,0.7558793,18.629072,,,,,,,,,,,,,,0.16874148,,1.0868874,,,,,,,0.018769184,0.018886834,,,,,0.48519894,,,,2.5550842,0.11798472,27.027292,0.070057064,,,,,,,,,
